,Date,Rainfall_Monteporzio,Rainfall_Velletri,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_2,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Depth_to_Groundwater_Pozzo_5,Depth_to_Groundwater_Pozzo_6,Depth_to_Groundwater_Pozzo_7,Depth_to_Groundwater_Pozzo_8,Depth_to_Groundwater_Pozzo_9,Volume_Pozzo_1,Volume_Pozzo_2,Volume_Pozzo_3,Volume_Pozzo_4,Volume_Pozzo_5+6,Volume_Pozzo_7,Volume_Pozzo_8,Volume_Pozzo_9,Temperature_Monteporzio,Temperature_Velletri
185,2004-07-04,0.2,0.0,,,,,,,,,,,,,,,,,,19.65,23.1
186,2004-07-05,0.0,0.0,,,,,,,,,,,,,,,,,,22.3,24.4
187,2004-07-06,0.0,0.0,,,,,,,,,,,,,,,,,,25.2,26.35
188,2004-07-07,0.0,0.0,,,,,,,,,,,,,,,,,,25.15,26.8
189,2004-07-08,0.0,0.0,,,,,,,,,,,,,,,,,,25.5,
190,2004-07-09,0.0,0.0,,,,,,,,,,,,,,,,,,20.15,22.9
191,2004-07-10,0.0,0.0,,,,,,,,,,,,,,,,,,18.25,21.55
192,2004-07-11,0.0,0.0,,,,,,,,,,,,,,,,,,18.05,20.4
193,2004-07-12,0.0,0.0,,,,,,,,,,,,,,,,,,16.2,19.0
194,2004-07-13,0.0,0.0,,,,,,,,,,,,,,,,,,16.85,19.9
195,2004-07-14,15.8,23.4,,,,,,,,,,,,,,,,,,16.95,19.8
196,2004-07-15,0.0,0.0,,,,,,,,,,,,,,,,,,18.3,20.25
197,2004-07-16,0.0,0.0,,,,,,,,,,,,,,,,,,20.35,22.7
198,2004-07-17,0.0,0.0,,,,,,,,,,,,,,,,,,21.85,23.6
199,2004-07-18,0.0,0.0,,,,,,,,,,,,,,,,,,22.0,24.5
200,2004-07-19,0.0,0.0,,,,,,,,,,,,,,,,,,22.5,24.7
201,2004-07-20,0.0,0.0,,,,,,,,,,,,,,,,,,22.8,25.3
202,2004-07-21,0.0,0.0,,,,,,,,,,,,,,,,,,23.0,25.5
203,2004-07-22,0.0,0.0,,,,,,,,,,,,,,,,,,23.85,26.1
204,2004-07-23,0.0,0.0,,,,,,,,,,,,,,,,,,,
205,2004-07-24,0.0,0.0,,,,,,,,,,,,,,,,,,23.95,26.45
206,2004-07-25,,6.0,,,,,,,,,,,,,,,,,,17.95,21.65
207,2004-07-26,0.4,0.0,,,,,,,,,,,,,,,,,,21.35,24.35
208,2004-07-27,0.0,0.0,,,,,,,,,,,,,,,,,,20.4,23.05
209,2004-07-28,0.0,0.0,,,,,,,,,,,,,,,,,,19.8,22.85
210,2004-07-29,0.0,0.0,,,,,,,,,,,,,,,,,,18.65,22.0
211,2004-07-30,0.0,0.0,,,,,,,,,,,,,,,,,,19.5,22.65
212,2004-07-31,0.0,0.0,,,,,,,,,,,,,,,,,,21.9,24.65
213,2004-08-01,0.0,0.0,,,,,,,,,,,,,,,,,,22.4,25.5
214,2004-08-02,0.0,0.0,,,,,,,,,,,,,,,,,,22.35,25.25
215,2004-08-03,0.0,0.0,,,,,,,,,,,,,,,,,,21.75,24.05
216,2004-08-04,0.0,0.0,,,,,,,,,,,,,,,,,,21.95,24.75
217,2004-08-05,4.8,9.2,,,,,,,,,,,,,,,,,,21.15,23.55
218,2004-08-06,1.4,0.2,,,,,,,,,,,,,,,,,,19.9,21.7
219,2004-08-07,0.2,0.0,,,,,,,,,,,,,,,,,,20.0,22.95
220,2004-08-08,0.4,0.0,,,,,,,,,,,,,,,,,,20.05,23.0
221,2004-08-09,0.0,0.0,,,,,,,,,,,,,,,,,,21.75,24.15
222,2004-08-10,0.0,0.0,,,,,,,,,,,,,,,,,,22.75,24.8
223,2004-08-11,0.0,0.0,,,,,,,,,,,,,,,,,,22.9,25.6
224,2004-08-12,0.2,0.0,,,,,,,,,,,,,,,,,,21.85,25.5
225,2004-08-13,0.0,0.0,,,,,,,,,,,,,,,,,,20.8,23.85
226,2004-08-14,0.0,0.0,,,,,,,,,,,,,,,,,,20.65,24.4
227,2004-08-15,0.0,0.0,,,,,,,,,,,,,,,,,,21.6,24.0
228,2004-08-16,0.0,0.0,,,,,,,,,,,,,,,,,,20.05,23.25
229,2004-08-17,0.0,0.0,,,,,,,,,,,,,,,,,,21.15,23.7
230,2004-08-18,0.0,0.0,,,,,,,,,,,,,,,,,,20.85,23.15
231,2004-08-19,0.0,0.0,,,,,,,,,,,,,,,,,,23.3,25.2
232,2004-08-20,0.0,0.0,,,,,,,,,,,,,,,,,,24.2,26.0
233,2004-08-21,0.0,0.0,,,,,,,,,,,,,,,,,,19.15,22.5
234,2004-08-22,0.0,0.0,,,,,,,,,,,,,,,,,,19.1,22.6
235,2004-08-23,0.0,0.0,,,,,,,,,,,,,,,,,,19.15,22.95
236,2004-08-24,0.0,0.0,,,,,,,,,,,,,,,,,,21.5,23.75
237,2004-08-25,0.0,0.0,,,,,,,,,,,,,,,,,,22.0,22.95
238,2004-08-26,0.0,0.0,,,,,,,,,,,,,,,,,,18.4,22.25
239,2004-08-27,0.0,0.0,,,,,,,,,,,,,,,,,,18.9,23.25
240,2004-08-28,0.0,0.0,,,,,,,,,,,,,,,,,,19.05,22.3
241,2004-08-29,0.0,0.0,,,,,,,,,,,,,,,,,,18.85,22.2
242,2004-08-30,0.4,0.0,,,,,,,,,,,,,,,,,,18.35,21.25
243,2004-08-31,0.2,0.0,,,,,,,,,,,,,,,,,,18.65,21.3
244,2004-09-01,0.2,0.0,,,,,,,,,,,,,,,,,,19.5,22.6
245,2004-09-02,0.2,0.0,,,,,,,,,,,,,,,,,,20.75,23.6
246,2004-09-03,0.0,0.0,,,,,,,,,,,,,,,,,,22.15,25.45
247,2004-09-04,0.0,0.0,,,,,,,,,,,,,,,,,,22.75,26.3
248,2004-09-05,0.0,0.0,,,,,,,,,,,,,,,,,,21.7,24.2
249,2004-09-06,0.0,0.0,,,,,,,,,,,,,,,,,,21.15,24.7
250,2004-09-07,0.0,0.0,,,,,,,,,,,,,,,,,,20.45,23.75
251,2004-09-08,0.0,0.0,,,,,,,,,,,,,,,,,,19.45,22.6
252,2004-09-09,0.0,0.0,,,,,,,,,,,,,,,,,,19.65,22.35
253,2004-09-10,0.0,0.0,,,,,,,,,,,,,,,,,,17.9,20.8
254,2004-09-11,0.0,0.0,,,,,,,,,,,,,,,,,,18.3,21.2
255,2004-09-12,0.0,0.0,,,,,,,,,,,,,,,,,,19.2,21.6
256,2004-09-13,0.0,0.0,,,,,,,,,,,,,,,,,,20.05,22.85
257,2004-09-14,0.2,0.0,,,,,,,,,,,,,,,,,,20.7,23.1
258,2004-09-15,0.2,1.4,,,,,,,,,,,,,,,,,,19.85,21.8
259,2004-09-16,27.8,,,,,,,,,,,,,,,,,,,18.05,20.8
260,2004-09-17,11.0,14.8,,,,,,,,,,,,,,,,,,16.25,18.0
261,2004-09-18,12.4,1.2,,,,,,,,,,,,,,,,,,18.3,21.1
262,2004-09-19,0.2,0.0,,,,,,,,,,,,,,,,,,17.9,20.6
263,2004-09-20,0.0,0.0,,,,,,,,,,,,,,,,,,19.2,22.4
264,2004-09-21,0.0,0.0,,,,,,,,,,,,,,,,,,18.1,20.8
265,2004-09-22,0.0,0.0,,,,,,,,,,,,,,,,,,17.3,20.2
266,2004-09-23,0.2,0.0,,,,,,,,,,,,,,,,,,18.15,20.3
267,2004-09-24,0.8,7.8,,,,,,,,,,,,,,,,,,15.1,19.3
268,2004-09-25,0.4,21.0,,,,,,,,,,,,,,,,,,12.0,13.7
269,2004-09-26,0.0,0.6,,,,,,,,,,,,,,,,,,13.0,16.25
270,2004-09-27,0.0,0.0,,,,,,,,,,,,,,,,,,13.3,16.35
271,2004-09-28,0.0,0.0,,,,,,,,,,,,,,,,,,14.6,17.05
272,2004-09-29,0.0,0.0,,,,,,,,,,,,,,,,,,14.6,17.05
273,2004-09-30,0.0,0.0,,,,,,,,,,,,,,,,,,14.25,17.3
274,2004-10-01,0.4,0.4,,,,,,,,,,,,,,,,,,16.6,19.15
275,2004-10-02,0.2,0.2,,,,,,,,,,,,,,,,,,16.65,19.25
276,2004-10-03,0.4,0.0,,,,,,,,,,,,,,,,,,15.55,18.85
277,2004-10-04,0.2,0.0,,,,,,,,,,,,,,,,,,16.85,19.65
278,2004-10-05,0.2,0.0,,,,,,,,,,,,,,,,,,16.8,19.75
279,2004-10-06,0.2,0.0,,,,,,,,,,,,,,,,,,17.2,19.75
280,2004-10-07,0.2,0.2,,,,,,,,,,,,,,,,,,16.55,19.7
281,2004-10-08,0.2,0.2,,,,,,,,,,,,,,,,,,17.55,19.3
282,2004-10-09,0.0,0.0,,,,,,,,,,,,,,,,,,16.85,19.45
283,2004-10-10,1.0,21.4,,,,,,,,,,,,,,,,,,17.2,18.7
284,2004-10-11,4.0,16.8,,,,,,,,,,,,,,,,,,15.15,18.75
285,2004-10-12,3.4,7.0,,,,,,,,,,,,,,,,,,14.35,17.8
286,2004-10-13,11.4,10.6,,,,,,,,,,,,,,,,,,12.25,16.45
287,2004-10-14,,20.8,,,,,,,,,,,,,,,,,,13.9,15.9
288,2004-10-15,7.2,21.8,,,,,,,,,,,,,,,,,,12.9,15.15
289,2004-10-16,10.2,5.2,,,,,,,,,,,,,,,,,,11.95,15.8
290,2004-10-17,8.2,11.4,,,,,,,,,,,,,,,,,,12.0,15.15
291,2004-10-18,0.2,0.2,,,,,,,,,,,,,,,,,,12.95,15.25
292,2004-10-19,0.0,0.2,,,,,,,,,,,,,,,,,,15.5,18.05
293,2004-10-20,0.2,0.0,,,,,,,,,,,,,,,,,,17.55,20.35
294,2004-10-21,0.0,0.2,,,,,,,,,,,,,,,,,,18.6,19.7
295,2004-10-22,0.0,0.0,,,,,,,,,,,,,,,,,,18.45,20.45
296,2004-10-23,0.2,0.2,,,,,,,,,,,,,,,,,,17.65,19.9
297,2004-10-24,0.4,0.2,,,,,,,,,,,,,,,,,,15.4,18.6
298,2004-10-25,0.0,0.2,,,,,,,,,,,,,,,,,,16.65,18.45
299,2004-10-26,14.8,10.8,,,,,,,,,,,,,,,,,,17.05,18.95
300,2004-10-27,16.8,14.8,,,,,,,,,,,,,,,,,,13.65,16.5
301,2004-10-28,0.4,0.4,,,,,,,,,,,,,,,,,,11.9,15.05
302,2004-10-29,0.0,0.2,,,,,,,,,,,,,,,,,,15.4,18.45
303,2004-10-30,20.8,3.0,,,,,,,,,,,,,,,,,,16.6,19.85
304,2004-10-31,0.0,0.0,,,,,,,,,,,,,,,,,,18.7,21.25
305,2004-11-01,0.4,0.0,,,,,,,,,,,,,,,,,,19.6,22.8
306,2004-11-02,0.0,0.0,,,,,,,,,,,,,,,,,,19.05,21.6
307,2004-11-03,0.0,0.0,,,,,,,,,,,,,,,,,,16.75,21.0
308,2004-11-04,0.0,0.0,,,,,,,,,,,,,,,,,,17.25,20.3
309,2004-11-05,0.0,0.0,,,,,,,,,,,,,,,,,,14.95,17.95
310,2004-11-06,0.0,0.0,,,,,,,,,,,,,,,,,,14.0,16.65
311,2004-11-07,8.4,3.4,,,,,,,,,,,,,,,,,,8.95,12.75
312,2004-11-08,1.2,0.2,,,,,,,,,,,,,,,,,,4.0,9.75
313,2004-11-09,27.2,21.0,,,,,,,,,,,,,,,,,,3.65,7.75
314,2004-11-10,,16.6,,,,,,,,,,,,,,,,,,5.15,9.95
315,2004-11-11,27.0,25.0,,,,,,,,,,,,,,,,,,8.05,11.5
316,2004-11-12,0.8,5.4,,,,,,,,,,,,,,,,,,12.0,15.45
317,2004-11-13,4.4,4.6,,,,,,,,,,,,,,,,,,12.05,15.2
318,2004-11-14,,,,,,,,,,,,,,,,,,,,7.5,10.55
319,2004-11-15,0.0,0.0,,,,,,,,,,,,,,,,,,5.4,9.7
