,Date,Rainfall_S_Piero,Rainfall_Mangona,Rainfall_S_Agata,Rainfall_Cavallina,Rainfall_Le_Croci,Temperature_Le_Croci,Lake_Level,Flow_Rate
47,2002-07-20,,,,,,,248.85,1.5
48,2002-07-21,,,,,,,248.82,1.5
49,2002-07-22,,,,,,,248.79,1.5
50,2002-07-23,,,,,,,248.75,2.0
51,2002-07-24,,,,,,,248.71,2.0
52,2002-07-25,,,,,,,248.67,2.0
53,2002-07-26,,,,,,,248.63,2.0
54,2002-07-27,,,,,,,248.59,2.0
55,2002-07-28,,,,,,,248.55,2.0
56,2002-07-29,,,,,,,248.51,2.5
57,2002-07-30,,,,,,,248.45,2.5
58,2002-07-31,,,,,,,248.41,2.5
59,2002-08-01,,,,,,,248.37,1.5
60,2002-08-02,,,,,,,248.33,1.5
61,2002-08-03,,,,,,,248.31,1.5
62,2002-08-04,,,,,,,248.27,2.0
63,2002-08-05,,,,,,,248.23,2.0
64,2002-08-06,,,,,,,248.17,2.5
65,2002-08-07,,,,,,,248.2,0.5
66,2002-08-08,,,,,,,248.18,1.0
67,2002-08-09,,,,,,,248.18,0.5
68,2002-08-10,,,,,,,248.19,0.5
69,2002-08-11,,,,,,,248.23,2.5
70,2002-08-12,,,,,,,248.21,0.5
71,2002-08-13,,,,,,,248.21,0.5
72,2002-08-14,,,,,,,248.21,0.5
73,2002-08-15,,,,,,,248.2,0.5
74,2002-08-16,,,,,,,248.19,0.5
75,2002-08-17,,,,,,,248.18,0.5
76,2002-08-18,,,,,,,248.16,0.5
77,2002-08-19,,,,,,,248.15,0.5
78,2002-08-20,,,,,,,248.14,0.5
79,2002-08-21,,,,,,,248.13,0.5
80,2002-08-22,,,,,,,248.12,1.0
81,2002-08-23,,,,,,,248.1,1.0
82,2002-08-24,,,,,,,248.17,0.5
83,2002-08-25,,,,,,,248.16,0.5
84,2002-08-26,,,,,,,248.15,1.0
85,2002-08-27,,,,,,,248.14,0.6
86,2002-08-28,,,,,,,248.13,0.6
87,2002-08-29,,,,,,,248.13,0.6
88,2002-08-30,,,,,,,248.12,0.6
89,2002-08-31,,,,,,,248.11,0.6
90,2002-09-01,,,,,,,248.1,0.6
91,2002-09-02,,,,,,,248.09,0.6
92,2002-09-03,,,,,,,248.08,0.6
93,2002-09-04,,,,,,,248.07,0.6
94,2002-09-05,,,,,,,248.06,1.0
95,2002-09-06,,,,,,,248.06,1.0
96,2002-09-07,,,,,,,248.05,1.0
97,2002-09-08,,,,,,,248.04,1.0
98,2002-09-09,,,,,,,248.02,1.0
99,2002-09-10,,,,,,,248.0,1.0
100,2002-09-11,,,,,,,247.99,1.0
101,2002-09-12,,,,,,,247.97,1.5
102,2002-09-13,,,,,,,247.95,1.5
103,2002-09-14,,,,,,,247.9,1.5
104,2002-09-15,,,,,,,247.87,1.5
105,2002-09-16,,,,,,,247.85,1.5
106,2002-09-17,,,,,,,247.82,1.5
107,2002-09-18,,,,,,,247.77,3.0
108,2002-09-19,,,,,,,247.71,3.0
109,2002-09-20,,,,,,,247.65,3.0
110,2002-09-21,,,,,,,247.59,3.0
111,2002-09-22,,,,,,,247.54,3.0
112,2002-09-23,,,,,,,247.77,1.5
113,2002-09-24,,,,,,,247.97,1.5
114,2002-09-25,,,,,,,248.0,1.5
115,2002-09-26,,,,,,,248.01,1.5
116,2002-09-27,,,,,,,248.01,1.5
117,2002-09-28,,,,,,,247.99,1.5
118,2002-09-29,,,,,,,247.97,1.5
119,2002-09-30,,,,,,,247.95,1.5
120,2002-10-01,,,,,,,247.93,1.5
121,2002-10-02,,,,,,,247.9,1.5
122,2002-10-03,,,,,,,247.87,4.0
123,2002-10-04,,,,,,,247.81,1.5
124,2002-10-05,,,,,,,247.78,1.5
125,2002-10-06,,,,,,,247.76,1.5
126,2002-10-07,,,,,,,247.74,1.5
127,2002-10-08,,,,,,,247.72,1.5
128,2002-10-09,,,,,,,247.7,1.5
129,2002-10-10,,,,,,,247.69,1.5
130,2002-10-11,,,,,,,247.97,0.6
131,2002-10-12,,,,,,,248.22,0.6
132,2002-10-13,,,,,,,248.35,0.6
133,2002-10-14,,,,,,,248.42,0.6
134,2002-10-15,,,,,,,248.45,0.6
135,2002-10-16,,,,,,,248.47,0.6
136,2002-10-17,,,,,,,248.48,0.6
137,2002-10-18,,,,,,,248.55,0.6
138,2002-10-19,,,,,,,248.6,0.6
139,2002-10-20,,,,,,,248.62,0.6
140,2002-10-21,,,,,,,248.62,0.6
141,2002-10-22,,,,,,,248.89,0.6
142,2002-10-23,,,,,,,249.27,0.6
143,2002-10-24,,,,,,,249.53,0.6
144,2002-10-25,,,,,,,249.61,0.6
145,2002-10-26,,,,,,,249.67,0.6
146,2002-10-27,,,,,,,249.72,0.6
147,2002-10-28,,,,,,,249.73,0.6
148,2002-10-29,,,,,,,249.75,0.6
149,2002-10-30,,,,,,,249.77,0.6
150,2002-10-31,,,,,,,249.78,0.6
151,2002-11-01,,,,,,,249.79,0.6
152,2002-11-02,,,,,,,249.8,0.6
153,2002-11-03,,,,,,,249.81,0.6
154,2002-11-04,,,,,,,249.83,0.6
155,2002-11-05,,,,,,,249.84,0.6
156,2002-11-06,,,,,,,249.84,0.6
157,2002-11-07,,,,,,,249.84,0.6
158,2002-11-08,,,,,,,249.83,0.6
159,2002-11-09,,,,,,,249.85,0.6
160,2002-11-10,,,,,,,249.85,0.6
161,2002-11-11,,,,,,,249.86,0.6
162,2002-11-12,,,,,,,249.87,0.6
163,2002-11-13,,,,,,,249.88,0.6
164,2002-11-14,,,,,,,249.94,0.6
165,2002-11-15,,,,,,,249.97,0.6
166,2002-11-16,,,,,,,250.0,0.6
167,2002-11-17,,,,,,,250.01,0.6
168,2002-11-18,,,,,,,250.31,0.6
169,2002-11-19,,,,,,,250.68,0.6
170,2002-11-20,,,,,,,251.03,1.0
171,2002-11-21,,,,,,,251.22,3.3
172,2002-11-22,,,,,,,251.54,
173,2002-11-23,,,,,,,251.52,
174,2002-11-24,,,,,,,251.35,
175,2002-11-25,,,,,,,251.2,
176,2002-11-26,,,,,,,251.1,
177,2002-11-27,,,,,,,251.12,
178,2002-11-28,,,,,,,251.15,
179,2002-11-29,,,,,,,251.19,
180,2002-11-30,,,,,,,251.22,
181,2002-12-01,,,,,,,251.37,
182,2002-12-02,,,,,,,251.39,7.4
183,2002-12-03,,,,,,,251.39,7.5
184,2002-12-04,,,,,,,251.35,7.3
185,2002-12-05,,,,,,,251.33,7.1
186,2002-12-06,,,,,,,251.31,6.7
187,2002-12-07,,,,,,,251.29,6.5
188,2002-12-08,,,,,,,251.27,6.3
189,2002-12-09,,,,,,,251.24,
190,2002-12-10,,,,,,,251.22,
191,2002-12-11,,,,,,,251.21,
192,2002-12-12,,,,,,,251.21,
193,2002-12-13,,,,,,,251.29,
194,2002-12-14,,,,,,,251.31,
195,2002-12-15,,,,,,,251.31,
196,2002-12-16,,,,,,,251.35,5.6
197,2002-12-17,,,,,,,251.35,5.6
198,2002-12-18,,,,,,,251.49,8.1
199,2002-12-19,,,,,,,251.58,11.1
200,2002-12-20,,,,,,,251.51,9.9
201,2002-12-21,,,,,,,251.45,8.2
202,2002-12-22,,,,,,,251.38,6.2
203,2002-12-23,,,,,,,251.38,4.1
204,2002-12-24,,,,,,,251.41,4.7
205,2002-12-25,,,,,,,251.41,5.2
206,2002-12-26,,,,,,,251.41,5.2
207,2002-12-27,,,,,,,251.4,5.2
208,2002-12-28,,,,,,,251.43,6.5
209,2002-12-29,,,,,,,251.67,7.8
210,2002-12-30,,,,,,,251.67,
211,2002-12-31,,,,,,,251.67,
212,2003-01-01,,,,,,,251.85,
213,2003-01-02,,,,,,,251.84,
214,2003-01-03,,,,,,,251.82,
215,2003-01-04,,,,,,,251.79,
216,2003-01-05,,,,,,,251.75,
217,2003-01-06,,,,,,,251.7,9.6
218,2003-01-07,,,,,,,251.7,9.5
219,2003-01-08,,,,,,,251.67,9.5
220,2003-01-09,,,,,,,251.66,7.2
221,2003-01-10,,,,,,,251.64,6.2
222,2003-01-11,,,,,,,251.62,5.8
223,2003-01-12,,,,,,,251.59,5.3
224,2003-01-13,,,,,,,251.57,4.9
225,2003-01-14,,,,,,,251.53,4.5
226,2003-01-15,,,,,,,251.5,4.1
227,2003-01-16,,,,,,,251.47,3.9
228,2003-01-17,,,,,,,251.45,3.9
229,2003-01-18,,,,,,,251.43,2.9
230,2003-01-19,,,,,,,251.41,2.9
231,2003-01-20,,,,,,,251.4,2.9
232,2003-01-21,,,,,,,251.38,2.9
233,2003-01-22,,,,,,,251.75,7.2
234,2003-01-23,,,,,,,251.83,8.1
235,2003-01-24,,,,,,,251.85,8.5
236,2003-01-25,,,,,,,251.82,8.2
237,2003-01-26,,,,,,,251.76,7.7
238,2003-01-27,,,,,,,251.73,7.2
239,2003-01-28,,,,,,,251.68,6.8
240,2003-01-29,,,,,,,251.66,6.3
241,2003-01-30,,,,,,,251.62,5.8
242,2003-01-31,,,,,,,251.56,5.2
243,2003-02-01,,,,,,,251.54,4.7
244,2003-02-02,,,,,,,251.51,4.3
245,2003-02-03,,,,,,,251.47,3.6
246,2003-02-04,,,,,,,252.0,
247,2003-02-05,,,,,,,251.97,
248,2003-02-06,,,,,,,251.7,12.0
249,2003-02-07,,,,,,,251.67,7.8
250,2003-02-08,,,,,,,251.64,7.4
251,2003-02-09,,,,,,,251.61,6.8
252,2003-02-10,,,,,,,251.58,6.2
253,2003-02-11,,,,,,,251.54,5.5
254,2003-02-12,,,,,,,251.49,3.0
255,2003-02-13,,,,,,,251.47,2.5
256,2003-02-14,,,,,,,251.45,1.5
257,2003-02-15,,,,,,,251.45,1.5
258,2003-02-16,,,,,,,251.45,1.5
259,2003-02-17,,,,,,,251.43,1.5
260,2003-02-18,,,,,,,251.42,0.6
261,2003-02-19,,,,,,,251.41,0.6
262,2003-02-20,,,,,,,251.42,0.6
263,2003-02-21,,,,,,,251.43,0.6
264,2003-02-22,,,,,,,251.44,0.6
265,2003-02-23,,,,,,,251.45,0.6
266,2003-02-24,,,,,,,251.46,0.6
267,2003-02-25,,,,,,,251.47,0.6
268,2003-02-26,,,,,,,251.48,0.6
269,2003-02-27,,,,,,,251.49,0.6
270,2003-02-28,,,,,,,251.5,0.6
271,2003-03-01,,,,,,,251.51,0.6
272,2003-03-02,,,,,,,251.51,0.6
273,2003-03-03,,,,,,,251.86,0.6
274,2003-03-04,,,,,,,252.03,3.1
275,2003-03-05,,,,,,,252.07,6.2
276,2003-03-06,,,,,,,252.08,6.7
277,2003-03-07,,,,,,,252.08,6.7
278,2003-03-08,,,,,,,252.07,6.2
279,2003-03-09,,,,,,,252.07,6.2
280,2003-03-10,,,,,,,252.07,6.3
281,2003-03-11,,,,,,,252.06,6.1
282,2003-03-12,,,,,,,252.06,5.5
283,2003-03-13,,,,,,,252.06,5.5
284,2003-03-14,,,,,,,252.06,5.5
285,2003-03-15,,,,,,,252.05,4.3
286,2003-03-16,,,,,,,252.05,3.5
287,2003-03-17,,,,,,,252.04,3.5
288,2003-03-18,,,,,,,252.03,3.6
289,2003-03-19,,,,,,,252.03,3.4
290,2003-03-20,,,,,,,252.03,2.7
291,2003-03-21,,,,,,,252.03,3.1
292,2003-03-22,,,,,,,252.03,3.1
293,2003-03-23,,,,,,,252.03,3.1
294,2003-03-24,,,,,,,252.03,3.1
295,2003-03-25,,,,,,,252.03,3.1
296,2003-03-26,,,,,,,252.03,3.1
297,2003-03-27,,,,,,,252.03,3.1
298,2003-03-28,,,,,,,252.03,3.1
299,2003-03-29,,,,,,,252.03,3.1
300,2003-03-30,,,,,,,252.03,3.1
301,2003-03-31,,,,,,,252.03,3.0
302,2003-04-01,,,,,,,252.03,2.1
303,2003-04-02,,,,,,,252.05,3.1
304,2003-04-03,,,,,,,,6.1
305,2003-04-04,,,,,,,,7.8
306,2003-04-05,,,,,,,252.06,6.8
307,2003-04-06,,,,,,,252.05,6.0
308,2003-04-07,,,,,,,252.05,5.1
309,2003-04-08,,,,,,,252.04,4.2
310,2003-04-09,,,,,,,252.04,4.1
311,2003-04-10,,,,,,,252.04,5.8
312,2003-04-11,,,,,,,252.08,7.7
313,2003-04-12,,,,,,,,
314,2003-04-13,,,,,,,,
315,2003-04-14,,,,,,,,
316,2003-04-15,,,,,,,,10.1
317,2003-04-16,,,,,,,,7.9
318,2003-04-17,,,,,,,252.07,5.8
319,2003-04-18,,,,,,,252.06,5.3
320,2003-04-19,,,,,,,252.06,5.9
321,2003-04-20,,,,,,,252.06,6.2
322,2003-04-21,,,,,,,252.07,5.4
323,2003-04-22,,,,,,,252.07,4.8
324,2003-04-23,,,,,,,252.07,5.4
325,2003-04-24,,,,,,,252.06,5.7
326,2003-04-25,,,,,,,252.06,5.1
327,2003-04-26,,,,,,,252.05,5.0
328,2003-04-27,,,,,,,252.05,4.6
329,2003-04-28,,,,,,,252.05,3.4
330,2003-04-29,,,,,,,252.05,3.7
331,2003-04-30,,,,,,,252.05,3.1
332,2003-05-01,,,,,,,252.05,2.6
333,2003-05-02,,,,,,,252.05,2.3
334,2003-05-03,,,,,,,252.05,2.0
335,2003-05-04,,,,,,,252.05,2.2
336,2003-05-05,,,,,,,252.04,2.1
337,2003-05-06,,,,,,,252.03,1.9
338,2003-05-07,,,,,,,252.03,2.0
339,2003-05-08,,,,,,,252.02,2.1
340,2003-05-09,,,,,,,252.02,2.0
341,2003-05-10,,,,,,,252.02,1.5
342,2003-05-11,,,,,,,252.02,2.4
343,2003-05-12,,,,,,,252.04,2.2
344,2003-05-13,,,,,,,252.03,2.0
345,2003-05-14,,,,,,,252.03,2.4
346,2003-05-15,,,,,,,252.02,2.0
347,2003-05-16,,,,,,,252.02,1.5
348,2003-05-17,,,,,,,252.02,1.6
349,2003-05-18,,,,,,,252.02,1.7
350,2003-05-19,,,,,,,252.01,1.5
351,2003-05-20,,,,,,,252.01,1.0
352,2003-05-21,,,,,,,252.0,0.5
353,2003-05-22,,,,,,,251.99,0.7
354,2003-05-23,,,,,,,251.99,0.6
355,2003-05-24,,,,,,,251.98,0.7
356,2003-05-25,,,,,,,251.97,0.9
357,2003-05-26,,,,,,,251.96,0.5
358,2003-05-27,,,,,,,251.95,0.5
359,2003-05-28,,,,,,,251.94,0.5
360,2003-05-29,,,,,,,251.93,0.5
361,2003-05-30,,,,,,,251.92,0.5
362,2003-05-31,,,,,,,251.93,0.5
363,2003-06-01,,,,,,,251.93,0.5
364,2003-06-02,,,,,,,251.93,0.5
365,2003-06-03,,,,,,,251.92,0.5
366,2003-06-04,,,,,,,251.91,0.5
367,2003-06-05,,,,,,,251.9,0.5
368,2003-06-06,,,,,,,251.89,0.5
369,2003-06-07,,,,,,,251.88,0.5
370,2003-06-08,,,,,,,251.87,0.5
371,2003-06-09,,,,,,,251.86,0.5
372,2003-06-10,,,,,,,251.84,0.5
373,2003-06-11,,,,,,,251.83,0.5
374,2003-06-12,,,,,,,251.82,0.5
375,2003-06-13,,,,,,,251.81,0.5
376,2003-06-14,,,,,,,251.79,0.5
377,2003-06-15,,,,,,,251.78,0.5
378,2003-06-16,,,,,,,251.77,0.5
379,2003-06-17,,,,,,,251.79,0.5
380,2003-06-18,,,,,,,251.8,0.5
381,2003-06-19,,,,,,,251.79,0.5
382,2003-06-20,,,,,,,251.78,0.5
383,2003-06-21,,,,,,,251.77,0.5
384,2003-06-22,,,,,,,251.76,0.5
385,2003-06-23,,,,,,,251.75,0.5
386,2003-06-24,,,,,,,251.74,0.5
387,2003-06-25,,,,,,,251.73,0.5
388,2003-06-26,,,,,,,251.72,0.5
389,2003-06-27,,,,,,,251.71,0.5
390,2003-06-28,,,,,,,251.69,0.5
391,2003-06-29,,,,,,,251.67,0.5
392,2003-06-30,,,,,,,251.65,0.5
393,2003-07-01,,,,,,,251.64,0.5
394,2003-07-02,,,,,,,251.62,0.5
395,2003-07-03,,,,,,,251.59,0.5
396,2003-07-04,,,,,,,251.57,3.6
397,2003-07-05,,,,,,,251.51,3.6
398,2003-07-06,,,,,,,251.45,3.6
399,2003-07-07,,,,,,,251.36,3.6
400,2003-07-08,,,,,,,251.3,3.6
401,2003-07-09,,,,,,,251.23,3.6
402,2003-07-10,,,,,,,251.16,3.6
403,2003-07-11,,,,,,,251.09,3.6
404,2003-07-12,,,,,,,251.02,4.0
405,2003-07-13,,,,,,,250.95,4.0
406,2003-07-14,,,,,,,250.87,3.5
407,2003-07-15,,,,,,,250.8,3.5
408,2003-07-16,,,,,,,250.74,3.0
409,2003-07-17,,,,,,,250.68,3.0
410,2003-07-18,,,,,,,250.62,3.0
411,2003-07-19,,,,,,,250.57,3.0
412,2003-07-20,,,,,,,250.5,3.0
413,2003-07-21,,,,,,,250.44,3.5
414,2003-07-22,,,,,,,250.37,3.5
415,2003-07-23,,,,,,,250.3,3.5
416,2003-07-24,,,,,,,250.23,3.5
417,2003-07-25,,,,,,,250.16,3.5
418,2003-07-26,,,,,,,250.09,3.5
419,2003-07-27,,,,,,,250.03,3.5
420,2003-07-28,,,,,,,249.96,3.5
421,2003-07-29,,,,,,,249.89,3.5
422,2003-07-30,,,,,,,249.81,3.5
423,2003-07-31,,,,,,,249.73,3.5
424,2003-08-01,,,,,,,249.65,3.5
425,2003-08-02,,,,,,,249.57,3.0
426,2003-08-03,,,,,,,249.5,3.0
427,2003-08-04,,,,,,,249.44,3.0
428,2003-08-05,,,,,,,249.38,3.0
429,2003-08-06,,,,,,,249.32,3.0
430,2003-08-07,,,,,,,249.27,3.0
431,2003-08-08,,,,,,,249.21,3.0
432,2003-08-09,,,,,,,249.15,2.8
433,2003-08-10,,,,,,,249.1,2.8
434,2003-08-11,,,,,,,249.04,2.8
435,2003-08-12,,,,,,,248.98,2.8
436,2003-08-13,,,,,,,248.92,2.8
437,2003-08-14,,,,,,,248.86,2.8
438,2003-08-15,,,,,,,248.8,2.8
439,2003-08-16,,,,,,,248.75,2.8
440,2003-08-17,,,,,,,248.69,2.8
441,2003-08-18,,,,,,,248.63,2.8
442,2003-08-19,,,,,,,248.57,2.8
443,2003-08-20,,,,,,,248.51,2.8
444,2003-08-21,,,,,,,248.44,2.8
445,2003-08-22,,,,,,,248.39,2.8
446,2003-08-23,,,,,,,248.33,2.8
447,2003-08-24,,,,,,,248.27,2.8
448,2003-08-25,,,,,,,248.21,2.8
449,2003-08-26,,,,,,,248.16,2.8
450,2003-08-27,,,,,,,248.1,2.8
451,2003-08-28,,,,,,,248.04,2.8
452,2003-08-29,,,,,,,247.98,2.8
453,2003-08-30,,,,,,,247.92,2.8
454,2003-08-31,,,,,,,247.86,2.8
455,2003-09-01,,,,,,,247.8,2.8
456,2003-09-02,,,,,,,247.74,2.8
457,2003-09-03,,,,,,,247.67,2.8
458,2003-09-04,,,,,,,247.61,2.8
459,2003-09-05,,,,,,,247.55,2.8
460,2003-09-06,,,,,,,247.49,2.8
461,2003-09-07,,,,,,,247.43,2.8
462,2003-09-08,,,,,,,247.38,2.8
463,2003-09-09,,,,,,,247.33,2.8
464,2003-09-10,,,,,,,247.28,2.8
465,2003-09-11,,,,,,,247.21,2.8
466,2003-09-12,,,,,,,247.16,2.8
467,2003-09-13,,,,,,,247.1,2.8
468,2003-09-14,,,,,,,247.03,2.8
469,2003-09-15,,,,,,,246.97,2.8
470,2003-09-16,,,,,,,246.9,2.8
471,2003-09-17,,,,,,,246.84,2.8
472,2003-09-18,,,,,,,246.78,2.8
473,2003-09-19,,,,,,,246.72,3.0
474,2003-09-20,,,,,,,246.64,3.0
475,2003-09-21,,,,,,,246.59,3.0
476,2003-09-22,,,,,,,246.53,3.0
477,2003-09-23,,,,,,,246.46,3.0
478,2003-09-24,,,,,,,246.41,3.0
479,2003-09-25,,,,,,,246.34,3.0
480,2003-09-26,,,,,,,246.28,3.0
481,2003-09-27,,,,,,,246.2,3.0
482,2003-09-28,,,,,,,246.14,3.0
483,2003-09-29,,,,,,,246.11,3.0
484,2003-09-30,,,,,,,246.05,3.0
485,2003-10-01,,,,,,,245.98,3.0
486,2003-10-02,,,,,,,245.91,3.0
487,2003-10-03,,,,,,,245.86,2.7
488,2003-10-04,,,,,,,245.8,2.4
489,2003-10-05,,,,,,,245.75,2.4
490,2003-10-06,,,,,,,245.69,2.4
491,2003-10-07,,,,,,,245.64,2.0
492,2003-10-08,,,,,,,245.59,2.0
493,2003-10-09,,,,,,,245.54,2.0
494,2003-10-10,,,,,,,245.5,2.0
495,2003-10-11,,,,,,,245.47,2.0
496,2003-10-12,,,,,,,245.43,2.0
497,2003-10-13,,,,,,,245.38,2.0
498,2003-10-14,,,,,,,245.34,2.3
499,2003-10-15,,,,,,,245.29,2.3
500,2003-10-16,,,,,,,245.23,2.3
501,2003-10-17,,,,,,,245.18,2.3
502,2003-10-18,,,,,,,245.12,2.3
503,2003-10-19,,,,,,,245.07,2.3
504,2003-10-20,,,,,,,245.03,2.0
505,2003-10-21,,,,,,,245.04,0.6
506,2003-10-22,,,,,,,245.03,0.6
507,2003-10-23,,,,,,,245.02,0.6
508,2003-10-24,,,,,,,245.03,0.6
509,2003-10-25,,,,,,,245.01,0.6
510,2003-10-26,,,,,,,245.0,0.6
511,2003-10-27,,,,,,,245.01,3.0
512,2003-10-28,,,,,,,244.96,0.6
513,2003-10-29,,,,,,,244.98,0.6
514,2003-10-30,,,,,,,245.07,0.6
515,2003-10-31,,,,,,,245.12,0.6
516,2003-11-01,,,,,,,245.18,0.6
517,2003-11-02,,,,,,,245.8,0.6
518,2003-11-03,,,,,,,245.86,0.6
519,2003-11-04,,,,,,,245.87,0.6
520,2003-11-05,,,,,,,245.88,0.6
521,2003-11-06,,,,,,,245.88,0.6
522,2003-11-07,,,,,,,245.88,0.6
523,2003-11-08,,,,,,,245.92,0.6
524,2003-11-09,,,,,,,246.41,0.6
525,2003-11-10,,,,,,,246.51,0.6
526,2003-11-11,,,,,,,246.55,0.6
527,2003-11-12,,,,,,,246.58,0.6
528,2003-11-13,,,,,,,245.58,0.6
529,2003-11-14,,,,,,,246.59,0.6
530,2003-11-15,,,,,,,246.6,0.6
531,2003-11-16,,,,,,,246.62,0.6
532,2003-11-17,,,,,,,246.64,0.5
533,2003-11-18,,,,,,,246.72,0.5
534,2003-11-19,,,,,,,246.77,0.5
535,2003-11-20,,,,,,,246.78,0.5
536,2003-11-21,,,,,,,246.8,0.5
537,2003-11-22,,,,,,,246.8,0.5
538,2003-11-23,,,,,,,246.81,0.5
539,2003-11-24,,,,,,,246.82,0.5
540,2003-11-25,,,,,,,246.84,0.5
541,2003-11-26,,,,,,,246.9,0.5
542,2003-11-27,,,,,,,247.68,0.5
543,2003-11-28,,,,,,,248.37,0.5
544,2003-11-29,,,,,,,248.65,0.5
545,2003-11-30,,,,,,,248.76,0.5
546,2003-12-01,,,,,,,248.82,0.5
547,2003-12-02,,,,,,,248.88,0.5
548,2003-12-03,,,,,,,248.93,0.5
549,2003-12-04,,,,,,,248.96,0.5
550,2003-12-05,,,,,,,248.99,0.5
551,2003-12-06,,,,,,,249.01,0.5
552,2003-12-07,,,,,,,249.03,0.5
553,2003-12-08,,,,,,,249.04,0.5
554,2003-12-09,,,,,,,249.04,0.5
555,2003-12-10,,,,,,,249.05,0.5
556,2003-12-11,,,,,,,249.16,0.5
557,2003-12-12,,,,,,,249.23,0.5
558,2003-12-13,,,,,,,249.28,0.5
559,2003-12-14,,,,,,,249.31,0.5
560,2003-12-15,,,,,,,249.33,0.5
561,2003-12-16,,,,,,,249.35,0.5
562,2003-12-17,,,,,,,249.36,0.5
563,2003-12-18,,,,,,,249.37,0.5
564,2003-12-19,,,,,,,249.38,0.5
565,2003-12-20,,,,,,,249.39,0.5
566,2003-12-21,,,,,,,249.42,0.5
567,2003-12-22,,,,,,,249.82,0.5
568,2003-12-23,,,,,,,249.94,0.5
569,2003-12-24,,,,,,,249.99,0.5
570,2003-12-25,,,,,,,250.01,0.5
571,2003-12-26,,,,,,,250.04,0.5
572,2003-12-27,,,,,,,250.06,0.5
573,2003-12-28,,,,,,,250.09,0.5
574,2003-12-29,,,,,,,250.2,0.5
575,2003-12-30,,,,,,,250.67,0.5
576,2003-12-31,,,,,,,250.95,0.5
577,2004-01-01,0.0,0.0,0.4,0.0,0.0,,251.14,0.5
578,2004-01-02,0.0,0.0,0.0,0.0,0.0,6.5,251.21,0.5
579,2004-01-03,0.0,0.0,0.0,0.0,0.0,4.45,251.28,0.5
580,2004-01-04,0.0,0.0,0.0,0.0,0.0,,251.35,0.5
581,2004-01-05,0.2,0.0,0.0,0.0,0.0,,251.37,0.5
582,2004-01-06,0.0,0.0,0.0,0.0,0.0,2.25,251.42,0.5
583,2004-01-07,0.0,0.0,0.0,0.0,0.0,3.65,251.43,0.5
584,2004-01-08,0.0,0.8,0.0,0.0,0.0,3.35,251.45,0.5
585,2004-01-09,4.6,5.8,3.8,5.6,7.8,5.55,251.49,0.5
586,2004-01-10,0.0,0.0,0.0,0.0,0.0,6.1,251.52,0.5
587,2004-01-11,0.0,0.0,0.0,0.0,0.0,6.25,251.53,0.5
588,2004-01-12,1.8,1.6,1.2,3.4,3.6,6.7,251.55,0.5
589,2004-01-13,0.4,2.6,0.8,1.2,0.6,8.6,251.58,0.5
590,2004-01-14,0.0,0.2,0.0,0.0,0.0,12.2,251.59,0.5
591,2004-01-15,7.0,13.0,10.0,8.8,6.0,9.1,251.64,0.5
592,2004-01-16,3.2,11.4,4.6,5.6,4.4,5.45,251.7,0.5
593,2004-01-17,19.6,,20.2,,18.2,4.9,251.8,
594,2004-01-18,,,,25.2,24.8,8.35,,
