,Date,Rainfall_Gallicano,Rainfall_Pontetetto,Rainfall_Monte_Serra,Rainfall_Orentano,Rainfall_Borgo_a_Mozzano,Rainfall_Piaggione,Rainfall_Calavorno,Rainfall_Croce_Arcana,Rainfall_Tereglio_Coreglia_Antelminelli,Rainfall_Fabbriche_di_Vallico,Depth_to_Groundwater_LT2,Depth_to_Groundwater_SAL,Depth_to_Groundwater_PAG,Depth_to_Groundwater_CoS,Depth_to_Groundwater_DIEC,Temperature_Orentano,Temperature_Monte_Serra,Temperature_Ponte_a_Moriano,Temperature_Lucca_Orto_Botanico,Volume_POL,Volume_CC1,Volume_CC2,Volume_CSA,Volume_CSAL,Hydrometry_Monte_S_Quirico,Hydrometry_Piaggione
44,1998-04-18,,,,,,,,,,,,,,,,,8.85,,10.15,,,,,,,
45,1998-04-19,,,,,,,,,,,,,,,,,8.55,,10.0,,,,,,,
46,1998-04-20,,,,,,,,,,,,,,,,,8.95,,12.4,,,,,,,
47,1998-04-21,,,,,,,,,,,,,,,,,10.0,,12.15,,,,,,,
48,1998-04-22,,,,,,,,,,,,,,,,,11.25,,14.05,,,,,,,
49,1998-04-23,,,,,,,,,,,,,,,,,14.6,,15.6,,,,,,,
50,1998-04-24,,,,,,,,,,,,,,,,,15.05,,15.7,,,,,,,
51,1998-04-25,,,,,,,,,,,,,,,,,16.15,,16.4,,,,,,,
52,1998-04-26,,,,,,,,,,,,,,,,,16.5,,16.45,,,,,,,
53,1998-04-27,,,,,,,,,,,,,,,,,15.55,,14.85,,,,,,,
54,1998-04-28,,,,,,,,,,,,,,,,,12.05,,13.7,,,,,,,
55,1998-04-29,,,,,,,,,,,,,,,,,9.5,,14.0,,,,,,,
56,1998-04-30,,,,,,,,,,,,,,,,,10.6,,10.35,,,,,,,
57,1998-05-01,,,,,,,,,,,,,,,,,11.0,,13.3,,,,,,,
58,1998-05-02,,,,,,,,,,,,,,,,,11.1,,13.7,,,,,,,
59,1998-05-03,,,,,,,,,,,,,,,,,12.1,,14.85,,,,,,,
60,1998-05-04,,,,,,,,,,,,,,,,,14.1,,15.65,,,,,,,
61,1998-05-05,,,,,,,,,,,,,,,,,13.7,,17.65,,,,,,,
62,1998-05-06,,,,,,,,,,,,,,,,,13.9,,17.05,,,,,,,
63,1998-05-07,,,,,,,,,,,,,,,,,15.05,,17.85,,,,,,,
64,1998-05-08,,,,,,,,,,,,,,,,,16.2,,18.4,,,,,,,
65,1998-05-09,,,,,,,,,,,,,,,,,17.75,,19.15,,,,,,,
66,1998-05-10,,,,,,,,,,,,,,,,,18.35,,20.3,,,,,,,
67,1998-05-11,,,,,,,,,,,,,,,,,20.8,,20.9,,,,,,,
68,1998-05-12,,,,,,,,,,,,,,,,,21.0,,21.65,,,,,,,
69,1998-05-13,,,,,,,,,,,,,,,,,21.75,,22.45,,,,,,,
70,1998-05-14,,,,,,,,,,,,,,,,,20.7,,22.25,,,,,,,
71,1998-05-15,,,,,,,,,,,,,,,,,20.6,,22.15,,,,,,,
72,1998-05-16,,,,,,,,,,,,,,,,,18.3,,19.0,,,,,,,
73,1998-05-17,,,,,,,,,,,,,,,,,15.65,,17.1,,,,,,,
74,1998-05-18,,,,,,,,,,,,,,,,,12.9,,16.6,,,,,,,
75,1998-05-19,,,,,,,,,,,,,,,,,14.55,,16.7,,,,,,,
76,1998-05-20,,,,,,,,,,,,,,,,,16.65,,18.65,,,,,,,
77,1998-05-21,,,,,,,,,,,,,,,,,17.1,,18.0,,,,,,,
78,1998-05-22,,,,,,,,,,,,,,,,,14.75,,17.65,,,,,,,
79,1998-05-23,,,,,,,,,,,,,,,,,15.3,,19.1,,,,,,,
80,1998-05-24,,,,,,,,,,,,,,,,,16.0,,18.05,,,,,,,
81,1998-05-25,,,,,,,,,,,,,,,,,13.65,,18.1,,,,,,,
82,1998-05-26,,,,,,,,,,,,,,,,,13.85,,17.5,,,,,,,
83,1998-05-27,,,,,,,,,,,,,,,,,14.95,,20.1,,,,,,,
84,1998-05-28,,,,,,,,,,,,,,,,,15.15,,16.8,,,,,,,
85,1998-05-29,,,,,,,,,,,,,,,,,13.45,,18.85,,,,,,,
86,1998-05-30,,,,,,,,,,,,,,,,,14.05,,18.4,,,,,,,
87,1998-05-31,,,,,,,,,,,,,,,,,15.2,,16.95,,,,,,,
88,1998-06-01,,,,,,,,,,,,,,,,,15.55,,20.8,,,,,,,
89,1998-06-02,,,,,,,,,,,,,,,,,16.9,,20.35,,,,,,,
90,1998-06-03,,,,,,,,,,,,,,,,,20.1,,23.85,,,,,,,
91,1998-06-04,,,,,,,,,,,,,,,,,22.1,,25.9,,,,,,,
92,1998-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1998-06-06,,,,,,,,,,,,,,,,,,,26.2,,,,,,,
94,1998-06-07,,,,,,,,,,,,,,,,,22.8,,24.55,,,,,,,
95,1998-06-08,,,,,,,,,,,,,,,,,18.55,,22.0,,,,,,,
96,1998-06-09,,,,,,,,,,,,,,,,,17.45,,20.9,,,,,,,
97,1998-06-10,,,,,,,,,,,,,,,,,19.65,,21.55,,,,,,,
98,1998-06-11,,,,,,,,,,,,,,,,,17.85,,20.05,,,,,,,
99,1998-06-12,,,,,,,,,,,,,,,,,12.6,,15.6,,,,,,,
100,1998-06-13,,,,,,,,,,,,,,,,,12.65,,17.95,,,,,,,
101,1998-06-14,,,,,,,,,,,,,,,,,14.0,,16.95,,,,,,,
102,1998-06-15,,,,,,,,,,,,,,,,,13.9,,18.35,,,,,,,
103,1998-06-16,,,,,,,,,,,,,,,,,13.85,,19.7,,,,,,,
104,1998-06-17,,,,,,,,,,,,,,,,,15.15,,18.95,,,,,,,
105,1998-06-18,,,,,,,,,,,,,,,,,17.15,,20.1,,,,,,,
106,1998-06-19,,,,,,,,,,,,,,,,,18.8,,20.45,,,,,,,
107,1998-06-20,,,,,,,,,,,,,,,,,20.8,,21.9,,,,,,,
108,1998-06-21,,,,,,,,,,,,,,,,,21.15,,21.55,,,,,,,
109,1998-06-22,,,,,,,,,,,,,,,,,20.05,,21.25,,,,,,,
110,1998-06-23,,,,,,,,,,,,,,,,,18.9,,22.85,,,,,,,
111,1998-06-24,,,,,,,,,,,,,,,,,20.5,,22.8,,,,,,,
112,1998-06-25,,,,,,,,,,,,,,,,,21.05,,23.5,,,,,,,
113,1998-06-26,,,,,,,,,,,,,,,,,21.5,,23.75,,,,,,,
114,1998-06-27,,,,,,,,,,,,,,,,,21.85,,23.9,,,,,,,
115,1998-06-28,,,,,,,,,,,,,,,,,21.8,,24.25,,,,,,,
116,1998-06-29,,,,,,,,,,,,,,,,,22.5,,25.25,,,,,,,
117,1998-06-30,,,,,,,,,,,,,,,,,23.05,,25.45,,,,,,,
118,1998-07-01,,,,,,,,,,,,,,,,,22.55,,26.75,,,,,,,
119,1998-07-02,,,,,,,,,,,,,,,,,23.6,,24.7,,,,,,,
120,1998-07-03,,,,,,,,,,,,,,,,,20.2,,22.7,,,,,,,
121,1998-07-04,,,,,,,,,,,,,,,,,18.65,,23.95,,,,,,,
122,1998-07-05,,,,,,,,,,,,,,,,,21.2,,23.2,,,,,,,
123,1998-07-06,,,,,,,,,,,,,,,,,20.9,,24.05,,,,,,,
124,1998-07-07,,,,,,,,,,,,,,,,,20.3,,24.25,,,,,,,
125,1998-07-08,,,,,,,,,,,,,,,,,19.65,,24.7,,,,,,,
126,1998-07-09,,,,,,,,,,,,,,,,,19.45,,23.05,,,,,,,
127,1998-07-10,,,,,,,,,,,,,,,,,19.8,,22.0,,,,,,,
128,1998-07-11,,,,,,,,,,,,,,,,,19.5,,23.45,,,,,,,
129,1998-07-12,,,,,,,,,,,,,,,,,18.9,,22.8,,,,,,,
130,1998-07-13,,,,,,,,,,,,,,,,,20.6,,22.85,,,,,,,
131,1998-07-14,,,,,,,,,,,,,,,,,20.0,,22.2,,,,,,,
132,1998-07-15,,,,,,,,,,,,,,,,,17.45,,22.55,,,,,,,
133,1998-07-16,,,,,,,,,,,,,,,,,20.15,,22.0,,,,,,,
134,1998-07-17,,,,,,,,,,,,,,,,,18.85,,23.3,,,,,,,
135,1998-07-18,,,,,,,,,,,,,,,,,19.85,,23.1,,,,,,,
136,1998-07-19,,,,,,,,,,,,,,,,,21.4,,24.75,,,,,,,
137,1998-07-20,,,,,,,,,,,,,,,,,,,26.5,,,,,,,
138,1998-07-21,,,,,,,,,,,,,,,,,,,26.4,,,,,,,
139,1998-07-22,,,,,,,,,,,,,,,,,,,26.2,,,,,,,
140,1998-07-23,,,,,,,,,,,,,,,,,,,25.6,,,,,,,
141,1998-07-24,,,,,,,,,,,,,,,,,,,25.75,,,,,,,
142,1998-07-25,,,,,,,,,,,,,,,,,,,25.65,,,,,,,
143,1998-07-26,,,,,,,,,,,,,,,,,23.55,,26.65,,,,,,,
144,1998-07-27,,,,,,,,,,,,,,,,,,,26.75,,,,,,,
145,1998-07-28,,,,,,,,,,,,,,,,,23.7,,25.8,,,,,,,
146,1998-07-29,,,,,,,,,,,,,,,,,21.05,,24.45,,,,,,,
147,1998-07-30,,,,,,,,,,,,,,,,,23.25,,25.3,,,,,,,
148,1998-07-31,,,,,,,,,,,,,,,,,22.8,,24.9,,,,,,,
149,1998-08-01,,,,,,,,,,,,,,,,,23.4,,27.2,,,,,,,
150,1998-08-02,,,,,,,,,,,,,,,,,,,26.95,,,,,,,
151,1998-08-03,,,,,,,,,,,,,,,,,23.45,,,,,,,,,
152,1998-08-04,,,,,,,,,,,,,,,,,23.0,,26.4,,,,,,,
153,1998-08-05,,,,,,,,,,,,,,,,,23.2,,26.7,,,,,,,
154,1998-08-06,,,,,,,,,,,,,,,,,,,26.9,,,,,,,
155,1998-08-07,,,,,,,,,,,,,,,,,,,26.85,,,,,,,
156,1998-08-08,,,,,,,,,,,,,,,,,,,26.7,,,,,,,
157,1998-08-09,,,,,,,,,,,,,,,,,,,25.95,,,,,,,
158,1998-08-10,,,,,,,,,,,,,,,,,,,26.3,,,,,,,
159,1998-08-11,,,,,,,,,,,,,,,,,,,26.9,,,,,,,
160,1998-08-12,,,,,,,,,,,,,,,,,,,26.85,,,,,,,
161,1998-08-13,,,,,,,,,,,,,,,,,,,25.4,,,,,,,
162,1998-08-14,,,,,,,,,,,,,,,,,,,24.75,,,,,,,
163,1998-08-15,,,,,,,,,,,,,,,,,,,25.25,,,,,,,
164,1998-08-16,,,,,,,,,,,,,,,,,,,25.65,,,,,,,
165,1998-08-17,,,,,,,,,,,,,,,,,,,26.75,,,,,,,
166,1998-08-18,,,,,,,,,,,,,,,,,,,25.7,,,,,,,
167,1998-08-19,,,,,,,,,,,,,,,,,22.7,,25.55,,,,,,,
168,1998-08-20,,,,,,,,,,,,,,,,,,,24.75,,,,,,,
169,1998-08-21,,,,,,,,,,,,,,,,,,,24.8,,,,,,,
170,1998-08-22,,,,,,,,,,,,,,,,,21.75,,24.55,,,,,,,
171,1998-08-23,,,,,,,,,,,,,,,,,22.5,,26.6,,,,,,,
172,1998-08-24,,,,,,,,,,,,,,,,,,,25.0,,,,,,,
173,1998-08-25,,,,,,,,,,,,,,,,,22.85,,25.35,,,,,,,
174,1998-08-26,,,,,,,,,,,,,,,,,,,24.05,,,,,,,
175,1998-08-27,,,,,,,,,,,,,,,,,21.9,,23.2,,,,,,,
176,1998-08-28,,,,,,,,,,,,,,,,,21.75,,17.25,,,,,,,
177,1998-08-29,,,,,,,,,,,,,,,,,17.15,,17.65,,,,,,,
178,1998-08-30,,,,,,,,,,,,,,,,,19.8,,18.25,,,,,,,
179,1998-08-31,,,,,,,,,,,,,,,,,20.0,,19.5,,,,,,,
180,1998-09-01,,,,,,,,,,,,,,,,,20.4,,22.85,,,,,,,
181,1998-09-02,,,,,,,,,,,,,,,,,21.9,,24.1,,,,,,,
182,1998-09-03,,,,,,,,,,,,,,,,,,,23.45,,,,,,,
183,1998-09-04,,,,,,,,,,,,,,,,,,,24.85,,,,,,,
184,1998-09-05,,,,,,,,,,,,,,,,,23.0,,22.35,,,,,,,
185,1998-09-06,,,,,,,,,,,,,,,,,20.75,,21.9,,,,,,,
186,1998-09-07,,,,,,,,,,,,,,,,,20.3,,20.95,,,,,,,
187,1998-09-08,,,,,,,,,,,,,,,,,20.95,,22.95,,,,,,,
188,1998-09-09,,,,,,,,,,,,,,,,,21.6,,22.15,,,,,,,
189,1998-09-10,,,,,,,,,,,,,,,,,23.5,,23.35,,,,,,,
190,1998-09-11,,,,,,,,,,,,,,,,,22.8,,20.25,,,,,,,
191,1998-09-12,,,,,,,,,,,,,,,,,18.6,,18.55,,,,,,,
192,1998-09-13,,,,,,,,,,,,,,,,,14.3,,15.9,,,,,,,
193,1998-09-14,,,,,,,,,,,,,,,,,13.15,,15.15,,,,,,,
194,1998-09-15,,,,,,,,,,,,,,,,,13.45,,15.5,,,,,,,
195,1998-09-16,,,,,,,,,,,,,,,,,14.25,,15.3,,,,,,,
196,1998-09-17,,,,,,,,,,,,,,,,,16.05,,19.2,,,,,,,
197,1998-09-18,,,,,,,,,,,,,,,,,16.95,,19.2,,,,,,,
198,1998-09-19,,,,,,,,,,,,,,,,,18.3,,18.5,,,,,,,
199,1998-09-20,,,,,,,,,,,,,,,,,17.05,,17.3,,,,,,,
200,1998-09-21,,,,,,,,,,,,,,,,,17.1,,18.7,,,,,,,
201,1998-09-22,,,,,,,,,,,,,,,,,17.05,,17.6,,,,,,,
202,1998-09-23,,,,,,,,,,,,,,,,,17.5,,17.6,,,,,,,
203,1998-09-24,,,,,,,,,,,,,,,,,18.5,,18.3,,,,,,,
204,1998-09-25,,,,,,,,,,,,,,,,,18.3,,15.8,,,,,,,
205,1998-09-26,,,,,,,,,,,,,,,,,16.4,,18.95,,,,,,,
206,1998-09-27,,,,,,,,,,,,,,,,,18.1,,17.8,,,,,,,
207,1998-09-28,,,,,,,,,,,,,,,,,15.8,,17.5,,,,,,,
208,1998-09-29,,,,,,,,,,,,,,,,,16.05,,18.9,,,,,,,
209,1998-09-30,,,,,,,,,,,,,,,,,15.75,,17.95,,,,,,,
210,1998-10-01,,,,,,,,,,,,,,,,,17.3,,18.55,,,,,,,
211,1998-10-02,,,,,,,,,,,,,,,,,15.5,,16.45,,,,,,,
212,1998-10-03,,,,,,,,,,,,,,,,,13.55,,16.15,,,,,,,
213,1998-10-04,,,,,,,,,,,,,,,,,13.8,,15.3,,,,,,,
214,1998-10-05,,,,,,,,,,,,,,,,,15.2,,16.35,,,,,,,
215,1998-10-06,,,,,,,,,,,,,,,,,16.9,,16.4,,,,,,,
216,1998-10-07,,,,,,,,,,,,,,,,,15.6,,17.45,,,,,,,
217,1998-10-08,,,,,,,,,,,,,,,,,15.1,,16.7,,,,,,,
218,1998-10-09,,,,,,,,,,,,,,,,,14.95,,15.45,,,,,,,
219,1998-10-10,,,,,,,,,,,,,,,,,14.25,,15.6,,,,,,,
220,1998-10-11,,,,,,,,,,,,,,,,,13.35,,15.4,,,,,,,
221,1998-10-12,,,,,,,,,,,,,,,,,13.45,,15.4,,,,,,,
222,1998-10-13,,,,,,,,,,,,,,,,,13.45,,14.8,,,,,,,
223,1998-10-14,,,,,,,,,,,,,,,,,14.6,,13.4,,,,,,,
224,1998-10-15,,,,,,,,,,,,,,,,,14.25,,14.4,,,,,,,
225,1998-10-16,,,,,,,,,,,,,,,,,14.7,,14.15,,,,,,,
226,1998-10-17,,,,,,,,,,,,,,,,,14.8,,16.4,,,,,,,
227,1998-10-18,,,,,,,,,,,,,,,,,15.65,,17.7,,,,,,,
228,1998-10-19,,,,,,,,,,,,,,,,,15.55,,15.7,,,,,,,
229,1998-10-20,,,,,,,,,,,,,,,,,15.25,,14.8,,,,,,,
230,1998-10-21,,,,,,,,,,,,,,,,,13.95,,13.2,,,,,,,
231,1998-10-22,,,,,,,,,,,,,,,,,15.05,,13.25,,,,,,,
232,1998-10-23,,,,,,,,,,,,,,,,,14.25,,14.2,,,,,,,
233,1998-10-24,,,,,,,,,,,,,,,,,13.7,,16.15,,,,,,,
234,1998-10-25,,,,,,,,,,,,,,,,,14.5,,16.05,,,,,,,
235,1998-10-26,,,,,,,,,,,,,,,,,15.2,,14.2,,,,,,,
236,1998-10-27,,,,,,,,,,,,,,,,,15.15,,12.55,,,,,,,
237,1998-10-28,,,,,,,,,,,,,,,,,14.8,,15.4,,,,,,,
238,1998-10-29,,,,,,,,,,,,,,,,,13.95,,17.65,,,,,,,
239,1998-10-30,,,,,,,,,,,,,,,,,13.7,,13.45,,,,,,,
240,1998-10-31,,,,,,,,,,,,,,,,,12.0,,11.7,,,,,,,
241,1998-11-01,,,,,,,,,,,,,,,,,12.55,,14.45,,,,,,,
242,1998-11-02,,,,,,,,,,,,,,,,,13.75,,15.9,,,,,,,
243,1998-11-03,,,,,,,,,,,,,,,,,13.4,,15.9,,,,,,,
244,1998-11-04,,,,,,,,,,,,,,,,,16.1,,17.6,,,,,,,
245,1998-11-05,,,,,,,,,,,,,,,,,14.35,,13.85,,,,,,,
246,1998-11-06,,,,,,,,,,,,,,,,,12.6,,12.35,,,,,,,
247,1998-11-07,,,,,,,,,,,,,,,,,11.45,,10.55,,,,,,,
248,1998-11-08,,,,,,,,,,,,,,,,,10.2,,9.0,,,,,,,
249,1998-11-09,,,,,,,,,,,,,,,,,9.2,,9.25,,,,,,,
250,1998-11-10,,,,,,,,,,,,,,,,,11.35,,11.5,,,,,,,
251,1998-11-11,,,,,,,,,,,,,,,,,12.5,,14.45,,,,,,,
252,1998-11-12,,,,,,,,,,,,,,,,,10.85,,10.25,,,,,,,
253,1998-11-13,,,,,,,,,,,,,,,,,9.4,,9.15,,,,,,,
254,1998-11-14,,,,,,,,,,,,,,,,,9.65,,6.8,,,,,,,
255,1998-11-15,,,,,,,,,,,,,,,,,8.95,,9.25,,,,,,,
256,1998-11-16,,,,,,,,,,,,,,,,,9.85,,7.4,,,,,,,
257,1998-11-17,,,,,,,,,,,,,,,,,9.05,,6.1,,,,,,,
258,1998-11-18,,,,,,,,,,,,,,,,,7.75,,4.3,,,,,,,
259,1998-11-19,,,,,,,,,,,,,,,,,6.9,,6.65,,,,,,,
260,1998-11-20,,,,,,,,,,,,,,,,,5.7,,3.75,,,,,,,
261,1998-11-21,,,,,,,,,,,,,,,,,3.3,,,,,,,,,
262,1998-11-22,,,,,,,,,,,,,,,,,1.85,,3.35,,,,,,,
263,1998-11-23,,,,,,,,,,,,,,,,,3.35,,,,,,,,,
264,1998-11-24,,,,,,,,,,,,,,,,,5.35,,5.85,,,,,,,
265,1998-11-25,,,,,,,,,,,,,,,,,7.7,,6.75,,,,,,,
266,1998-11-26,,,,,,,,,,,,,,,,,7.65,,8.15,,,,,,,
267,1998-11-27,,,,,,,,,,,,,,,,,8.55,,6.95,,,,,,,
268,1998-11-28,,,,,,,,,,,,,,,,,7.75,,7.15,,,,,,,
269,1998-11-29,,,,,,,,,,,,,,,,,8.25,,3.95,,,,,,,
270,1998-11-30,,,,,,,,,,,,,,,,,7.05,,6.15,,,,,,,
271,1998-12-01,,,,,,,,,,,,,,,,,7.6,,8.0,,,,,,,
272,1998-12-02,,,,,,,,,,,,,,,,,6.15,,9.15,,,,,,,
273,1998-12-03,,,,,,,,,,,,,,,,,7.45,,9.35,,,,,,,
274,1998-12-04,,,,,,,,,,,,,,,,,8.8,,7.2,,,,,,,
275,1998-12-05,,,,,,,,,,,,,,,,,7.85,,5.75,,,,,,,
276,1998-12-06,,,,,,,,,,,,,,,,,7.1,,,,,,,,,
277,1998-12-07,,,,,,,,,,,,,,,,,4.95,,,,,,,,,
278,1998-12-08,,,,,,,,,,,,,,,,,4.6,,,,,,,,,
279,1998-12-09,,,,,,,,,,,,,,,,,5.15,,,,,,,,,
280,1998-12-10,,,,,,,,,,,,,,,,,4.25,,3.15,,,,,,,
281,1998-12-11,,,,,,,,,,,,,,,,,5.95,,4.75,,,,,,,
282,1998-12-12,,,,,,,,,,,,,,,,,7.0,,6.6,,,,,,,
283,1998-12-13,,,,,,,,,,,,,,,,,9.8,,5.7,,,,,,,
284,1998-12-14,,,,,,,,,,,,,,,,,11.2,,3.55,,,,,,,
285,1998-12-15,,,,,,,,,,,,,,,,,13.85,,5.7,,,,,,,
286,1998-12-16,,,,,,,,,,,,,,,,,14.8,,4.0,,,,,,,
287,1998-12-17,,,,,,,,,,,,,,,,,12.2,,6.6,,,,,,,
288,1998-12-18,,,,,,,,,,,,,,,,,12.8,,5.7,,,,,,,
289,1998-12-19,,,,,,,,,,,,,,,,,10.0,,3.35,,,,,,,
290,1998-12-20,,,,,,,,,,,,,,,,,8.6,,6.0,,,,,,,
291,1998-12-21,,,,,,,,,,,,,,,,,7.45,,7.05,,,,,,,
292,1998-12-22,,,,,,,,,,,,,,,,,5.15,,3.45,,,,,,,
293,1998-12-23,,,,,,,,,,,,,,,,,0.3,,,,,,,,,
294,1998-12-24,,,,,,,,,,,,,,,,,0.8,,,,,,,,,
295,1998-12-25,,,,,,,,,,,,,,,,,1.8,,4.15,,,,,,,
296,1998-12-26,,,,,,,,,,,,,,,,,3.7,,,,,,,,,
297,1998-12-27,,,,,,,,,,,,,,,,,3.4,,,,,,,,,
298,1998-12-28,,,,,,,,,,,,,,,,,5.1,,7.3,,,,,,,
299,1998-12-29,,,,,,,,,,,,,,,,,5.7,,8.2,,,,,,,
300,1998-12-30,,,,,,,,,,,,,,,,,4.25,,6.7,,,,,,,
301,1998-12-31,,,,,,,,,,,,,,,,,4.55,,6.4,,,,,,,
302,1999-01-01,,,,,,,,,,,,,,,,,,,9.8,,,,,,,
303,1999-01-02,,,,,,,,,,,,,,,,,5.5,,8.3,,,,,,,
304,1999-01-03,,,,,,,,,,,,,,,,,6.15,,9.3,,,,,,,
305,1999-01-04,,,,,,,,,,,,,,,,,9.55,,9.3,,,,,,,
306,1999-01-05,,,,,,,,,,,,,,,,,11.75,,8.25,,,,,,,
307,1999-01-06,,,,,,,,,,,,,,,,,9.05,,7.45,,,,,,,
308,1999-01-07,,,,,,,,,,,,,,,,,5.65,,9.3,,,,,,,
309,1999-01-08,,,,,,,,,,,,,,,,,6.65,,11.3,,,,,,,
310,1999-01-09,,,,,,,,,,,,,,,,,5.3,,10.8,,,,,,,
311,1999-01-10,,,,,,,,,,,,,,,,,4.0,,7.3,,,,,,,
312,1999-01-11,,,,,,,,,,,,,,,,,2.0,,9.25,,,,,,,
313,1999-01-12,,,,,,,,,,,,,,,,,0.8,,7.55,,,,,,,
314,1999-01-13,,,,,,,,,,,,,,,,,0.95,,4.75,,,,,,,
315,1999-01-14,,,,,,,,,,,,,,,,,3.35,,,,,,,,,
316,1999-01-15,,,,,,,,,,,,,,,,,5.65,,4.65,,,,,,,
317,1999-01-16,,,,,,,,,,,,,,,,,5.0,,3.85,,,,,,,
318,1999-01-17,,,,,,,,,,,,,,,,,5.5,,6.25,,,,,,,
319,1999-01-18,,,,,,,,,,,,,,,,,8.05,,7.55,,,,,,,
320,1999-01-19,,,,,,,,,,,,,,,,,8.65,,7.3,,,,,,,
321,1999-01-20,,,,,,,,,,,,,,,,,8.0,,7.0,,,,,,,
322,1999-01-21,,,,,,,,,,,,,,,,,8.45,,6.4,,,,,,,
323,1999-01-22,,,,,,,,,,,,,,,,,6.95,,2.9,,,,,,,
324,1999-01-23,,,,,,,,,,,,,,,,,5.5,,,,,,,,,
325,1999-01-24,,,,,,,,,,,,,,,,,4.55,,3.05,,,,,,,
326,1999-01-25,,,,,,,,,,,,,,,,,5.65,,4.05,,,,,,,
