,Date,Rainfall_Le_Croci,Rainfall_Cavallina,Rainfall_S_Agata,Rainfall_Mangona,Rainfall_S_Piero,Rainfall_Vernio,Rainfall_Stia,Rainfall_Consuma,Rainfall_Incisa,Rainfall_Montevarchi,Rainfall_S_Savino,Rainfall_Laterina,Rainfall_Bibbiena,Rainfall_Camaldoli,Temperature_Firenze,Hydrometry_Nave_di_Rosano
140,1998-05-21,,,,,,,,,,,,,,,,1.44
141,1998-05-22,,,,,,,,,,,,,,,,1.46
142,1998-05-23,,,,,,,,,,,,,,,,1.46
143,1998-05-24,,,,,,,,,,,,,,,,1.4
144,1998-05-25,,,,,,,,,,,,,,,,1.46
145,1998-05-26,,,,,,,,,,,,,,,,1.72
146,1998-05-27,,,,,,,,,,,,,,,,1.51
147,1998-05-28,,,,,,,,,,,,,,,,1.58
148,1998-05-29,,,,,,,,,,,,,,,,1.83
149,1998-05-30,,,,,,,,,,,,,,,,1.68
150,1998-05-31,,,,,,,,,,,,,,,,1.52
151,1998-06-01,,,,,,,,,,,,,,,,1.6
152,1998-06-02,,,,,,,,,,,,,,,,1.5
153,1998-06-03,,,,,,,,,,,,,,,,1.52
154,1998-06-04,,,,,,,,,,,,,,,,1.49
155,1998-06-05,,,,,,,,,,,,,,,,1.4
156,1998-06-06,,,,,,,,,,,,,,,,1.35
157,1998-06-07,,,,,,,,,,,,,,,,1.29
158,1998-06-08,,,,,,,,,,,,,,,,1.37
159,1998-06-09,,,,,,,,,,,,,,,,1.41
160,1998-06-10,,,,,,,,,,,,,,,,1.37
161,1998-06-11,,,,,,,,,,,,,,,,1.58
162,1998-06-12,,,,,,,,,,,,,,,,1.69
163,1998-06-13,,,,,,,,,,,,,,,,1.69
164,1998-06-14,,,,,,,,,,,,,,,,1.51
165,1998-06-15,,,,,,,,,,,,,,,,1.43
166,1998-06-16,,,,,,,,,,,,,,,,1.48
167,1998-06-17,,,,,,,,,,,,,,,,1.39
168,1998-06-18,,,,,,,,,,,,,,,,1.37
169,1998-06-19,,,,,,,,,,,,,,,,1.39
170,1998-06-20,,,,,,,,,,,,,,,,1.34
171,1998-06-21,,,,,,,,,,,,,,,,1.25
172,1998-06-22,,,,,,,,,,,,,,,,1.23
173,1998-06-23,,,,,,,,,,,,,,,,1.25
174,1998-06-24,,,,,,,,,,,,,,,,1.26
175,1998-06-25,,,,,,,,,,,,,,,,1.24
176,1998-06-26,,,,,,,,,,,,,,,,1.22
177,1998-06-27,,,,,,,,,,,,,,,,1.29
178,1998-06-28,,,,,,,,,,,,,,,,1.18
179,1998-06-29,,,,,,,,,,,,,,,,1.17
180,1998-06-30,,,,,,,,,,,,,,,,1.22
181,1998-07-01,,,,,,,,,,,,,,,,1.23
182,1998-07-02,,,,,,,,,,,,,,,,1.22
183,1998-07-03,,,,,,,,,,,,,,,,1.2
184,1998-07-04,,,,,,,,,,,,,,,,1.19
185,1998-07-05,,,,,,,,,,,,,,,,1.15
186,1998-07-06,,,,,,,,,,,,,,,,1.14
187,1998-07-07,,,,,,,,,,,,,,,,1.18
188,1998-07-08,,,,,,,,,,,,,,,,1.17
189,1998-07-09,,,,,,,,,,,,,,,,1.15
190,1998-07-10,,,,,,,,,,,,,,,,1.15
191,1998-07-11,,,,,,,,,,,,,,,,1.15
192,1998-07-12,,,,,,,,,,,,,,,,1.15
193,1998-07-13,,,,,,,,,,,,,,,,1.14
194,1998-07-14,,,,,,,,,,,,,,,,1.22
195,1998-07-15,,,,,,,,,,,,,,,,1.23
196,1998-07-16,,,,,,,,,,,,,,,,1.17
197,1998-07-17,,,,,,,,,,,,,,,,1.15
198,1998-07-18,,,,,,,,,,,,,,,,1.15
199,1998-07-19,,,,,,,,,,,,,,,,1.14
200,1998-07-20,,,,,,,,,,,,,,,,1.13
201,1998-07-21,,,,,,,,,,,,,,,,1.13
202,1998-07-22,,,,,,,,,,,,,,,,1.12
203,1998-07-23,,,,,,,,,,,,,,,,1.12
204,1998-07-24,,,,,,,,,,,,,,,,1.11
205,1998-07-25,,,,,,,,,,,,,,,,1.11
206,1998-07-26,,,,,,,,,,,,,,,,1.11
207,1998-07-27,,,,,,,,,,,,,,,,1.12
208,1998-07-28,,,,,,,,,,,,,,,,1.12
209,1998-07-29,,,,,,,,,,,,,,,,1.11
210,1998-07-30,,,,,,,,,,,,,,,,1.1
211,1998-07-31,,,,,,,,,,,,,,,,1.09
212,1998-08-01,,,,,,,,,,,,,,,,1.11
213,1998-08-02,,,,,,,,,,,,,,,,1.11
214,1998-08-03,,,,,,,,,,,,,,,,1.12
215,1998-08-04,,,,,,,,,,,,,,,,1.12
216,1998-08-05,,,,,,,,,,,,,,,,1.12
217,1998-08-06,,,,,,,,,,,,,,,,1.1
218,1998-08-07,,,,,,,,,,,,,,,,1.1
219,1998-08-08,,,,,,,,,,,,,,,,1.1
220,1998-08-09,,,,,,,,,,,,,,,,1.09
221,1998-08-10,,,,,,,,,,,,,,,,1.1
222,1998-08-11,,,,,,,,,,,,,,,,1.09
223,1998-08-12,,,,,,,,,,,,,,,,1.09
224,1998-08-13,,,,,,,,,,,,,,,,1.08
225,1998-08-14,,,,,,,,,,,,,,,,1.09
226,1998-08-15,,,,,,,,,,,,,,,,1.09
227,1998-08-16,,,,,,,,,,,,,,,,1.09
228,1998-08-17,,,,,,,,,,,,,,,,1.09
229,1998-08-18,,,,,,,,,,,,,,,,1.09
230,1998-08-19,,,,,,,,,,,,,,,,1.11
231,1998-08-20,,,,,,,,,,,,,,,,1.11
232,1998-08-21,,,,,,,,,,,,,,,,1.11
233,1998-08-22,,,,,,,,,,,,,,,,1.1
234,1998-08-23,,,,,,,,,,,,,,,,1.09
235,1998-08-24,,,,,,,,,,,,,,,,1.09
236,1998-08-25,,,,,,,,,,,,,,,,1.09
237,1998-08-26,,,,,,,,,,,,,,,,1.07
238,1998-08-27,,,,,,,,,,,,,,,,1.08
239,1998-08-28,,,,,,,,,,,,,,,,1.09
240,1998-08-29,,,,,,,,,,,,,,,,1.07
241,1998-08-30,,,,,,,,,,,,,,,,1.06
242,1998-08-31,,,,,,,,,,,,,,,,1.08
243,1998-09-01,,,,,,,,,,,,,,,,1.09
244,1998-09-02,,,,,,,,,,,,,,,,1.09
245,1998-09-03,,,,,,,,,,,,,,,,1.13
246,1998-09-04,,,,,,,,,,,,,,,,1.12
247,1998-09-05,,,,,,,,,,,,,,,,1.16
248,1998-09-06,,,,,,,,,,,,,,,,1.17
249,1998-09-07,,,,,,,,,,,,,,,,1.14
250,1998-09-08,,,,,,,,,,,,,,,,1.13
251,1998-09-09,,,,,,,,,,,,,,,,1.11
252,1998-09-10,,,,,,,,,,,,,,,,1.11
253,1998-09-11,,,,,,,,,,,,,,,,1.12
254,1998-09-12,,,,,,,,,,,,,,,,1.17
255,1998-09-13,,,,,,,,,,,,,,,,1.19
256,1998-09-14,,,,,,,,,,,,,,,,1.16
257,1998-09-15,,,,,,,,,,,,,,,,1.13
258,1998-09-16,,,,,,,,,,,,,,,,1.12
259,1998-09-17,,,,,,,,,,,,,,,,1.12
260,1998-09-18,,,,,,,,,,,,,,,,1.1
261,1998-09-19,,,,,,,,,,,,,,,,1.09
262,1998-09-20,,,,,,,,,,,,,,,,1.09
263,1998-09-21,,,,,,,,,,,,,,,,1.09
264,1998-09-22,,,,,,,,,,,,,,,,1.1
265,1998-09-23,,,,,,,,,,,,,,,,1.1
266,1998-09-24,,,,,,,,,,,,,,,,1.13
267,1998-09-25,,,,,,,,,,,,,,,,1.2
268,1998-09-26,,,,,,,,,,,,,,,,1.24
269,1998-09-27,,,,,,,,,,,,,,,,1.62
270,1998-09-28,,,,,,,,,,,,,,,,1.51
271,1998-09-29,,,,,,,,,,,,,,,,1.31
272,1998-09-30,,,,,,,,,,,,,,,,1.25
273,1998-10-01,,,,,,,,,,,,,,,,1.52
274,1998-10-02,,,,,,,,,,,,,,,,1.67
275,1998-10-03,,,,,,,,,,,,,,,,1.4
276,1998-10-04,,,,,,,,,,,,,,,,1.49
277,1998-10-05,,,,,,,,,,,,,,,,1.63
278,1998-10-06,,,,,,,,,,,,,,,,2.64
279,1998-10-07,,,,,,,,,,,,,,,,2.25
280,1998-10-08,,,,,,,,,,,,,,,,1.96
281,1998-10-09,,,,,,,,,,,,,,,,1.82
282,1998-10-10,,,,,,,,,,,,,,,,1.65
283,1998-10-11,,,,,,,,,,,,,,,,1.37
284,1998-10-12,,,,,,,,,,,,,,,,1.34
285,1998-10-13,,,,,,,,,,,,,,,,1.36
286,1998-10-14,,,,,,,,,,,,,,,,1.41
287,1998-10-15,,,,,,,,,,,,,,,,1.37
288,1998-10-16,,,,,,,,,,,,,,,,1.37
289,1998-10-17,,,,,,,,,,,,,,,,1.3
290,1998-10-18,,,,,,,,,,,,,,,,1.67
291,1998-10-19,,,,,,,,,,,,,,,,2.73
292,1998-10-20,,,,,,,,,,,,,,,,
293,1998-10-21,,,,,,,,,,,,,,,,2.46
294,1998-10-22,,,,,,,,,,,,,,,,1.81
295,1998-10-23,,,,,,,,,,,,,,,,1.63
296,1998-10-24,,,,,,,,,,,,,,,,1.49
297,1998-10-25,,,,,,,,,,,,,,,,1.43
298,1998-10-26,,,,,,,,,,,,,,,,1.68
299,1998-10-27,,,,,,,,,,,,,,,,1.72
300,1998-10-28,,,,,,,,,,,,,,,,1.72
301,1998-10-29,,,,,,,,,,,,,,,,1.51
302,1998-10-30,,,,,,,,,,,,,,,,1.54
303,1998-10-31,,,,,,,,,,,,,,,,1.42
304,1998-11-01,,,,,,,,,,,,,,,,1.32
305,1998-11-02,,,,,,,,,,,,,,,,1.38
306,1998-11-03,,,,,,,,,,,,,,,,1.38
307,1998-11-04,,,,,,,,,,,,,,,,2.76
308,1998-11-05,,,,,,,,,,,,,,,,2.94
309,1998-11-06,,,,,,,,,,,,,,,,2.17
310,1998-11-07,,,,,,,,,,,,,,,,1.85
311,1998-11-08,,,,,,,,,,,,,,,,1.64
312,1998-11-09,,,,,,,,,,,,,,,,1.56
313,1998-11-10,,,,,,,,,,,,,,,,1.64
314,1998-11-11,,,,,,,,,,,,,,,,2.22
315,1998-11-12,,,,,,,,,,,,,,,,2.07
316,1998-11-13,,,,,,,,,,,,,,,,1.77
317,1998-11-14,,,,,,,,,,,,,,,,1.69
318,1998-11-15,,,,,,,,,,,,,,,,1.7
319,1998-11-16,,,,,,,,,,,,,,,,1.82
320,1998-11-17,,,,,,,,,,,,,,,,1.77
321,1998-11-18,,,,,,,,,,,,,,,,1.76
322,1998-11-19,,,,,,,,,,,,,,,,1.69
323,1998-11-20,,,,,,,,,,,,,,,,1.5
324,1998-11-21,,,,,,,,,,,,,,,,1.43
325,1998-11-22,,,,,,,,,,,,,,,,1.34
326,1998-11-23,,,,,,,,,,,,,,,,1.45
327,1998-11-24,,,,,,,,,,,,,,,,1.57
328,1998-11-25,,,,,,,,,,,,,,,,1.63
329,1998-11-26,,,,,,,,,,,,,,,,1.56
330,1998-11-27,,,,,,,,,,,,,,,,1.51
331,1998-11-28,,,,,,,,,,,,,,,,1.36
332,1998-11-29,,,,,,,,,,,,,,,,1.31
333,1998-11-30,,,,,,,,,,,,,,,,1.35
334,1998-12-01,,,,,,,,,,,,,,,,1.55
335,1998-12-02,,,,,,,,,,,,,,,,1.67
336,1998-12-03,,,,,,,,,,,,,,,,1.69
337,1998-12-04,,,,,,,,,,,,,,,,1.77
338,1998-12-05,,,,,,,,,,,,,,,,1.88
339,1998-12-06,,,,,,,,,,,,,,,,1.7
340,1998-12-07,,,,,,,,,,,,,,,,1.62
341,1998-12-08,,,,,,,,,,,,,,,,1.5
342,1998-12-09,,,,,,,,,,,,,,,,1.52
343,1998-12-10,,,,,,,,,,,,,,,,1.59
344,1998-12-11,,,,,,,,,,,,,,,,
345,1998-12-12,,,,,,,,,,,,,,,,
346,1998-12-13,,,,,,,,,,,,,,,,
347,1998-12-14,,,,,,,,,,,,,,,,
348,1998-12-15,,,,,,,,,,,,,,,,
349,1998-12-16,,,,,,,,,,,,,,,,
350,1998-12-17,,,,,,,,,,,,,,,,
351,1998-12-18,,,,,,,,,,,,,,,,
352,1998-12-19,,,,,,,,,,,,,,,,
353,1998-12-20,,,,,,,,,,,,,,,,
354,1998-12-21,,,,,,,,,,,,,,,,
355,1998-12-22,,,,,,,,,,,,,,,,
356,1998-12-23,,,,,,,,,,,,,,,,
357,1998-12-24,,,,,,,,,,,,,,,,
358,1998-12-25,,,,,,,,,,,,,,,,
359,1998-12-26,,,,,,,,,,,,,,,,
360,1998-12-27,,,,,,,,,,,,,,,,
361,1998-12-28,,,,,,,,,,,,,,,,
362,1998-12-29,,,,,,,,,,,,,,,,
363,1998-12-30,,,,,,,,,,,,,,,,
364,1998-12-31,,,,,,,,,,,,,,,,
365,1999-01-01,,,,,,,,,,,,,,,,1.47
366,1999-01-02,,,,,,,,,,,,,,,,1.38
367,1999-01-03,,,,,,,,,,,,,,,,1.37
368,1999-01-04,,,,,,,,,,,,,,,,1.34
369,1999-01-05,,,,,,,,,,,,,,,,1.52
370,1999-01-06,,,,,,,,,,,,,,,,1.43
371,1999-01-07,,,,,,,,,,,,,,,,1.41
372,1999-01-08,,,,,,,,,,,,,,,,1.55
373,1999-01-09,,,,,,,,,,,,,,,,1.48
374,1999-01-10,,,,,,,,,,,,,,,,1.41
375,1999-01-11,,,,,,,,,,,,,,,,2.47
376,1999-01-12,,,,,,,,,,,,,,,,2.81
377,1999-01-13,,,,,,,,,,,,,,,,2.78
378,1999-01-14,,,,,,,,,,,,,,,,2.56
379,1999-01-15,,,,,,,,,,,,,,,,2.27
380,1999-01-16,,,,,,,,,,,,,,,,1.97
381,1999-01-17,,,,,,,,,,,,,,,,1.77
382,1999-01-18,,,,,,,,,,,,,,,,1.79
383,1999-01-19,,,,,,,,,,,,,,,,1.93
384,1999-01-20,,,,,,,,,,,,,,,,1.87
385,1999-01-21,,,,,,,,,,,,,,,,1.75
386,1999-01-22,,,,,,,,,,,,,,,,1.62
387,1999-01-23,,,,,,,,,,,,,,,,1.5
388,1999-01-24,,,,,,,,,,,,,,,,1.47
389,1999-01-25,,,,,,,,,,,,,,,,1.53
390,1999-01-26,,,,,,,,,,,,,,,,1.71
391,1999-01-27,,,,,,,,,,,,,,,,1.98
392,1999-01-28,,,,,,,,,,,,,,,,2.11
393,1999-01-29,,,,,,,,,,,,,,,,1.93
394,1999-01-30,,,,,,,,,,,,,,,,1.58
395,1999-01-31,,,,,,,,,,,,,,,,1.51
396,1999-02-01,,,,,,,,,,,,,,,,1.55
397,1999-02-02,,,,,,,,,,,,,,,,1.68
398,1999-02-03,,,,,,,,,,,,,,,,1.62
399,1999-02-04,,,,,,,,,,,,,,,,1.59
400,1999-02-05,,,,,,,,,,,,,,,,1.65
401,1999-02-06,,,,,,,,,,,,,,,,1.49
402,1999-02-07,,,,,,,,,,,,,,,,1.4
403,1999-02-08,,,,,,,,,,,,,,,,1.48
404,1999-02-09,,,,,,,,,,,,,,,,1.76
405,1999-02-10,,,,,,,,,,,,,,,,
406,1999-02-11,,,,,,,,,,,,,,,,
407,1999-02-12,,,,,,,,,,,,,,,,2.6
408,1999-02-13,,,,,,,,,,,,,,,,2.46
409,1999-02-14,,,,,,,,,,,,,,,,1.77
410,1999-02-15,,,,,,,,,,,,,,,,1.91
411,1999-02-16,,,,,,,,,,,,,,,,2.03
412,1999-02-17,,,,,,,,,,,,,,,,1.98
413,1999-02-18,,,,,,,,,,,,,,,,1.79
414,1999-02-19,,,,,,,,,,,,,,,,1.73
415,1999-02-20,,,,,,,,,,,,,,,,1.78
416,1999-02-21,,,,,,,,,,,,,,,,1.66
417,1999-02-22,,,,,,,,,,,,,,,,1.79
418,1999-02-23,,,,,,,,,,,,,,,,2.52
419,1999-02-24,,,,,,,,,,,,,,,,2.13
420,1999-02-25,,,,,,,,,,,,,,,,2.15
421,1999-02-26,,,,,,,,,,,,,,,,2.06
422,1999-02-27,,,,,,,,,,,,,,,,1.84
423,1999-02-28,,,,,,,,,,,,,,,,1.64
424,1999-03-01,,,,,,,,,,,,,,,,1.8
425,1999-03-02,,,,,,,,,,,,,,,,1.86
426,1999-03-03,,,,,,,,,,,,,,,,1.88
427,1999-03-04,,,,,,,,,,,,,,,,1.9
428,1999-03-05,,,,,,,,,,,,,,,,2.96
429,1999-03-06,,,,,,,,,,,,,,,,
430,1999-03-07,,,,,,,,,,,,,,,,2.96
431,1999-03-08,,,,,,,,,,,,,,,,2.67
432,1999-03-09,,,,,,,,,,,,,,,,2.37
433,1999-03-10,,,,,,,,,,,,,,,,2.31
434,1999-03-11,,,,,,,,,,,,,,,,2.3
435,1999-03-12,,,,,,,,,,,,,,,,2.23
436,1999-03-13,,,,,,,,,,,,,,,,2.05
437,1999-03-14,,,,,,,,,,,,,,,,1.67
438,1999-03-15,,,,,,,,,,,,,,,,1.87
439,1999-03-16,,,,,,,,,,,,,,,,1.98
440,1999-03-17,,,,,,,,,,,,,,,,1.92
441,1999-03-18,,,,,,,,,,,,,,,,1.85
442,1999-03-19,,,,,,,,,,,,,,,,1.77
443,1999-03-20,,,,,,,,,,,,,,,,1.6
444,1999-03-21,,,,,,,,,,,,,,,,1.46
445,1999-03-22,,,,,,,,,,,,,,,,1.67
446,1999-03-23,,,,,,,,,,,,,,,,1.91
447,1999-03-24,,,,,,,,,,,,,,,,1.7
448,1999-03-25,,,,,,,,,,,,,,,,1.66
449,1999-03-26,,,,,,,,,,,,,,,,1.7
450,1999-03-27,,,,,,,,,,,,,,,,2.09
451,1999-03-28,,,,,,,,,,,,,,,,2.37
452,1999-03-29,,,,,,,,,,,,,,,,2.27
453,1999-03-30,,,,,,,,,,,,,,,,2.1
454,1999-03-31,,,,,,,,,,,,,,,,1.96
455,1999-04-01,,,,,,,,,,,,,,,,1.87
456,1999-04-02,,,,,,,,,,,,,,,,1.82
457,1999-04-03,,,,,,,,,,,,,,,,1.62
458,1999-04-04,,,,,,,,,,,,,,,,1.51
459,1999-04-05,,,,,,,,,,,,,,,,1.49
460,1999-04-06,,,,,,,,,,,,,,,,1.6
461,1999-04-07,,,,,,,,,,,,,,,,1.72
462,1999-04-08,,,,,,,,,,,,,,,,2.02
463,1999-04-09,,,,,,,,,,,,,,,,2.2
464,1999-04-10,,,,,,,,,,,,,,,,2.13
465,1999-04-11,,,,,,,,,,,,,,,,1.81
466,1999-04-12,,,,,,,,,,,,,,,,1.99
467,1999-04-13,,,,,,,,,,,,,,,,2.23
468,1999-04-14,,,,,,,,,,,,,,,,2.23
469,1999-04-15,,,,,,,,,,,,,,,,2.26
470,1999-04-16,,,,,,,,,,,,,,,,2.47
471,1999-04-17,,,,,,,,,,,,,,,,2.71
472,1999-04-18,,,,,,,,,,,,,,,,2.45
473,1999-04-19,,,,,,,,,,,,,,,,2.47
474,1999-04-20,,,,,,,,,,,,,,,,2.67
475,1999-04-21,,,,,,,,,,,,,,,,2.85
476,1999-04-22,,,,,,,,,,,,,,,,2.53
477,1999-04-23,,,,,,,,,,,,,,,,2.33
478,1999-04-24,,,,,,,,,,,,,,,,2.35
479,1999-04-25,,,,,,,,,,,,,,,,1.89
480,1999-04-26,,,,,,,,,,,,,,,,2.03
481,1999-04-27,,,,,,,,,,,,,,,,2.08
482,1999-04-28,,,,,,,,,,,,,,,,2.03
483,1999-04-29,,,,,,,,,,,,,,,,1.85
484,1999-04-30,,,,,,,,,,,,,,,,1.88
485,1999-05-01,,,,,,,,,,,,,,,,1.65
486,1999-05-02,,,,,,,,,,,,,,,,1.55
487,1999-05-03,,,,,,,,,,,,,,,,1.9
488,1999-05-04,,,,,,,,,,,,,,,,1.92
