,Date,Rainfall_Settefrati,Temperature_Settefrati,Flow_Rate_Madonna_di_Canneto
161,2012-06-10,0.0,20.1,
162,2012-06-11,0.0,18.45,
163,2012-06-12,0.0,17.8,
164,2012-06-13,0.0,16.4,
165,2012-06-14,0.0,17.95,
166,2012-06-15,0.0,20.85,
167,2012-06-16,0.0,23.8,
168,2012-06-17,0.0,25.5,
169,2012-06-18,0.0,25.85,
170,2012-06-19,0.0,,
171,2012-06-20,0.0,,
172,2012-06-21,0.0,25.95,
173,2012-06-22,0.0,25.45,
174,2012-06-23,0.0,26.0,
175,2012-06-24,0.0,25.05,
176,2012-06-25,0.0,23.55,
177,2012-06-26,1.6,24.15,
178,2012-06-27,5.6,23.25,
179,2012-06-28,0.4,24.1,
180,2012-06-29,0.0,25.65,
181,2012-06-30,0.0,,
182,2012-07-01,0.0,,
183,2012-07-02,0.0,,
184,2012-07-03,0.0,24.4,
185,2012-07-04,0.0,23.3,
186,2012-07-05,0.0,23.65,
187,2012-07-06,0.0,23.45,
188,2012-07-07,0.0,24.15,
189,2012-07-08,0.0,25.45,
190,2012-07-09,0.0,,
191,2012-07-10,0.0,,
192,2012-07-11,0.0,26.0,
193,2012-07-12,0.2,23.8,
194,2012-07-13,0.0,24.0,
195,2012-07-14,0.0,24.95,
196,2012-07-15,0.0,25.8,
197,2012-07-16,0.0,22.65,
198,2012-07-17,0.0,23.05,
199,2012-07-18,0.0,24.25,
200,2012-07-19,0.0,25.55,
201,2012-07-20,0.0,25.9,
202,2012-07-21,0.0,25.15,
203,2012-07-22,0.4,23.0,
204,2012-07-23,22.0,17.5,
205,2012-07-24,31.2,19.3,
206,2012-07-25,2.2,19.4,
207,2012-07-26,0.2,21.8,
208,2012-07-27,0.0,24.95,
209,2012-07-28,0.0,,
210,2012-07-29,0.0,,
211,2012-07-30,0.0,25.8,
212,2012-07-31,0.0,25.35,
213,2012-08-01,0.0,,
214,2012-08-02,0.4,25.7,
215,2012-08-03,0.0,25.5,
216,2012-08-04,0.0,25.85,
217,2012-08-05,0.0,,
218,2012-08-06,0.0,,
219,2012-08-07,0.0,,
220,2012-08-08,0.0,,
221,2012-08-09,0.0,,
222,2012-08-10,8.2,24.35,
223,2012-08-11,0.0,21.55,
224,2012-08-12,0.0,21.85,
225,2012-08-13,0.0,23.45,
226,2012-08-14,15.9,24.2,
227,2012-08-15,0.0,24.7,
228,2012-08-16,0.0,24.3,
229,2012-08-17,0.0,25.4,
230,2012-08-18,0.0,,
231,2012-08-19,0.0,,
232,2012-08-20,0.0,,
233,2012-08-21,0.0,,
234,2012-08-22,2.8,,
235,2012-08-23,0.4,,
236,2012-08-24,0.0,,
237,2012-08-25,0.0,24.8,
238,2012-08-26,0.2,23.6,
239,2012-08-27,0.0,23.15,
240,2012-08-28,0.0,22.2,
241,2012-08-29,0.0,23.65,
242,2012-08-30,0.0,24.55,
243,2012-08-31,0.0,23.6,
244,2012-09-01,0.0,17.5,
245,2012-09-02,0.0,19.35,
246,2012-09-03,13.9,18.45,
247,2012-09-04,5.8,17.25,
248,2012-09-05,4.6,18.2,
249,2012-09-06,5.4,19.95,
250,2012-09-07,0.0,20.3,
251,2012-09-08,0.0,20.75,
252,2012-09-09,1.7,20.6,
253,2012-09-10,2.4,20.35,
254,2012-09-11,0.2,19.8,
255,2012-09-12,0.2,20.0,
256,2012-09-13,26.0,15.95,
257,2012-09-14,18.0,15.0,
258,2012-09-15,0.0,16.0,
259,2012-09-16,0.0,17.35,
260,2012-09-17,0.0,17.05,
261,2012-09-18,0.0,17.7,
262,2012-09-19,6.8,17.55,
263,2012-09-20,0.8,16.55,
264,2012-09-21,0.0,15.4,
265,2012-09-22,0.0,17.35,
266,2012-09-23,0.0,19.85,
267,2012-09-24,0.0,20.75,
268,2012-09-25,0.0,18.7,
269,2012-09-26,1.4,19.9,
270,2012-09-27,0.0,21.2,
271,2012-09-28,0.0,23.05,
272,2012-09-29,0.0,24.6,
273,2012-09-30,9.3,18.45,
274,2012-10-01,0.0,20.15,
275,2012-10-02,0.0,17.3,
276,2012-10-03,0.0,16.55,
277,2012-10-04,0.0,16.2,
278,2012-10-05,0.0,16.55,
279,2012-10-06,0.0,17.5,
280,2012-10-07,0.0,16.2,
281,2012-10-08,0.0,17.7,
282,2012-10-09,5.8,15.3,
283,2012-10-10,0.0,16.75,
284,2012-10-11,0.0,17.35,
285,2012-10-12,19.3,15.6,
286,2012-10-13,6.8,14.55,
287,2012-10-14,0.0,14.8,
288,2012-10-15,,14.9,
289,2012-10-16,2.2,12.7,
290,2012-10-17,0.0,13.4,
291,2012-10-18,0.0,16.05,
292,2012-10-19,0.0,17.45,
293,2012-10-20,0.0,18.6,
294,2012-10-21,0.0,18.95,
295,2012-10-22,0.0,18.65,
296,2012-10-23,0.0,17.3,
297,2012-10-24,0.0,16.15,
298,2012-10-25,0.0,15.55,
299,2012-10-26,29.5,13.75,
300,2012-10-27,,12.2,
301,2012-10-28,17.8,6.35,
302,2012-10-29,11.2,5.25,
303,2012-10-30,1.0,6.6,
304,2012-10-31,,9.5,
305,2012-11-01,9.4,11.45,
306,2012-11-02,0.4,12.25,
307,2012-11-03,0.0,10.85,
308,2012-11-04,27.9,12.55,
309,2012-11-05,14.0,13.6,
310,2012-11-06,0.0,11.15,
311,2012-11-07,4.4,8.55,
312,2012-11-08,0.0,8.85,
313,2012-11-09,0.0,9.95,
314,2012-11-10,0.0,12.25,
315,2012-11-11,0.6,14.6,
316,2012-11-12,1.0,16.25,
317,2012-11-13,0.0,16.35,
318,2012-11-14,0.0,13.6,
319,2012-11-15,0.0,10.4,
320,2012-11-16,0.0,9.7,
321,2012-11-17,0.0,10.7,
322,2012-11-18,18.5,11.35,
323,2012-11-19,6.2,10.95,
324,2012-11-20,1.4,9.55,
325,2012-11-21,0.0,11.55,
326,2012-11-22,0.0,11.65,
327,2012-11-23,0.0,11.55,
328,2012-11-24,0.0,10.6,
329,2012-11-25,0.0,10.2,
330,2012-11-26,0.0,9.4,
331,2012-11-27,1.8,9.2,
332,2012-11-28,,10.35,
333,2012-11-29,,6.25,
334,2012-11-30,6.2,6.05,
335,2012-12-01,7.4,5.5,
336,2012-12-02,13.8,6.15,
337,2012-12-03,2.4,2.95,
338,2012-12-04,17.8,3.4,
339,2012-12-05,0.2,3.9,
340,2012-12-06,5.4,2.05,
341,2012-12-07,11.0,2.25,
342,2012-12-08,15.2,2.3,
343,2012-12-09,0.0,,
344,2012-12-10,16.6,,
345,2012-12-11,0.0,2.35,
346,2012-12-12,0.0,,
347,2012-12-13,0.0,,
348,2012-12-14,24.4,5.15,
349,2012-12-15,9.0,8.5,
350,2012-12-16,0.6,9.5,
351,2012-12-17,15.0,6.65,
352,2012-12-18,0.2,5.4,
353,2012-12-19,0.0,4.95,
354,2012-12-20,0.0,3.55,
355,2012-12-21,13.2,3.2,
356,2012-12-22,0.2,5.65,
357,2012-12-23,0.0,5.8,
358,2012-12-24,0.0,7.9,
359,2012-12-25,0.0,6.1,
360,2012-12-26,0.0,8.6,
361,2012-12-27,0.2,8.7,
362,2012-12-28,0.0,9.0,
363,2012-12-29,0.0,6.25,
364,2012-12-30,0.0,6.05,
365,2012-12-31,0.0,6.7,
366,2013-01-01,0.0,5.7,
367,2013-01-02,2.4,6.2,
368,2013-01-03,0.0,8.3,
369,2013-01-04,0.0,7.35,
370,2013-01-05,0.0,8.85,
371,2013-01-06,0.0,7.95,
372,2013-01-07,0.0,7.9,
373,2013-01-08,0.0,6.05,
374,2013-01-09,0.0,6.9,
375,2013-01-10,0.0,6.2,
376,2013-01-11,10.8,6.0,
377,2013-01-12,0.6,4.95,
378,2013-01-13,19.8,5.15,
379,2013-01-14,,4.8,
380,2013-01-15,4.0,3.95,
381,2013-01-16,14.4,,
382,2013-01-17,12.6,1.95,
383,2013-01-18,8.6,,
384,2013-01-19,23.6,,
385,2013-01-20,,7.5,
386,2013-01-21,26.0,4.7,
387,2013-01-22,6.0,2.45,
388,2013-01-23,17.8,2.8,
389,2013-01-24,3.6,4.2,
390,2013-01-25,0.2,4.55,
391,2013-01-26,0.0,2.5,
392,2013-01-27,0.0,2.25,
393,2013-01-28,6.6,2.15,
394,2013-01-29,0.0,5.3,
395,2013-01-30,0.0,6.3,
396,2013-01-31,0.0,9.05,
397,2013-02-01,0.0,7.95,
398,2013-02-02,22.4,5.55,
399,2013-02-03,9.8,3.05,
400,2013-02-04,0.0,2.85,
401,2013-02-05,5.0,4.7,
402,2013-02-06,7.2,3.05,
403,2013-02-07,8.6,1.9,
404,2013-02-08,7.2,2.15,
405,2013-02-09,0.6,,
406,2013-02-10,0.0,,
407,2013-02-11,,,
408,2013-02-12,14.6,2.6,
409,2013-02-13,0.0,3.6,
410,2013-02-14,0.0,4.6,
411,2013-02-15,0.0,3.55,
412,2013-02-16,0.0,5.8,
413,2013-02-17,1.2,4.7,
414,2013-02-18,0.4,3.15,
415,2013-02-19,0.2,2.9,
416,2013-02-20,0.0,3.6,
417,2013-02-21,0.0,3.8,
418,2013-02-22,17.2,4.35,
419,2013-02-23,,4.05,
420,2013-02-24,6.2,2.65,
421,2013-02-25,0.2,4.45,
422,2013-02-26,0.2,4.25,
423,2013-02-27,0.0,5.1,
424,2013-02-28,0.0,6.5,
425,2013-03-01,0.0,6.2,
426,2013-03-02,0.0,5.4,
427,2013-03-03,0.0,6.65,
428,2013-03-04,0.0,7.75,
429,2013-03-05,1.4,8.6,
430,2013-03-06,25.8,10.1,
431,2013-03-07,16.4,10.05,
432,2013-03-08,10.7,8.9,
433,2013-03-09,1.2,10.1,
434,2013-03-10,16.8,10.15,
435,2013-03-11,30.6,7.95,
436,2013-03-12,29.6,6.7,
437,2013-03-13,27.4,5.05,
438,2013-03-14,0.6,5.25,
439,2013-03-15,4.0,2.0,
440,2013-03-16,0.0,2.0,
441,2013-03-17,0.4,4.25,
442,2013-03-18,27.3,6.55,
443,2013-03-19,0.0,7.15,
444,2013-03-20,10.6,7.45,
445,2013-03-21,2.4,7.6,
446,2013-03-22,0.0,8.75,
447,2013-03-23,0.0,9.4,
448,2013-03-24,0.0,13.6,
449,2013-03-25,,9.15,
450,2013-03-26,7.4,7.0,
451,2013-03-27,0.2,8.25,
452,2013-03-28,3.8,7.2,
453,2013-03-29,3.0,12.0,
454,2013-03-30,21.1,9.35,
455,2013-03-31,26.2,6.8,
456,2013-04-01,4.4,8.45,
457,2013-04-02,,7.0,
458,2013-04-03,8.6,6.9,
459,2013-04-04,0.0,9.25,
460,2013-04-05,1.6,10.65,
461,2013-04-06,0.0,11.65,
462,2013-04-07,0.0,11.1,
463,2013-04-08,0.0,9.2,
464,2013-04-09,3.2,9.8,
465,2013-04-10,0.0,12.15,
466,2013-04-11,0.0,11.75,
467,2013-04-12,0.0,12.75,
468,2013-04-13,0.0,13.25,
469,2013-04-14,0.0,14.95,
470,2013-04-15,0.0,16.05,
471,2013-04-16,0.0,15.15,
472,2013-04-17,0.0,15.7,
473,2013-04-18,0.0,16.45,
474,2013-04-19,0.0,17.55,
475,2013-04-20,0.0,13.4,
476,2013-04-21,0.0,10.4,
477,2013-04-22,6.6,8.65,
478,2013-04-23,0.0,11.05,
479,2013-04-24,0.0,15.65,
480,2013-04-25,0.0,18.25,
481,2013-04-26,17.0,17.75,
482,2013-04-27,4.8,11.95,
483,2013-04-28,0.0,15.65,
484,2013-04-29,0.0,20.75,
485,2013-04-30,0.2,21.2,
486,2013-05-01,0.0,21.9,
487,2013-05-02,3.0,17.65,
488,2013-05-03,11.3,18.3,
489,2013-05-04,0.0,19.0,
490,2013-05-05,3.6,17.4,
491,2013-05-06,19.1,15.1,
492,2013-05-07,8.2,13.5,
493,2013-05-08,0.2,13.6,
494,2013-05-09,0.0,15.95,
495,2013-05-10,1.0,16.6,
496,2013-05-11,0.0,15.3,
497,2013-05-12,10.5,14.35,
498,2013-05-13,0.0,14.15,
499,2013-05-14,0.0,14.6,
500,2013-05-15,0.0,15.4,
501,2013-05-16,10.8,16.45,
502,2013-05-17,0.6,13.7,
503,2013-05-18,0.0,16.2,
504,2013-05-19,0.0,14.0,
505,2013-05-20,0.0,13.35,
506,2013-05-21,10.2,14.9,
507,2013-05-22,4.9,16.9,
508,2013-05-23,7.6,13.55,
509,2013-05-24,4.0,11.35,
510,2013-05-25,11.0,8.05,
511,2013-05-26,2.8,9.6,
512,2013-05-27,0.0,11.6,
513,2013-05-28,0.0,15.15,
514,2013-05-29,10.7,11.85,
515,2013-05-30,10.0,9.75,
516,2013-05-31,19.8,8.7,
517,2013-06-01,8.2,9.5,
518,2013-06-02,4.8,12.8,
519,2013-06-03,10.2,13.85,
520,2013-06-04,10.8,13.55,
521,2013-06-05,7.3,14.0,
522,2013-06-06,2.6,16.3,
523,2013-06-07,0.8,18.7,
524,2013-06-08,0.0,18.0,
525,2013-06-09,0.0,18.8,
526,2013-06-10,0.2,16.1,
527,2013-06-11,1.4,15.8,
528,2013-06-12,0.0,17.7,
529,2013-06-13,0.0,19.25,
530,2013-06-14,0.0,20.2,
531,2013-06-15,0.0,21.9,
532,2013-06-16,0.0,22.2,
533,2013-06-17,0.0,24.5,
534,2013-06-18,3.6,25.9,
535,2013-06-19,0.0,24.95,
536,2013-06-20,0.0,24.9,
537,2013-06-21,0.0,24.15,
538,2013-06-22,0.0,22.25,
539,2013-06-23,0.0,21.75,
540,2013-06-24,0.0,18.7,
541,2013-06-25,6.3,17.45,
542,2013-06-26,3.6,18.0,
543,2013-06-27,1.0,16.2,
544,2013-06-28,0.6,17.5,
545,2013-06-29,0.0,16.05,
546,2013-06-30,0.0,17.2,
547,2013-07-01,0.0,19.0,
548,2013-07-02,0.0,20.9,
549,2013-07-03,0.0,20.95,
550,2013-07-04,2.2,17.4,
551,2013-07-05,0.0,21.1,
552,2013-07-06,0.0,22.2,
553,2013-07-07,1.8,21.35,
554,2013-07-08,4.6,20.2,
555,2013-07-09,2.6,20.4,
556,2013-07-10,5.4,20.1,
557,2013-07-11,9.5,20.9,
558,2013-07-12,1.6,20.6,
559,2013-07-13,5.8,22.15,
560,2013-07-14,17.2,21.05,
561,2013-07-15,0.0,21.05,
562,2013-07-16,0.0,14.8,
563,2013-07-17,0.0,22.2,
564,2013-07-18,12.9,21.3,
565,2013-07-19,4.0,20.75,
566,2013-07-20,0.0,20.75,
567,2013-07-21,1.6,21.75,
568,2013-07-22,,22.15,
569,2013-07-23,0.0,22.4,
570,2013-07-24,0.6,23.2,
571,2013-07-25,0.0,23.2,
572,2013-07-26,0.0,24.65,
573,2013-07-27,7.8,25.7,
574,2013-07-28,0.0,25.9,
575,2013-07-29,0.0,,
576,2013-07-30,0.0,22.9,
577,2013-07-31,0.0,23.1,
578,2013-08-01,0.0,23.05,
579,2013-08-02,0.0,23.9,
580,2013-08-03,0.0,26.0,
581,2013-08-04,0.0,,
582,2013-08-05,0.0,,
583,2013-08-06,0.0,,
584,2013-08-07,0.0,,
585,2013-08-08,0.0,,
586,2013-08-09,6.5,22.35,
587,2013-08-10,0.0,21.15,
588,2013-08-11,4.0,22.45,
589,2013-08-12,0.0,23.15,
590,2013-08-13,1.6,23.5,
591,2013-08-14,0.6,23.3,
592,2013-08-15,0.0,22.55,
593,2013-08-16,10.7,23.2,
594,2013-08-17,0.0,23.3,
595,2013-08-18,0.0,23.4,
596,2013-08-19,0.0,23.65,
597,2013-08-20,8.1,19.5,
598,2013-08-21,0.0,21.0,
599,2013-08-22,0.0,22.25,
600,2013-08-23,0.0,23.05,
601,2013-08-24,0.0,21.75,
602,2013-08-25,3.8,19.15,
603,2013-08-26,0.0,21.75,
604,2013-08-27,,19.3,
605,2013-08-28,0.2,18.85,
606,2013-08-29,0.0,19.9,
607,2013-08-30,0.0,20.2,
608,2013-08-31,0.0,20.25,
609,2013-09-01,0.0,20.05,
610,2013-09-02,0.6,20.5,
611,2013-09-03,0.0,21.15,
612,2013-09-04,0.0,21.9,
613,2013-09-05,0.0,21.65,
614,2013-09-06,0.4,22.5,
615,2013-09-07,9.8,22.2,
616,2013-09-08,0.0,22.15,
617,2013-09-09,5.0,19.3,
618,2013-09-10,5.8,17.9,
619,2013-09-11,3.6,17.9,
620,2013-09-12,2.2,16.35,
621,2013-09-13,2.4,16.3,
622,2013-09-14,0.0,16.9,
623,2013-09-15,23.0,15.75,
624,2013-09-16,0.4,17.0,
625,2013-09-17,0.0,15.8,
626,2013-09-18,0.0,16.0,
627,2013-09-19,0.0,17.9,
628,2013-09-20,0.0,18.35,
629,2013-09-21,6.1,19.1,
630,2013-09-22,0.2,16.25,
631,2013-09-23,0.0,15.2,
632,2013-09-24,0.0,17.3,
633,2013-09-25,0.0,16.65,
634,2013-09-26,0.0,16.95,
635,2013-09-27,0.0,18.0,
636,2013-09-28,0.0,18.65,
637,2013-09-29,11.8,18.75,
638,2013-09-30,23.3,16.55,
639,2013-10-01,0.2,16.25,
640,2013-10-02,0.0,15.55,
641,2013-10-03,0.2,13.95,
642,2013-10-04,0.0,14.5,
643,2013-10-05,,14.2,
644,2013-10-06,28.8,17.95,
645,2013-10-07,0.2,16.25,
646,2013-10-08,29.3,14.05,
647,2013-10-09,3.0,14.0,
648,2013-10-10,1.4,13.15,
649,2013-10-11,3.0,15.15,
650,2013-10-12,1.0,14.75,
651,2013-10-13,0.0,16.85,
652,2013-10-14,0.2,16.8,
653,2013-10-15,0.0,15.8,
654,2013-10-16,3.0,14.65,
655,2013-10-17,0.0,14.25,
656,2013-10-18,0.0,15.4,
657,2013-10-19,0.0,15.7,
658,2013-10-20,0.0,15.5,
659,2013-10-21,0.0,17.4,
660,2013-10-22,0.0,18.05,
661,2013-10-23,0.0,17.55,
662,2013-10-24,0.0,15.05,
663,2013-10-25,0.0,17.05,
664,2013-10-26,0.0,17.45,
665,2013-10-27,0.0,15.7,
666,2013-10-28,0.0,15.7,
667,2013-10-29,0.0,17.25,
668,2013-10-30,0.0,15.9,
669,2013-10-31,0.0,15.75,
670,2013-11-01,0.0,15.25,
671,2013-11-02,0.4,13.6,
672,2013-11-03,1.6,13.8,
673,2013-11-04,4.3,14.95,
674,2013-11-05,31.5,10.95,
675,2013-11-06,0.0,11.5,
676,2013-11-07,0.0,14.35,
677,2013-11-08,0.2,13.55,
678,2013-11-09,0.0,13.95,
679,2013-11-10,,10.85,
680,2013-11-11,19.0,7.5,
681,2013-11-12,15.0,10.15,
682,2013-11-13,6.2,11.3,
683,2013-11-14,4.2,12.5,
684,2013-11-15,1.6,11.15,
685,2013-11-16,0.0,12.3,
686,2013-11-17,0.0,12.2,
687,2013-11-18,0.0,10.95,
688,2013-11-19,,10.35,
689,2013-11-20,25.6,7.9,
690,2013-11-21,11.6,6.35,
691,2013-11-22,,5.85,
692,2013-11-23,22.4,3.75,
693,2013-11-24,0.6,4.7,
694,2013-11-25,0.0,4.8,
695,2013-11-26,2.0,,
696,2013-11-27,2.0,,
697,2013-11-28,0.6,,
698,2013-11-29,0.0,5.35,
699,2013-11-30,0.0,5.5,
700,2013-12-01,4.8,9.8,
701,2013-12-02,24.0,10.8,
702,2013-12-03,0.0,8.1,
703,2013-12-04,0.0,7.05,
704,2013-12-05,0.0,6.85,
705,2013-12-06,0.0,4.7,
706,2013-12-07,0.0,6.15,
707,2013-12-08,0.0,7.1,
708,2013-12-09,1.0,7.45,
709,2013-12-10,0.0,8.3,
710,2013-12-11,0.0,7.55,
711,2013-12-12,0.0,6.9,
712,2013-12-13,0.0,6.0,
713,2013-12-14,0.0,5.4,
714,2013-12-15,0.0,6.25,
715,2013-12-16,0.0,6.2,
716,2013-12-17,0.0,7.9,
717,2013-12-18,0.0,6.7,
718,2013-12-19,0.0,5.05,
719,2013-12-20,0.0,7.55,
720,2013-12-21,0.0,8.85,
721,2013-12-22,0.0,6.7,
722,2013-12-23,0.0,6.2,
723,2013-12-24,0.0,6.1,
724,2013-12-25,0.0,5.35,
725,2013-12-26,,6.1,
726,2013-12-27,0.0,4.85,
727,2013-12-28,0.2,6.55,
728,2013-12-29,0.2,7.45,
729,2013-12-30,8.2,6.4,
730,2013-12-31,0.2,7.0,
731,2014-01-01,0.0,6.95,
732,2014-01-02,0.0,6.7,
733,2014-01-03,3.6,8.6,
734,2014-01-04,10.1,7.85,
735,2014-01-05,27.6,5.85,
736,2014-01-06,0.2,6.5,
737,2014-01-07,0.0,8.1,
738,2014-01-08,0.0,8.35,
739,2014-01-09,0.0,7.55,
740,2014-01-10,0.0,4.55,
741,2014-01-11,0.2,6.8,
742,2014-01-12,0.0,6.85,
743,2014-01-13,0.0,8.1,
744,2014-01-14,20.0,6.05,
745,2014-01-15,0.8,6.65,
746,2014-01-16,0.2,5.4,
747,2014-01-17,4.0,6.65,
748,2014-01-18,0.6,9.0,
749,2014-01-19,29.3,8.4,
750,2014-01-20,,6.25,
751,2014-01-21,6.0,6.85,
752,2014-01-22,4.2,6.15,
753,2014-01-23,1.8,4.85,
754,2014-01-24,,4.5,
755,2014-01-25,0.2,3.3,
756,2014-01-26,0.0,,
757,2014-01-27,13.6,1.8,
758,2014-01-28,0.0,4.15,
759,2014-01-29,11.0,2.15,
760,2014-01-30,20.4,7.0,
761,2014-01-31,29.2,10.25,
762,2014-02-01,14.2,10.6,
763,2014-02-02,14.0,8.3,
764,2014-02-03,12.0,6.6,
765,2014-02-04,7.4,7.7,
766,2014-02-05,1.0,5.65,
767,2014-02-06,13.2,7.45,
768,2014-02-07,0.0,7.2,
769,2014-02-08,10.4,8.0,
770,2014-02-09,28.8,5.0,
771,2014-02-10,15.2,5.95,
772,2014-02-11,16.5,10.6,
773,2014-02-12,8.0,6.6,
774,2014-02-13,0.2,5.75,
775,2014-02-14,0.6,9.1,
776,2014-02-15,0.0,9.65,
777,2014-02-16,0.0,11.4,
778,2014-02-17,0.0,12.4,
779,2014-02-18,0.0,13.95,
780,2014-02-19,0.0,10.95,
781,2014-02-20,0.4,8.8,
782,2014-02-21,6.8,7.05,
783,2014-02-22,4.8,7.35,
784,2014-02-23,0.2,5.95,
