,Date,Rainfall_Bastia_Umbra,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano
42,2006-04-25,,-21.89,-21.55,,,,
43,2006-04-26,,-22.13,-21.58,,,,
44,2006-04-27,,-22.22,-21.59,,,,
45,2006-04-28,,-22.18,-21.56,,,,
46,2006-04-29,,-22.22,-21.56,,,,
47,2006-04-30,,-22.06,-21.51,,,,
48,2006-05-01,,-22.07,-21.5,,,,
49,2006-05-02,,-22.26,-21.61,,,,
50,2006-05-03,,-22.35,-21.63,,,,
51,2006-05-04,,-22.39,-21.68,,,,
52,2006-05-05,,-22.4,-21.7,,,,
53,2006-05-06,,-22.4,-21.7,,,,
54,2006-05-07,,-22.26,-21.67,,,,
55,2006-05-08,,-22.26,-21.64,,,,
56,2006-05-09,,-22.06,-21.53,,,,
57,2006-05-10,,-22.09,-21.52,,,,
58,2006-05-11,,-22.12,-21.57,,,,
59,2006-05-12,,-22.25,-21.6,,,,
60,2006-05-13,,-22.3,-21.65,,,,
61,2006-05-14,,-22.1,-21.58,,,,
62,2006-05-15,,-21.95,-21.53,,,,
63,2006-05-16,,-22.16,-21.57,,,,
64,2006-05-17,,-22.26,-21.61,,,,
65,2006-05-18,,-22.23,-21.66,,,,
66,2006-05-19,,-22.15,-21.59,,,,
67,2006-05-20,,-22.12,-21.56,,,,
68,2006-05-21,,-22.07,-21.55,,,,
69,2006-05-22,,-22.13,-21.55,,,,
70,2006-05-23,,-22.19,-21.63,,,,
71,2006-05-24,,-22.14,-21.61,,,,
72,2006-05-25,,-22.15,-21.61,,,,
73,2006-05-26,,-22.25,-21.64,,,,
74,2006-05-27,,-22.26,-21.7,,,,
75,2006-05-28,,-22.19,-21.65,,,,
76,2006-05-29,,-22.17,-21.59,,,,
77,2006-05-30,,-22.19,-21.61,,,,
78,2006-05-31,,-22.2,-21.61,,,,
79,2006-06-01,,-22.18,-21.65,,,,
80,2006-06-02,,-22.0,-21.53,,,,
81,2006-06-03,,-21.94,-21.48,,,,
82,2006-06-04,,-21.88,-21.48,,,,
83,2006-06-05,,-22.12,-21.54,,,,
84,2006-06-06,,-22.05,-21.56,,,,
85,2006-06-07,,-22.22,-21.61,,,,
86,2006-06-08,,-22.32,-21.7,,,,
87,2006-06-09,,,-21.77,,,,
88,2006-06-10,,-22.53,-21.83,,,,
89,2006-06-11,,-22.38,-21.87,,,,
90,2006-06-12,,-22.53,-21.84,,,,
91,2006-06-13,,-22.59,-21.93,,,,
92,2006-06-14,,-22.64,-21.99,,,,
93,2006-06-15,,-22.72,-22.06,,,,
94,2006-06-16,,-22.78,-22.14,,,,
95,2006-06-17,,-22.82,-22.14,,,,
96,2006-06-18,,-22.62,-22.1,,,,
97,2006-06-19,,-22.71,-22.1,,,,
98,2006-06-20,,-22.84,-22.17,,,,
99,2006-06-21,,-22.98,-22.26,,,,
100,2006-06-22,,-23.08,-22.33,,,,
101,2006-06-23,,-23.18,-22.41,,,,
102,2006-06-24,,-23.34,-22.54,,,,
103,2006-06-25,,-23.33,-22.59,,,,
104,2006-06-26,,-23.33,-22.61,,,,
105,2006-06-27,,-23.43,-22.67,,,,
106,2006-06-28,,-23.56,-22.76,,,,
107,2006-06-29,,-23.59,-22.8,,,,
108,2006-06-30,,-23.61,-22.85,,,,
109,2006-07-01,,-23.65,-22.88,,,,
110,2006-07-02,,-23.63,-22.9,,,,
111,2006-07-03,,-23.62,-22.85,,,,
112,2006-07-04,,-23.68,-22.92,,,,
113,2006-07-05,,-23.8,-23.02,,,,
114,2006-07-06,,-23.87,-23.09,,,,
115,2006-07-07,,-23.6,-22.99,,,,
116,2006-07-08,,-23.52,-22.9,,,,
117,2006-07-09,,-23.51,-22.9,,,,
118,2006-07-10,,-23.54,-22.88,,,,
119,2006-07-11,,-23.85,-23.08,,,,
120,2006-07-12,,-23.88,-23.13,,,,
121,2006-07-13,,-24.01,-23.22,,,,
122,2006-07-14,,-24.12,-23.34,,,,
123,2006-07-15,,-24.17,-23.43,,,,
124,2006-07-16,,-24.09,-23.42,,,,
125,2006-07-17,,-24.19,-23.45,,,,
126,2006-07-18,,-24.28,-23.52,,,,
127,2006-07-19,,-24.31,-23.57,,,,
128,2006-07-20,,-24.45,-23.66,,,,
129,2006-07-21,,-24.4,-23.7,,,,
130,2006-07-22,,-24.46,-23.73,,,,
131,2006-07-23,,-24.16,-23.63,,,,
132,2006-07-24,,-24.02,-23.48,,,,
133,2006-07-25,,-24.09,-23.46,,,,
134,2006-07-26,,-24.14,-23.53,,,,
135,2006-07-27,,-24.25,-23.59,,,,
136,2006-07-28,,-24.41,-23.68,,,,
137,2006-07-29,,-24.47,-23.76,,,,
138,2006-07-30,,-24.13,-23.66,,,,
139,2006-07-31,,-24.39,-23.69,,,,
140,2006-08-01,,-24.54,-23.83,,,,
141,2006-08-02,,-24.41,-23.78,,,,
142,2006-08-03,,-24.32,-23.73,,,,
143,2006-08-04,,-24.09,-23.57,,,,
144,2006-08-05,,-24.02,-23.57,,,,
145,2006-08-06,,-23.72,-23.42,,,,
146,2006-08-07,,-24.1,-23.42,,,,
147,2006-08-08,,-24.15,-23.53,,,,
148,2006-08-09,,-24.17,-23.58,,,,
149,2006-08-10,,-24.25,-23.64,,,,
150,2006-08-11,,-24.27,-23.68,,,,
151,2006-08-12,,-24.16,-23.61,,,,
152,2006-08-13,,-24.1,-23.58,,,,
153,2006-08-14,,-24.16,-23.6,,,,
154,2006-08-15,,-23.78,-23.48,,,,
155,2006-08-16,,-24.1,-23.53,,,,
156,2006-08-17,,-24.14,-23.6,,,,
157,2006-08-18,,-24.13,-23.63,,,,
158,2006-08-19,,-24.21,-23.65,,,,
159,2006-08-20,,-24.24,-23.69,,,,
160,2006-08-21,,-24.27,-23.7,,,,
161,2006-08-22,,-24.27,-23.7,,,,
162,2006-08-23,,-24.37,-23.79,,,,
163,2006-08-24,,-24.39,-23.81,,,,
164,2006-08-25,,-24.31,-23.78,,,,
165,2006-08-26,,-24.26,-23.74,,,,
166,2006-08-27,,-24.15,-23.66,,,,
167,2006-08-28,,-24.23,-23.68,,,,
168,2006-08-29,,-24.29,-23.69,,,,
169,2006-08-30,,-24.38,-23.77,,,,
170,2006-08-31,,-24.48,-23.9,,,,
171,2006-09-01,,-24.54,-23.96,,,,
172,2006-09-02,,-24.49,-23.93,,,,
173,2006-09-03,,-24.45,-23.95,,,,
174,2006-09-04,,-24.53,-23.99,,,,
175,2006-09-05,,-24.6,-24.04,,,,
176,2006-09-06,,-24.6,-24.04,,,,
177,2006-09-07,,-24.65,-24.07,,,,
178,2006-09-08,,-24.74,-24.14,,,,
179,2006-09-09,,-24.86,-24.25,,,,
180,2006-09-10,,-24.83,-24.25,,,,
181,2006-09-11,,-24.86,-24.27,,,,
182,2006-09-12,,-24.91,-24.33,,,,
183,2006-09-13,,-24.82,-24.28,,,,
184,2006-09-14,,-24.87,-24.25,,,,
185,2006-09-15,,-24.67,-24.11,,,,
186,2006-09-16,,-24.65,-24.08,,,,
187,2006-09-17,,-24.5,-24.03,,,,
188,2006-09-18,,-24.63,-24.05,,,,
189,2006-09-19,,-24.66,-24.08,,,,
190,2006-09-20,,-24.72,-24.14,,,,
191,2006-09-21,,-24.77,-24.19,,,,
192,2006-09-22,,-24.75,-24.19,,,,
193,2006-09-23,,-24.79,-24.21,,,,
194,2006-09-24,,-24.75,-24.21,,,,
195,2006-09-25,,-24.73,-24.15,,,,
196,2006-09-26,,-24.69,-24.06,,,,
197,2006-09-27,,-24.73,-24.12,,,-29281.824,
198,2006-09-28,,-24.77,-24.18,,,-29245.536,
199,2006-09-29,,-24.8,-24.22,,,-29355.264,
200,2006-09-30,,-24.85,-24.28,,,-30174.336,
201,2006-10-01,,-24.82,-24.27,,,-28530.144,
202,2006-10-02,,-24.87,-24.27,,,-31053.888,
203,2006-10-03,,-24.97,-24.33,,,-35088.768,
204,2006-10-04,,-25.01,-24.35,,,-34622.208,
205,2006-10-05,,-25.09,-24.44,,,-35411.904,
206,2006-10-06,,-25.14,-24.52,,,-36362.304,
207,2006-10-07,,-25.15,-24.52,,,-35930.304,
208,2006-10-08,,-25.17,-24.55,,,-34896.096,
209,2006-10-09,,-25.18,-24.56,,,-35043.84,
210,2006-10-10,,-25.21,-24.6,,,-36046.08,
211,2006-10-11,,-25.25,-24.63,,,-37294.56,
212,2006-10-12,,-25.36,-24.69,,,-36014.112,
213,2006-10-13,,-25.43,-24.75,,,-36685.44,
214,2006-10-14,,-25.4,-24.73,,,-34574.688,
215,2006-10-15,,,-24.66,,,-32152.032,
216,2006-10-16,,-25.3,-24.63,,,-32260.032,
217,2006-10-17,,-25.34,-24.7,,,-32841.504,
218,2006-10-18,,-25.37,-24.69,,,-34092.576,
219,2006-10-19,,-25.39,-24.7,,,-34353.504,
220,2006-10-20,,-25.35,-24.66,,,-33708.096,
221,2006-10-21,,-25.4,-24.71,,,-33847.2,
222,2006-10-22,,-25.33,-24.69,,,-31497.12,
223,2006-10-23,,-25.36,-24.7,,,-32506.272,
224,2006-10-24,,-25.41,-24.72,,,-34184.16,
225,2006-10-25,,-25.56,-24.87,,,-35990.784,
226,2006-10-26,,-25.93,-24.97,,,-36101.376,
227,2006-10-27,,-25.84,-25.07,,,-33561.216,
228,2006-10-28,,-25.74,-25.0,,,-32044.896,
229,2006-10-29,,-25.53,-24.86,,,-28252.8,
230,2006-10-30,,-25.68,-24.89,,,-32485.536,
231,2006-10-31,,-25.58,-24.93,,,-32325.696,
232,2006-11-01,,-25.34,-24.75,,,-26437.536,
233,2006-11-02,,-25.36,-24.72,,,-28599.264,
234,2006-11-03,,-25.38,-24.81,,,-31152.384,
235,2006-11-04,,-25.47,-24.86,,,-32028.48,
236,2006-11-05,,-25.4,-24.84,,,-29277.504,
237,2006-11-06,,-25.39,-24.77,,,-30906.144,
238,2006-11-07,,-25.44,-24.96,,,-31102.272,
239,2006-11-08,,-25.62,-25.06,,,-34953.12,
240,2006-11-09,,-25.65,-25.08,,,-36268.992,
241,2006-11-10,,-25.66,-25.1,,,-35504.352,
242,2006-11-11,,-25.74,-25.18,,,-37051.776,
243,2006-11-12,,-25.66,-25.09,,,-35644.32,
244,2006-11-13,,-25.7,-25.13,,,-35838.72,
245,2006-11-14,,-25.8,-25.25,,,-36698.4,
246,2006-11-15,,-25.82,-25.29,,,-35770.464,
247,2006-11-16,,-25.84,-25.3,,,-36542.016,
248,2006-11-17,,-25.86,-25.3,,,-36326.016,
249,2006-11-18,,-25.88,-25.31,,,-36258.624,
250,2006-11-19,,-25.88,-25.34,,,-34674.048,
251,2006-11-20,,-25.81,-25.29,,,-34369.056,
252,2006-11-21,,-25.83,-25.25,,,-35643.456,
253,2006-11-22,,-25.86,-25.24,,,-38132.64,
254,2006-11-23,,-25.92,-25.36,,,-36439.2,
255,2006-11-24,,-25.99,-25.46,,,-35284.896,
256,2006-11-25,,-25.99,-25.46,,,-35558.784,
257,2006-11-26,,-25.93,-25.46,,,-32540.832,
258,2006-11-27,,-26.0,-25.48,,,-34675.776,
259,2006-11-28,,-25.99,-25.47,,,-33997.536,
260,2006-11-29,,-25.96,-25.46,,,-33408.288,
261,2006-11-30,,-26.01,-25.46,,,-34280.064,
262,2006-12-01,,-26.07,-25.54,,,-34942.752,
263,2006-12-02,,-26.12,-25.54,,,-35456.832,
264,2006-12-03,,-25.99,-25.49,,,-32309.28,
265,2006-12-04,,-26.01,-25.46,,,-35552.736,
266,2006-12-05,,-26.07,-25.52,,,-35501.76,
267,2006-12-06,,-25.94,-25.47,,,-31805.568,
268,2006-12-07,,-25.87,-25.43,,,-31427.136,
269,2006-12-08,,-25.95,-25.51,,,-32994.432,
270,2006-12-09,,-25.95,-25.49,,,-33015.168,
271,2006-12-10,,-26.08,-25.65,,,-33683.04,
272,2006-12-11,,-26.15,-25.67,,,-30362.688,
273,2006-12-12,,-26.27,-25.73,,,-35336.736,
274,2006-12-13,,-26.25,-25.74,,,-34569.504,
275,2006-12-14,,,-25.75,,,-34235.136,
276,2006-12-15,,-26.58,-25.9,,,,
277,2006-12-16,,-26.32,-25.83,,,-35267.616,
278,2006-12-17,,-26.17,-25.72,,,-31152.384,
279,2006-12-18,,-26.13,-25.62,,,-33921.504,
280,2006-12-19,,-26.77,-25.85,,,-37044.0,
281,2006-12-20,,-26.81,-25.97,,,-35570.016,
282,2006-12-21,,-26.62,-25.9,,,-25617.6,
283,2006-12-22,,-26.65,-25.87,,,-31300.128,
284,2006-12-23,,-26.76,-25.95,,,-34531.488,
285,2006-12-24,,-26.8,-25.98,,,-35750.592,
286,2006-12-25,,-26.62,-25.91,,,-30097.44,
287,2006-12-26,,-26.65,-25.93,,,-30768.768,
288,2006-12-27,,-26.73,-25.96,,,-32247.936,
289,2006-12-28,,-26.74,-25.97,,,-32164.128,
290,2006-12-29,,-26.73,-25.98,,,-33124.896,
291,2006-12-30,,-26.78,-26.02,,,-32341.248,
292,2006-12-31,,-26.92,-26.06,,,-35494.848,
293,2007-01-01,,-26.68,-25.95,,,-29918.592,
294,2007-01-02,,-26.72,-25.9,,,-32521.824,
295,2007-01-03,,-26.86,-26.01,,,-34554.816,
296,2007-01-04,,-26.94,-26.09,,,-34880.544,
297,2007-01-05,,-26.95,-26.07,,,-36436.608,
298,2007-01-06,,-27.03,-26.19,,,-35028.288,
299,2007-01-07,,-26.93,-26.14,,,-33429.024,
300,2007-01-08,,-26.96,-26.11,,,-34540.992,
301,2007-01-09,,-27.01,-26.16,,,-34165.152,
302,2007-01-10,,-27.08,-26.24,,,-34490.88,
303,2007-01-11,,-27.04,-26.22,,,-34595.424,
304,2007-01-12,,-27.01,-26.19,,,-35424.0,
305,2007-01-13,,-27.18,-26.32,,,-36453.024,
306,2007-01-14,,-27.1,-26.3,,,-33656.256,
307,2007-01-15,,-27.15,-26.3,,,-36366.624,
308,2007-01-16,,-27.24,-26.39,,,-36903.168,
309,2007-01-17,,-27.19,-26.34,,,-35727.264,
310,2007-01-18,,-27.18,-26.36,,,-36482.4,
311,2007-01-19,,-27.1,-26.29,,,,
312,2007-01-20,,-27.25,-26.39,,,-38092.896,
313,2007-01-21,,-27.21,-26.41,,,-36384.768,
314,2007-01-22,,-27.31,-26.43,,,,
315,2007-01-23,,-27.27,-26.38,,,-37120.896,
316,2007-01-24,,-27.26,-26.38,,,-37022.4,
317,2007-01-25,,-27.36,-26.47,,,-36322.56,
318,2007-01-26,,-27.4,-26.55,,,-36234.432,
319,2007-01-27,,-27.32,-26.52,,,-35701.344,
320,2007-01-28,,-27.39,-26.59,,,-34113.312,
321,2007-01-29,,-27.35,-26.52,,,-36541.152,
322,2007-01-30,,-27.37,-26.55,,,-35766.144,
323,2007-01-31,,-27.43,-26.61,,,-36344.16,
324,2007-02-01,,-27.47,-26.62,,,-34800.192,
325,2007-02-02,,-27.55,-26.7,,,-36872.064,
326,2007-02-03,,-27.48,-26.69,,,-36655.2,
327,2007-02-04,,-27.54,-26.73,,,-36416.736,
328,2007-02-05,,-27.5,-26.71,,,-35653.824,
329,2007-02-06,,-27.51,-26.66,,,-36718.272,
330,2007-02-07,,-27.51,-26.66,,,-36063.36,
331,2007-02-08,,-27.53,-26.69,,,-35802.432,
332,2007-02-09,,-27.54,-26.7,,,-33802.272,
333,2007-02-10,,-27.56,-26.69,,,-34944.48,
334,2007-02-11,,-27.59,-26.75,,,-33225.984,
335,2007-02-12,,-27.53,-26.67,,,-32316.192,
336,2007-02-13,,-27.51,-26.67,,,-31326.048,
337,2007-02-14,,-27.53,-26.73,,,-30889.728,
338,2007-02-15,,-27.44,-26.67,,,-29992.032,
339,2007-02-16,,-27.57,-26.71,,,-32657.472,
340,2007-02-17,,-27.54,-26.7,,,-31525.632,
341,2007-02-18,,-27.43,-26.63,,,-28622.592,
342,2007-02-19,,-27.39,-26.59,,,-29685.312,
343,2007-02-20,,-27.44,-26.6,,,-30367.872,
344,2007-02-21,,-27.51,-26.65,,,-30769.632,
345,2007-02-22,,-27.54,-26.64,,,-31637.952,
346,2007-02-23,,-27.46,-26.62,,,-29810.592,
347,2007-02-24,,-27.52,-26.62,,,-31278.528,
348,2007-02-25,,-27.36,-26.55,,,-27949.536,
349,2007-02-26,,-27.36,-26.52,,,-28359.072,
350,2007-02-27,,-27.42,-26.59,,,-29687.04,
351,2007-02-28,,-27.43,-26.59,,,-30112.992,
352,2007-03-01,,-27.33,-26.51,,,-27492.48,
353,2007-03-02,,-27.36,-26.51,,,-29522.88,
354,2007-03-03,,-27.38,-26.51,,,-28622.592,
355,2007-03-04,,-27.3,-26.5,,,-26865.216,
356,2007-03-05,,-27.36,-26.52,,,-28163.808,
357,2007-03-06,,-27.33,-26.48,,,-27716.256,
358,2007-03-07,,-27.31,-26.4,,,-29385.504,
359,2007-03-08,,-27.19,-26.39,,,-27725.76,
360,2007-03-09,,-27.35,-26.47,,,-30143.232,
361,2007-03-10,,-27.32,-26.43,,,-28765.152,
362,2007-03-11,,-27.18,-26.36,,,-25507.008,
363,2007-03-12,,-27.15,-26.34,,,-26793.504,
364,2007-03-13,,-27.25,-26.36,,,-29398.464,
365,2007-03-14,,-27.27,-26.36,,,-28963.008,
366,2007-03-15,,-27.2,-26.33,,,-28033.344,
367,2007-03-16,,-27.26,-26.35,,,-30031.776,
368,2007-03-17,,-27.25,-26.35,,,-29922.912,
369,2007-03-18,,-27.17,-26.25,,,-27132.192,
370,2007-03-19,,-26.95,-26.05,,,-25995.168,
371,2007-03-20,,-27.0,-26.01,,,-27603.072,
372,2007-03-21,,-27.1,-26.12,,,-28026.432,
373,2007-03-22,,-27.05,-26.13,,,-26901.504,
374,2007-03-23,,-27.07,-26.12,,,-27954.72,
375,2007-03-24,,-27.05,-26.1,,,-27415.584,
376,2007-03-25,,-26.95,-26.11,,,-26860.032,
377,2007-03-26,,-27.08,-26.14,,,-29220.48,
378,2007-03-27,,-27.07,-26.14,,,-28505.952,
379,2007-03-28,,-27.13,-26.17,,,-30513.024,
380,2007-03-29,,-27.13,-26.15,,,-30576.096,
381,2007-03-30,,-27.1,-26.14,,,-31536.864,
382,2007-03-31,,-27.16,-26.21,,,-31280.256,
383,2007-04-01,,-27.16,-26.25,,,-29652.48,
384,2007-04-02,,-27.02,-26.18,,,-29541.024,
385,2007-04-03,,-27.01,-26.12,,,-30836.16,
386,2007-04-04,,-26.97,-26.05,,,-28417.824,
387,2007-04-05,,-27.08,-26.1,,,-28100.736,
388,2007-04-06,,-27.15,-26.13,,,-28364.256,
389,2007-04-07,,-27.09,-26.14,,,-30060.288,
390,2007-04-08,,-26.61,-25.99,,,-23114.592,
391,2007-04-09,,-26.63,-25.92,,,-23787.648,
392,2007-04-10,,-27.0,-26.01,,,-29979.072,
393,2007-04-11,,-27.02,-26.1,,,-30621.024,
394,2007-04-12,,-27.03,-26.09,,,-29146.176,
395,2007-04-13,,-26.93,-26.05,,,-30813.696,
396,2007-04-14,,-27.15,-26.14,,,-33277.824,
397,2007-04-15,,-27.14,-26.16,,,-31517.856,
398,2007-04-16,,-27.14,-26.16,,,-32959.008,
399,2007-04-17,,-27.21,-26.21,,,-34862.4,
400,2007-04-18,,-27.19,-26.22,,,-33461.856,
401,2007-04-19,,-27.19,-26.21,,,-32997.888,
402,2007-04-20,,-27.13,-26.24,,,-33896.448,
403,2007-04-21,,-27.04,-26.23,,,-33245.856,
404,2007-04-22,,-27.33,-26.33,,,-35134.56,
405,2007-04-23,,-27.2,-26.31,,,-31624.128,
406,2007-04-24,,-27.18,-26.26,,,-31544.64,
407,2007-04-25,,-26.77,-26.15,,,-30688.416,
408,2007-04-26,,-26.78,-26.15,,,-29063.232,
409,2007-04-27,,-27.07,-26.16,,,-30014.496,
410,2007-04-28,,-27.18,-26.24,,,-31395.168,
411,2007-04-29,,-26.78,-26.16,,,-28725.408,
412,2007-04-30,,-26.55,-26.02,,,-24990.336,
413,2007-05-01,,-26.3,-25.81,,,,
414,2007-05-02,,-26.27,-25.77,,,-22156.416,
415,2007-05-03,,-26.29,-25.75,,,-23928.48,
416,2007-05-04,,-26.27,-25.72,,,-23941.44,
417,2007-05-05,,-26.39,-25.75,,,-27178.848,
418,2007-05-06,,-26.28,-25.73,,,-24061.536,
419,2007-05-07,,-26.33,-25.72,,,-24287.904,
420,2007-05-08,,-26.42,-25.8,,,-27949.536,
421,2007-05-09,,-26.45,-25.83,,,,
422,2007-05-10,,-26.34,-25.75,,,-29336.256,
423,2007-05-11,,-26.37,-25.77,,,-30326.4,
424,2007-05-12,,-26.43,-25.81,,,-30827.52,
425,2007-05-13,,-26.43,-25.84,,,-30036.96,
426,2007-05-14,,-26.79,-25.9,,,-31434.912,
427,2007-05-15,,-26.9,-25.99,,,-31769.28,
428,2007-05-16,,-26.46,-25.88,,,-30125.088,
429,2007-05-17,,-26.41,-25.82,,,-30066.336,
430,2007-05-18,,-26.8,-25.92,,,-30408.48,
431,2007-05-19,,-26.91,-26.01,,,-30626.208,
432,2007-05-20,,-26.92,-26.04,,,-30881.952,
433,2007-05-21,,-26.96,,,,-31250.88,
434,2007-05-22,,-27.13,-26.18,,,-35080.992,
435,2007-05-23,,-27.26,-26.3,,,-37567.584,
436,2007-05-24,,-26.83,-26.24,,,-32889.888,
437,2007-05-25,,-27.36,-26.36,,,,
438,2007-05-26,,-27.31,-26.36,,,-36612.864,
439,2007-05-27,,-27.13,-26.3,,,-31383.936,
440,2007-05-28,,-26.54,-26.03,,,-28043.712,
441,2007-05-29,,-26.61,-26.02,,,-28533.6,
442,2007-05-30,,-26.68,-26.06,,,-28885.248,
443,2007-05-31,,-26.79,-26.12,,,-31883.328,
444,2007-06-01,,-26.76,-26.13,,,-32290.272,
445,2007-06-02,,-27.0,-26.2,,,-34572.096,
446,2007-06-03,,-26.64,-26.08,,,-28444.608,
447,2007-06-04,,-26.72,-26.08,,,-28864.512,
448,2007-06-05,,-27.24,-26.27,,,,
449,2007-06-06,,-26.82,-26.21,,,,
450,2007-06-07,,-27.1,-26.22,,,-32901.984,
451,2007-06-08,,-26.96,-26.2,,,-32850.144,
452,2007-06-09,,-27.24,-26.3,,,-34171.2,
453,2007-06-10,,-27.14,-26.26,,,-32818.176,
454,2007-06-11,,-27.24,-26.29,,,-33683.04,
455,2007-06-12,,-27.32,-26.36,,,-36167.904,
456,2007-06-13,,-27.29,-26.36,,,-34242.912,
457,2007-06-14,,-27.36,-26.43,,,-37065.6,
458,2007-06-15,,-27.4,-26.45,,,-36079.776,
459,2007-06-16,,-27.42,-26.48,,,-36095.328,
460,2007-06-17,,-26.95,-26.38,,,-32491.584,
461,2007-06-18,,-27.38,-26.44,,,-34704.288,
462,2007-06-19,,-27.69,-26.65,,,,
463,2007-06-20,,-27.73,-26.73,,,,
464,2007-06-21,,-27.76,-26.78,,,,
465,2007-06-22,,-27.81,-26.84,,,,
466,2007-06-23,,-27.8,-26.85,,,-37984.032,
467,2007-06-24,,-27.83,-26.86,,,-35450.784,
468,2007-06-25,,-27.81,-26.87,,,-37662.624,
469,2007-06-26,,-28.0,-26.98,,,,
470,2007-06-27,,-28.0,-27.0,,,-36766.656,
471,2007-06-28,,-28.13,-27.12,,,,
472,2007-06-29,,-28.16,-27.18,,,,
473,2007-06-30,,-28.16,-27.15,,,-38119.68,
474,2007-07-01,,-28.15,-27.14,,,-38143.008,
475,2007-07-02,,-28.12,-27.13,,,-35847.36,
476,2007-07-03,,-28.29,-27.21,,,,
477,2007-07-04,,-28.26,-27.2,,,-38044.512,
478,2007-07-05,,-28.3,-27.26,,,-38047.104,
479,2007-07-06,,-28.48,-27.38,,,,
480,2007-07-07,,-28.62,-27.49,,,,
481,2007-07-08,,-28.53,-27.48,,,,
482,2007-07-09,,-28.59,-27.49,,,,
483,2007-07-10,,-28.68,-27.54,,,,
484,2007-07-11,,-28.83,-27.68,,,,
485,2007-07-12,,-28.89,-27.77,,,,
486,2007-07-13,,-28.97,-27.84,,,,
487,2007-07-14,,-29.02,-27.9,,,,
488,2007-07-15,,-29.03,-27.93,,,,
489,2007-07-16,,-29.08,-27.95,,,,
490,2007-07-17,,-29.16,-28.04,,,,
491,2007-07-18,,-29.24,-28.11,,,,
492,2007-07-19,,-29.01,-28.12,,,,
493,2007-07-20,,-29.07,-28.13,,,,
494,2007-07-21,,-29.35,-28.24,,,,
495,2007-07-22,,-29.4,-28.27,,,,
496,2007-07-23,,-29.32,-28.24,,,,
497,2007-07-24,,-29.41,-28.29,,,,
498,2007-07-25,,-29.49,-28.39,,,,
499,2007-07-26,,-29.58,-28.45,,,,
500,2007-07-27,,-29.64,-28.52,,,,
501,2007-07-28,,-29.64,-28.56,,,,
502,2007-07-29,,-29.62,-28.56,,,,
503,2007-07-30,,-29.64,-28.56,,,,
504,2007-07-31,,-29.76,-28.65,,,-37648.8,
505,2007-08-01,,-29.93,-28.82,,,-35405.856,
506,2007-08-02,,-29.96,-28.78,,,-34693.056,
507,2007-08-03,,-30.02,-28.84,,,-35688.384,
508,2007-08-04,,-29.75,-28.77,,,-30425.76,
509,2007-08-05,,-29.83,-28.79,,,-31135.968,
510,2007-08-06,,-29.87,-28.79,,,-32875.2,
511,2007-08-07,,-29.89,-28.84,,,-32011.2,
512,2007-08-08,,-29.99,-28.91,,,-33900.768,
513,2007-08-09,,-29.79,-28.87,,,-29080.512,
514,2007-08-10,,-29.73,-28.79,,,-27972.0,
515,2007-08-11,,-29.55,-28.73,,,-25317.792,
