,Date,Rainfall_Simignano,Rainfall_Siena_Poggio_al_Vento,Rainfall_Mensano,Rainfall_Montalcinello,Rainfall_Monticiano_la_Pineta,Rainfall_Sovicille,Rainfall_Ponte_Orgia,Rainfall_Scorgiano,Rainfall_Pentolina,Rainfall_Monteroni_Arbia_Biena,Depth_to_Groundwater_Podere_Casetta,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Temperature_Siena_Poggio_al_Vento,Temperature_Mensano,Temperature_Pentolina,Temperature_Monteroni_Arbia_Biena,Volume_Pozzo_1,Volume_Pozzo_3,Volume_Pozzo_4
37,2000-02-07,,,,,,,,,,,,,,,0.0,0.0,8.9,8.25,,,
38,2000-02-08,,,,,,,,,,,,,,,0.0,0.0,10.15,10.1,,,
39,2000-02-09,,,,,,,,,,,,,,,0.0,0.0,9.35,10.7,,,
40,2000-02-10,,,,,,,,,,,,,,,0.0,0.0,7.7,6.9,,,
41,2000-02-11,,,,,,,,,,,,,,,0.0,0.0,7.1,5.9,,,
42,2000-02-12,,,,,,,,,,,,,,,0.0,0.0,8.55,6.75,,,
43,2000-02-13,,,,,,,,,,,,,,,0.0,0.0,8.75,6.15,,,
44,2000-02-14,,,,,,,,,,,,,,,0.0,0.0,9.6,7.65,,,
45,2000-02-15,,,,,,,,,,,,,,,0.0,0.0,8.8,8.4,,,
46,2000-02-16,,,,,,,,,,,,,,,0.0,0.0,8.55,8.15,,,
47,2000-02-17,,,,,,,,,,,,,,,0.0,0.0,6.1,5.55,,,
48,2000-02-18,,,,,,,,,,,,,,,0.0,0.0,6.45,4.6,,,
49,2000-02-19,,,,,,,,,,,,,,,0.0,0.0,10.25,9.05,,,
50,2000-02-20,,,,,,,,,,,,,,,0.0,0.0,8.1,7.35,,,
51,2000-02-21,,,,,,,,,,,,,,,0.0,0.0,6.8,5.1,,,
52,2000-02-22,,,,,,,,,,,,,,,0.0,0.0,5.7,4.8,,,
53,2000-02-23,,,,,,,,,,,,,,,0.0,0.0,5.75,4.3,,,
54,2000-02-24,0.0,,,,,,,,,,,,,,0.0,0.0,6.05,3.3,,,
55,2000-02-25,0.0,,,,,,,,,,,,,,0.0,0.0,7.15,5.3,,,
56,2000-02-26,0.0,,,,,,,,,,,,,,0.0,0.0,9.0,10.65,,,
57,2000-02-27,0.0,,,,,,,,,,,,,,0.0,0.0,11.05,9.4,,,
58,2000-02-28,0.0,,,,,,,,,,,,,,0.0,0.0,10.25,7.3,,,
59,2000-02-29,0.0,,,,,,,,,,,,,,0.0,0.0,7.05,6.65,,,
60,2000-03-01,0.0,,,,,,,,,,,,,,0.0,0.0,9.25,11.0,,,
61,2000-03-02,19.4,,,,,,,,,,,,,,0.0,0.0,9.15,8.2,,,
62,2000-03-03,0.0,,,,,,,,,,,,,,0.0,0.0,7.65,6.8,,,
63,2000-03-04,0.0,,,,,,,,,,,,,,0.0,0.0,8.4,7.35,,,
64,2000-03-05,0.0,,,,,,,,,,,,,,0.0,0.0,8.95,7.55,,,
65,2000-03-06,0.0,,,,,,,,,,,,,,0.0,0.0,6.25,6.3,,,
66,2000-03-07,0.0,,,,,,,,,,,,,,0.0,0.0,8.8,7.6,,,
67,2000-03-08,1.0,,,,,,,,,,,,,,0.0,0.0,9.0,10.9,,,
68,2000-03-09,0.0,,,,,,,,,,,,,,0.0,0.0,9.15,9.2,,,
69,2000-03-10,0.2,,,,,,,,,,,,,,0.0,0.0,9.4,9.35,,,
70,2000-03-11,0.0,,,,,,,,,,,,,,0.0,0.0,10.0,11.8,,,
71,2000-03-12,0.0,,,,,,,,,,,,,,0.0,0.0,12.65,12.6,,,
72,2000-03-13,0.0,,,,,,,,,,,,,,0.0,0.0,12.25,10.95,,,
73,2000-03-14,0.0,,,,,,,,,,,,,,0.0,0.0,11.7,12.3,,,
74,2000-03-15,8.0,,,,,,,,,,,,,,0.0,0.0,10.9,10.7,,,
75,2000-03-16,0.0,,,,,,,,,,,,,,0.0,0.0,9.55,9.0,,,
76,2000-03-17,0.2,,,,,,,,,,,,,,0.0,0.0,9.9,8.8,,,
77,2000-03-18,0.0,,,,,,,,,,,,,,0.0,0.0,12.2,11.85,,,
78,2000-03-19,0.0,,,,,,,,,,,,,,0.0,0.0,8.55,9.0,,,
79,2000-03-20,3.2,,,,,,,,,,,,,,0.0,0.0,6.55,6.45,,,
80,2000-03-21,0.0,,,,,,,,,,,,,,0.0,0.0,6.95,6.85,,,
81,2000-03-22,0.0,,,,,,,,,,,,,,0.0,0.0,10.3,8.85,,,
82,2000-03-23,0.0,,,,,,,,,,,,,,0.0,0.0,10.15,8.05,,,
83,2000-03-24,0.0,,,,,,,,,,,,,,0.0,0.0,9.8,10.05,,,
84,2000-03-25,0.4,,,,,,,,,,,,,,0.0,0.0,11.1,12.55,,,
85,2000-03-26,1.8,,,,,,,,,,,,,,0.0,0.0,11.1,13.05,,,
86,2000-03-27,3.0,,,,,,,,,,,,,,0.0,0.0,9.2,10.05,,,
87,2000-03-28,6.8,,,,,,,,,,,,,,0.0,0.0,9.0,11.05,,,
88,2000-03-29,9.6,,,,,,,,,,,,,,0.0,0.0,9.55,8.75,,,
89,2000-03-30,5.6,,,,,,,,,,,,,,0.0,0.0,11.0,8.4,,,
90,2000-03-31,0.2,,,,,,,,,,,,,,0.0,0.0,12.65,8.75,,,
91,2000-04-01,21.4,,,,,,,,,,,,,,0.0,0.0,10.15,8.0,,,
92,2000-04-02,0.2,,,,,,,,,,,,,,0.0,0.0,14.2,9.3,,,
93,2000-04-03,3.0,,,,,,,,,,,,,,0.0,0.0,16.5,13.5,,,
94,2000-04-04,9.4,,,,,,,,,,,,,,0.0,0.0,14.7,10.2,,,
95,2000-04-05,12.0,,,,,,,,,,,,,,0.0,0.0,16.45,11.5,,,
96,2000-04-06,0.0,,,,,,,,,,,,,,0.0,0.0,15.65,10.9,,,
97,2000-04-07,0.0,,,,,,,,,,,,,,0.0,0.0,13.3,9.35,,,
98,2000-04-08,0.0,,,,,,,,,,,,,,0.0,0.0,13.05,9.8,,,
99,2000-04-09,0.0,,,,,,,,,,,,,,0.0,0.0,10.15,9.95,,,
100,2000-04-10,11.2,,,,,,,,,,,,,,0.0,0.0,11.65,12.5,,,
101,2000-04-11,1.6,,,,,,,,,,,,,,0.0,0.0,16.0,12.4,,,
102,2000-04-12,19.4,,,,,,,,,,,,,,0.0,0.0,18.1,12.9,,,
103,2000-04-13,0.4,,,,,,,,,,,,,,0.0,0.0,19.35,13.95,,,
104,2000-04-14,0.0,,,,,,,,,,,,,,0.0,0.0,21.95,16.05,,,
105,2000-04-15,0.0,,,,,,,,,,,,,,0.0,0.0,19.0,14.65,,,
106,2000-04-16,0.0,,,,,,,,,,,,,,0.0,0.0,14.0,11.2,,,
107,2000-04-17,0.4,,,,,,,,,,,,,,0.0,0.0,15.35,16.45,,,
108,2000-04-18,3.0,,,,,,,,,,,,,,0.0,0.0,11.9,12.2,,,
109,2000-04-19,0.0,,,,,,,,,,,,,,0.0,0.0,12.3,12.95,,,
110,2000-04-20,0.2,,,,,,,,,,,,,,0.0,0.0,16.05,16.35,,,
111,2000-04-21,0.2,,,,,,,,,,,,,,0.0,0.0,19.35,16.55,,,
112,2000-04-22,0.0,,,,,,,,,,,,,,0.0,0.0,19.4,17.5,,,
113,2000-04-23,0.0,,,,,,,,,,,,,,0.0,0.0,17.25,15.5,,,
114,2000-04-24,12.2,,,,,,,,,,,,,,0.0,0.0,10.3,13.1,,,
115,2000-04-25,10.0,,,,,,,,,,,,,,0.0,0.0,15.65,14.9,,,
116,2000-04-26,0.0,,,,,,,,,,,,,,0.0,0.0,15.6,15.15,,,
117,2000-04-27,0.0,,,,,,,,,,,,,,0.0,0.0,15.2,14.75,,,
118,2000-04-28,0.0,,,,,,,,,,,,,,0.0,0.0,17.6,16.15,,,
119,2000-04-29,0.2,,,,,,,,,,,,,,0.0,0.0,13.5,16.55,,,
120,2000-04-30,2.6,,,,,,,,,,,,,,0.0,0.0,16.0,18.25,,,
121,2000-05-01,0.0,,,,,,,,,,,,,,0.0,0.0,17.95,15.9,,,
122,2000-05-02,8.4,,,,,,,,,,,,,,0.0,0.0,16.65,16.8,,,
123,2000-05-03,2.0,,,,,,,,,,,,,,0.0,0.0,18.15,17.3,,,
124,2000-05-04,0.2,,,,,,,,,,,,,,0.0,0.0,18.3,16.85,,,
125,2000-05-05,0.0,,,,,,,,,,,,,,0.0,0.0,15.95,16.15,,,
126,2000-05-06,0.0,,,,,,,,,,,,,,0.0,0.0,17.2,17.7,,,
127,2000-05-07,1.2,,,,,,,,,,,,,,0.0,0.0,14.45,15.1,,,
128,2000-05-08,2.2,,,,,,,,,,,,,,0.0,0.0,17.75,19.45,,,
129,2000-05-09,1.0,,,,,,,,,,,,,,0.0,0.0,18.3,18.05,,,
130,2000-05-10,0.0,,,,,,,,,,,,,,0.0,0.0,19.9,20.25,,,
131,2000-05-11,10.6,,,,,,,,,,,,,,0.0,0.0,19.2,21.45,,,
132,2000-05-12,3.0,,,,,,,,,,,,,,0.0,0.0,18.8,19.8,,,
133,2000-05-13,0.0,,,,,,,,,,,,,,0.0,0.0,17.55,18.1,,,
134,2000-05-14,0.2,,,,,,,,,,,,,,0.0,0.0,17.9,17.6,,,
135,2000-05-15,0.4,,,,,,,,,,,,,,0.0,0.0,19.35,19.7,,,
136,2000-05-16,0.0,,,,,,,,,,,,,,0.0,0.0,20.3,18.5,,,
137,2000-05-17,0.0,,,,,,,,,,,,,,0.0,0.0,19.45,19.45,,,
138,2000-05-18,0.0,,,,,,,,,,,,,,0.0,0.0,17.85,16.65,,,
139,2000-05-19,1.6,,,,,,,,,,,,,,0.0,0.0,16.45,17.1,,,
140,2000-05-20,0.0,,,,,,,,,,,,,,0.0,0.0,15.8,15.85,,,
141,2000-05-21,0.0,,,,,,,,,,,,,,0.0,0.0,16.1,17.5,,,
142,2000-05-22,0.2,,,,,,,,,,,,,,0.0,0.0,16.95,17.55,,,
143,2000-05-23,0.0,,,,,,,,,,,,,,0.0,0.0,17.6,19.2,,,
144,2000-05-24,0.0,,,,,,,,,,,,,,0.0,0.0,18.8,20.5,,,
145,2000-05-25,0.0,,,,,,,,,,,,,,0.0,0.0,19.25,14.55,,,
146,2000-05-26,0.0,,,,,,,,,,,,,,0.0,0.0,19.5,20.15,,,
147,2000-05-27,0.0,,,,,,,,,,,,,,0.0,0.0,20.25,21.15,,,
148,2000-05-28,0.0,,,,,,,,,,,,,,0.0,0.0,16.95,19.3,,,
149,2000-05-29,0.0,,,,,,,,,,,,,,0.0,0.0,16.8,17.4,,,
150,2000-05-30,0.0,,,,,,,,,,,,,,0.0,0.0,17.4,17.55,,,
151,2000-05-31,0.0,,,,,,,,,,,,,,0.0,0.0,18.4,19.0,,,
152,2000-06-01,0.0,,,,,,,,,,,,,,0.0,0.0,19.75,21.9,,,
153,2000-06-02,0.0,,,,,,,,,,,,,,0.0,0.0,20.6,23.45,,,
154,2000-06-03,0.0,,,,,,,,,,,,,,0.0,0.0,22.1,22.75,,,
155,2000-06-04,0.0,,,,,,,,,,,,,,0.0,0.0,21.95,22.7,,,
156,2000-06-05,0.0,,,,,,,,,,,,,,0.0,0.0,20.15,21.2,,,
157,2000-06-06,0.0,,,,,,,,,,,,,,0.0,0.0,19.85,20.45,,,
158,2000-06-07,11.4,,,,,,,,,,,,,,0.0,0.0,19.15,22.7,,,
159,2000-06-08,,,,,,,,,,,,,,,0.0,0.0,20.35,23.4,,,
160,2000-06-09,0.0,,,,,,,,,,,,,,0.0,0.0,21.95,23.7,,,
161,2000-06-10,0.0,,,,,,,,,,,,,,0.0,0.0,21.55,23.15,,,
162,2000-06-11,21.2,,,,,,,,,,,,,,0.0,0.0,18.45,20.75,,,
163,2000-06-12,10.0,,,,,,,,,,,,,,0.0,0.0,19.25,21.25,,,
164,2000-06-13,1.0,,,,,,,,,,,,,,0.0,0.0,19.8,21.8,,,
165,2000-06-14,0.0,,,,,,,,,,,,,,0.0,0.0,20.6,22.5,,,
166,2000-06-15,0.0,,,,,,,,,,,,,,0.0,0.0,20.3,21.8,,,
167,2000-06-16,0.0,,,,,,,,,,,,,,0.0,0.0,21.45,23.4,,,
168,2000-06-17,0.2,,,,,,,,,,,,,,0.0,0.0,20.95,20.95,,,
169,2000-06-18,0.0,,,,,,,,,,,,,,0.0,0.0,19.05,19.45,,,
170,2000-06-19,0.0,,,,,,,,,,,,,,0.0,0.0,20.4,20.9,,,
171,2000-06-20,0.0,,,,,,,,,,,,,,0.0,0.0,21.4,22.0,,,
172,2000-06-21,0.0,,,,,,,,,,,,,,0.0,0.0,21.3,21.65,,,
173,2000-06-22,0.0,,,,,,,,,,,,,,0.0,0.0,20.4,20.6,,,
174,2000-06-23,0.0,,,,,,,,,,,,,,0.0,0.0,21.1,22.25,,,
175,2000-06-24,0.0,,,,,,,,,,,,,,0.0,0.0,20.9,24.35,,,
176,2000-06-25,0.4,,,,,,,,,,,,,,0.0,0.0,18.5,20.6,,,
177,2000-06-26,0.0,,,,,,,,,,,,,,0.0,0.0,20.1,21.85,,,
178,2000-06-27,0.0,,,,,,,,,,,,,,0.0,0.0,19.95,21.05,,,
179,2000-06-28,0.0,,,,,,,,,,,,,,0.0,0.0,19.4,20.4,,,
180,2000-06-29,0.0,,,,,,,,,,,,,,0.0,0.0,21.55,22.35,,,
181,2000-06-30,0.0,,,,,,,,,,,,,,0.0,0.0,21.2,21.95,,,
182,2000-07-01,0.0,,,,,,,,,,,,,,0.0,0.0,20.3,22.25,,,
183,2000-07-02,0.0,,,,,,,,,,,,,,0.0,0.0,22.6,24.35,,,
184,2000-07-03,0.0,,,,,,,,,,,,,,0.0,0.0,24.85,25.3,,,
185,2000-07-04,0.0,,,,,,,,,,,,,,0.0,0.0,22.3,25.65,,,
186,2000-07-05,0.0,,,,,,,,,,,,,,0.0,0.0,22.05,23.15,,,
187,2000-07-06,0.0,,,,,,,,,,,,,,0.0,0.0,22.1,22.2,,,
188,2000-07-07,0.0,,,,,,,,,,,,,,0.0,0.0,24.05,23.75,,,
189,2000-07-08,0.0,,,,,,,,,,,,,,0.0,0.0,21.5,22.7,,,
190,2000-07-09,0.0,,,,,,,,,,,,,,0.0,0.0,20.0,21.25,,,
191,2000-07-10,0.0,,,,,,,,,,,,,,0.0,0.0,20.0,20.45,,,
192,2000-07-11,5.8,,,,,,,,,,,,,,0.0,0.0,17.85,19.55,,,
193,2000-07-12,0.4,,,,,,,,,,,,,,0.0,0.0,14.2,15.2,,,
194,2000-07-13,4.8,,,,,,,,,,,,,,0.0,0.0,15.85,17.15,,,
195,2000-07-14,0.0,,,,,,,,,,,,,,0.0,0.0,17.0,18.5,,,
196,2000-07-15,5.4,,,,,,,,,,,,,,0.0,0.0,16.6,19.25,,,
197,2000-07-16,5.0,,,,,,,,,,,,,,0.0,0.0,15.25,18.2,,,
198,2000-07-17,0.0,,,,,,,,,,,,,,0.0,0.0,17.05,18.15,,,
199,2000-07-18,0.0,,,,,,,,,,,,,,0.0,0.0,18.2,19.7,,,
200,2000-07-19,0.0,,,,,,,,,,,,,,0.0,0.0,20.1,20.6,,,
201,2000-07-20,0.0,,,,,,,,,,,,,,0.0,0.0,20.1,20.95,,,
202,2000-07-21,13.2,,,,,,,,,,,,,,0.0,0.0,20.95,20.25,,,
203,2000-07-22,0.0,,,,,,,,,,,,,,0.0,0.0,21.2,21.4,,,
204,2000-07-23,0.0,,,,,,,,,,,,,,0.0,0.0,20.8,21.4,,,
205,2000-07-24,0.0,,,,,,,,,,,,,,0.0,0.0,19.8,21.35,,,
206,2000-07-25,0.0,,,,,,,,,,,,,,0.0,0.0,21.95,23.25,,,
207,2000-07-26,0.0,,,,,,,,,,,,,,0.0,0.0,21.95,23.1,,,
208,2000-07-27,,,,,,,,,,,,,,,0.0,0.0,22.55,24.0,,,
209,2000-07-28,,,,,,,,,,,,,,,0.0,0.0,22.4,21.9,,,
210,2000-07-29,,,,,,,,,,,,,,,0.0,0.0,22.4,22.85,,,
211,2000-07-30,,,,,,,,,,,,,,,0.0,0.0,22.7,21.9,,,
212,2000-07-31,0.0,,,,,,,,,,,,,,0.0,0.0,22.5,22.65,,,
213,2000-08-01,0.0,,,,,,,,,,,,,,0.0,0.0,23.0,23.05,,,
214,2000-08-02,0.0,,,,,,,,,,,,,,0.0,0.0,23.0,22.55,,,
215,2000-08-03,0.0,,,,,,,,,,,,,,0.0,0.0,22.5,23.15,,,
216,2000-08-04,0.0,,,,,,,,,,,,,,0.0,0.0,20.0,20.25,,,
217,2000-08-05,3.0,,,,,,,,,,,,,,0.0,0.0,19.0,20.65,,,
218,2000-08-06,4.0,,,,,,,,,,,,,,0.0,0.0,18.5,20.0,,,
219,2000-08-07,2.0,,,,,,,,,,,,,,0.0,0.0,20.0,20.75,,,
220,2000-08-08,5.2,,,,,,,,,,,,,,0.0,0.0,21.0,21.95,,,
221,2000-08-09,0.0,,,,,,,,,,,,,,0.0,0.0,22.3,22.4,,,
222,2000-08-10,0.0,,,,,,,,,,,,,,0.0,0.0,23.6,23.2,,,
223,2000-08-11,0.0,,,,,,,,,,,,,,0.0,0.0,24.35,23.85,,,
224,2000-08-12,0.0,,,,,,,,,,,,,,0.0,0.0,23.7,24.2,,,
225,2000-08-13,,,,,,,,,,,,,,,0.0,0.0,24.45,24.65,,,
226,2000-08-14,,,,,,,,,,,,,,,0.0,0.0,25.3,,,,
227,2000-08-15,,,,,,,,,,,,,,,0.0,0.0,,,,,
228,2000-08-16,,,,,,,,,,,,,,,0.0,0.0,,,,,
229,2000-08-17,,,,,,,,,,,,,,,0.0,0.0,,24.2,,,
230,2000-08-18,,,,,,,,,,,,,,,0.0,0.0,,,,,
231,2000-08-19,,,,,,,,,,,,,,,0.0,0.0,,,,,
232,2000-08-20,,,,,,,,,,,,,,,0.0,0.0,25.65,23.9,,,
233,2000-08-21,,,,,,,,,,,,,,,0.0,0.0,,24.9,,,
234,2000-08-22,,,,,,,,,,,,,,,0.0,0.0,,,,,
235,2000-08-23,,,,,,,,,,,,,,,0.0,0.0,,,,,
236,2000-08-24,,,,,,,,,,,,,,,0.0,0.0,,,,,
237,2000-08-25,,,,,,,,,,,,,,,0.0,0.0,,,,,
238,2000-08-26,,,,,,,,,,,,,,,0.0,0.0,,,,,
239,2000-08-27,,,,,,,,,,,,,,,0.0,0.0,25.35,23.9,,,
240,2000-08-28,,,,,,,,,,,,,,,0.0,0.0,22.8,23.15,,,
241,2000-08-29,,,,,,,,,,,,,,,0.0,0.0,23.2,23.4,,,
242,2000-08-30,,,,,,,,,,,,,,,0.0,0.0,22.45,22.45,,,
243,2000-08-31,0.0,,,,,,,,,,,,,,0.0,0.0,20.45,20.65,,,
244,2000-09-01,0.2,,,,,,,,,,,,,,0.0,0.0,20.5,21.35,,,
245,2000-09-02,0.0,,,,,,,,,,,,,,0.0,0.0,19.95,20.6,,,
246,2000-09-03,0.2,,,,,,,,,,,,,,0.0,0.0,19.15,19.1,,,
247,2000-09-04,0.0,,,,,,,,,,,,,,0.0,0.0,18.25,19.25,,,
248,2000-09-05,1.2,,,,,,,,,,,,,,0.0,0.0,17.45,17.8,,,
249,2000-09-06,0.0,,,,,,,,,,,,,,0.0,0.0,18.0,17.05,,,
250,2000-09-07,0.0,,,,,,,,,,,,,,0.0,0.0,16.9,19.95,,,
251,2000-09-08,3.8,,,,,,,,,,,,,,0.0,0.0,16.85,17.95,,,
252,2000-09-09,0.0,,,,,,,,,,,,,,0.0,0.0,19.3,19.0,,,
253,2000-09-10,0.0,,,,,,,,,,,,,,0.0,0.0,20.8,19.85,,,
254,2000-09-11,0.0,,,,,,,,,,,,,,0.0,0.0,20.6,19.45,,,
255,2000-09-12,0.0,,,,,,,,,,,,,,0.0,0.0,21.05,19.65,,,
256,2000-09-13,0.0,,,,,,,,,,,,,,0.0,0.0,19.95,19.75,,,
257,2000-09-14,0.0,,,,,,,,,,,,,,0.0,0.0,19.6,20.05,,,
258,2000-09-15,0.0,,,,,,,,,,,,,,0.0,0.0,19.3,21.7,,,
259,2000-09-16,0.2,,,,,,,,,,,,,,0.0,0.0,18.85,20.25,,,
260,2000-09-17,0.0,,,,,,,,,,,,,,0.0,0.0,21.1,22.25,,,
261,2000-09-18,0.0,,,,,,,,,,,,,,0.0,0.0,20.9,20.8,,,
262,2000-09-19,0.0,,,,,,,,,,,,,,0.0,0.0,20.25,22.0,,,
263,2000-09-20,0.0,,,,,,,,,,,,,,0.0,0.0,20.8,24.0,,,
264,2000-09-21,2.2,,,,,,,,,,,,,,0.0,0.0,17.2,17.05,,,
265,2000-09-22,0.2,,,,,,,,,,,,,,0.0,0.0,17.8,18.55,,,
266,2000-09-23,0.0,,,,,,,,,,,,,,0.0,0.0,19.05,17.85,,,
267,2000-09-24,0.0,,,,,,,,,,,,,,0.0,0.0,18.55,18.1,,,
268,2000-09-25,0.0,,,,,,,,,,,,,,0.0,0.0,19.15,19.05,,,
269,2000-09-26,0.0,,,,,,,,,,,,,,0.0,0.0,19.35,18.9,,,
270,2000-09-27,0.0,,,,,,,,,,,,,,0.0,0.0,19.95,19.15,,,
271,2000-09-28,0.0,,,,,,,,,,,,,,0.0,0.0,19.1,18.5,,,
272,2000-09-29,0.0,,,,,,,,,,,,,,0.0,0.0,17.95,17.8,,,
273,2000-09-30,11.0,,,,,,,,,,,,,,0.0,0.0,15.45,17.0,,,
274,2000-10-01,,,,,,,,,,,,,,,0.0,0.0,13.5,16.65,,,
275,2000-10-02,9.8,,,,,,,,,,,,,,0.0,0.0,13.0,15.7,,,
276,2000-10-03,0.8,,,,,,,,,,,,,,0.0,0.0,15.3,16.15,,,
277,2000-10-04,0.0,,,,,,,,,,,,,,0.0,0.0,15.9,17.35,,,
278,2000-10-05,0.0,,,,,,,,,,,,,,0.0,0.0,18.05,19.1,,,
279,2000-10-06,0.0,,,,,,,,,,,,,,0.0,0.0,16.55,18.05,,,
280,2000-10-07,5.2,,,,,,,,,,,,,,0.0,0.0,11.35,14.65,,,
281,2000-10-08,2.0,,,,,,,,,,,,,,0.0,0.0,11.4,13.3,,,
282,2000-10-09,0.0,,,,,,,,,,,,,,0.0,0.0,13.5,15.55,,,
283,2000-10-10,0.0,,,,,,,,,,,,,,0.0,0.0,12.75,14.65,,,
284,2000-10-11,7.4,,,,,,,,,,,,,,0.0,0.0,12.15,19.1,,,
285,2000-10-12,1.2,,,,,,,,,,,,,,0.0,0.0,17.05,20.8,,,
286,2000-10-13,0.0,,,,,,,,,,,,,,0.0,0.0,19.55,22.05,,,
287,2000-10-14,1.6,,,,,,,,,,,,,,0.0,0.0,18.55,21.15,,,
288,2000-10-15,9.0,,,,,,,,,,,,,,0.0,0.0,13.8,17.5,,,
289,2000-10-16,17.4,,,,,,,,,,,,,,0.0,0.0,13.0,19.15,,,
290,2000-10-17,7.8,,,,,,,,,,,,,,0.0,0.0,13.0,19.7,,,
291,2000-10-18,0.8,,,,,,,,,,,,,,0.0,0.0,13.0,17.65,,,
292,2000-10-19,0.2,,,,,,,,,,,,,,0.0,0.0,13.5,17.25,,,
293,2000-10-20,0.0,,,,,,,,,,,,,,0.0,0.0,13.9,15.95,,,
294,2000-10-21,0.0,,,,,,,,,,,,,,0.0,0.0,15.75,15.75,,,
295,2000-10-22,0.0,,,,,,,,,,,,,,0.0,0.0,15.35,15.15,,,
296,2000-10-23,0.2,,,,,,,,,,,,,,0.0,0.0,14.7,14.25,,,
297,2000-10-24,0.2,,,,,,,,,,,,,,0.0,0.0,13.95,14.15,,,
298,2000-10-25,0.2,,,,,,,,,,,,,,0.0,0.0,13.1,13.75,,,
299,2000-10-26,0.0,,,,,,,,,,,,,,0.0,0.0,12.85,14.2,,,
300,2000-10-27,6.6,,,,,,,,,,,,,,0.0,0.0,14.8,18.15,,,
301,2000-10-28,0.2,,,,,,,,,,,,,,0.0,0.0,14.8,16.7,,,
302,2000-10-29,0.2,,,,,,,,,,,,,,0.0,0.0,14.45,14.2,,,
