,Date,Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
65,2000-03-06,,,,,,,,,,4.2,,,,,
66,2000-03-07,,,,,,,,,,4.3,,,,,
67,2000-03-08,,,,,,,,,,6.65,,,,,
68,2000-03-09,,,,,,,,,,6.9,,,,,
69,2000-03-10,,,,,,,,,,7.65,,,,,
70,2000-03-11,,,,,,,,,,8.05,,,,,
71,2000-03-12,,,,,,,,,,9.95,,,,,
72,2000-03-13,,,,,,,,,,9.5,,,,,
73,2000-03-14,,,,,,,,,,8.65,,,,,
74,2000-03-15,,,,,,,,,,7.7,,,,,
75,2000-03-16,,,,,,,,,,6.45,,,,,
76,2000-03-17,,,,,,,,,,7.45,,,,,
77,2000-03-18,,,,,,,,,,7.85,,,,,
78,2000-03-19,,,,,,,,,,6.05,,,,,
79,2000-03-20,,,,,,,,,,3.4,,,,,
80,2000-03-21,,,,,,,,,,4.45,,,,,
81,2000-03-22,,,,,,,,,,7.55,,,,,
82,2000-03-23,,,,,,,,,,7.85,,,,,
83,2000-03-24,,,,,,,,,,6.75,,,,,
84,2000-03-25,,,,,,,,,,7.4,,,,,
85,2000-03-26,,,,,,,,,,8.55,,,,,
86,2000-03-27,,,,,,,,,,5.85,,,,,
87,2000-03-28,,,,,,,,,,6.6,,,,,
88,2000-03-29,,,,,,,,,,4.95,,,,,
89,2000-03-30,,,,,,,,,,6.2,,,,,
90,2000-03-31,,,,,,,,,,7.45,,,,,
91,2000-04-01,,,,,,,,,,4.8,,,,,
92,2000-04-02,,,,,,,,,,6.05,,,,,
93,2000-04-03,,,,,,,,,,9.85,,,,,
94,2000-04-04,,,,,,,,,,6.95,,,,,
95,2000-04-05,,,,,,,,,,8.55,,,,,
96,2000-04-06,,,,,,,,,,7.5,,,,,
97,2000-04-07,,,,,,,,,,5.55,,,,,
98,2000-04-08,,,,,,,,,,9.1,,,,,
99,2000-04-09,,,,,,,,,,5.75,,,,,
100,2000-04-10,,,,,,,,,,6.9,,,,,
101,2000-04-11,,,,,,,,,,7.15,,,,,
102,2000-04-12,,,,,,,,,,9.45,,,,,
103,2000-04-13,,,,,,,,,,9.2,,,,,
104,2000-04-14,,,,,,,,,,10.9,,,,,
105,2000-04-15,,,,,,,,,,10.4,,,,,
106,2000-04-16,,,,,,,,,,9.1,,,,,
107,2000-04-17,,,,,,,,,,11.35,,,,,
108,2000-04-18,,,,,,,,,,8.5,,,,,
109,2000-04-19,,,,,,,,,,9.0,,,,,
110,2000-04-20,,,,,,,,,,13.1,,,,,
111,2000-04-21,,,,,,,,,,15.45,,,,,
112,2000-04-22,,,,,,,,,,16.2,,,,,
113,2000-04-23,,,,,,,,,,14.4,,,,,
114,2000-04-24,,,,,,,,,,7.8,,,,,
115,2000-04-25,,,,,,,,,,11.05,,,,,
116,2000-04-26,,,,,,,,,,12.35,,,,,
117,2000-04-27,,,,,,,,,,13.25,,,,,
118,2000-04-28,,,,,,,,,,13.85,,,,,
119,2000-04-29,,,,,,,,,,10.9,,,,,
120,2000-04-30,,,,,,,,,,13.75,,,,,
121,2000-05-01,,,,,,,,,,13.75,,,,,
122,2000-05-02,,,,,,,,,,13.35,,,,,
123,2000-05-03,,,,,,,,,,14.1,,,,,
124,2000-05-04,,,,,,,,,,15.3,,,,,
125,2000-05-05,,,,,,,,,,13.5,,,,,
126,2000-05-06,,,,,,,,,,14.0,,,,,
127,2000-05-07,,,,,,,,,,14.05,,,,,
128,2000-05-08,,,,,,,,,,15.5,,,,,
129,2000-05-09,,,,,,,,,,16.25,,,,,
130,2000-05-10,,,,,,,,,,17.7,,,,,
131,2000-05-11,,,,,,,,,,16.8,,,,,
132,2000-05-12,,,,,,,,,,15.95,,,,,
133,2000-05-13,,,,,,,,,,15.3,,,,,
134,2000-05-14,,,,,,,,,,15.25,,,,,
135,2000-05-15,,,,,,,,,,15.75,,,,,
136,2000-05-16,,,,,,,,,,17.4,,,,,
137,2000-05-17,,,,,,,,,,16.65,,,,,
138,2000-05-18,,,,,,,,,,14.9,,,,,
139,2000-05-19,,,,,,,,,,13.65,,,,,
140,2000-05-20,,,,,,,,,,12.25,,,,,
141,2000-05-21,,,,,,,,,,12.95,,,,,
142,2000-05-22,,,,,,,,,,14.85,,,,,
143,2000-05-23,,,,,,,,,,15.4,,,,,
144,2000-05-24,,,,,,,,,,16.5,,,,,
145,2000-05-25,,,,,,,,,,17.45,,,,,
146,2000-05-26,,,,,,,,,,18.25,,,,,
147,2000-05-27,,,,,,,,,,17.15,,,,,
148,2000-05-28,,,,,,,,,,15.5,,,,,
149,2000-05-29,,,,,,,,,,14.75,,,,,
150,2000-05-30,,,,,,,,,,16.05,,,,,
151,2000-05-31,,,,,,,,,,15.9,,,,,
152,2000-06-01,,,,,,,,,,17.0,,,,,
153,2000-06-02,,,,,,,,,,20.4,,,,,
154,2000-06-03,,,,,,,,,,19.85,,,,,
155,2000-06-04,,,,,,,,,,19.9,,,,,
156,2000-06-05,,,,,,,,,,19.3,,,,,
157,2000-06-06,,,,,,,,,,18.35,,,,,
158,2000-06-07,,,,,,,,,,16.25,,,,,
159,2000-06-08,,,,,,,,,,20.25,,,,,
160,2000-06-09,,,,,,,,,,20.05,,,,,
161,2000-06-10,,,,,,,,,,19.15,,,,,
162,2000-06-11,,,,,,,,,,15.45,,,,,
163,2000-06-12,,,,,,,,,,16.0,,,,,
164,2000-06-13,,,,,,,,,,17.0,,,,,
165,2000-06-14,,,,,,,,,,18.0,,,,,
166,2000-06-15,,,,,,,,,,17.65,,,,,
167,2000-06-16,,,,,,,,,,19.0,,,,,
168,2000-06-17,,,,,,,,,,17.5,,,,,
169,2000-06-18,,,,,,,,,,15.3,,,,,
170,2000-06-19,,,,,,,,,,17.8,,,,,
171,2000-06-20,,,,,,,,,,19.9,,,,,
172,2000-06-21,,,,,,,,,,19.45,,,,,
173,2000-06-22,,,,,,,,,,18.7,,,,,
174,2000-06-23,,,,,,,,,,19.2,,,,,
175,2000-06-24,,,,,,,,,,18.2,,,,,
176,2000-06-25,,,,,,,,,,17.4,,,,,
177,2000-06-26,,,,,,,,,,17.2,,,,,
178,2000-06-27,,,,,,,,,,18.3,,,,,
179,2000-06-28,,,,,,,,,,18.25,,,,,
180,2000-06-29,,,,,,,,,,18.45,,,,,
181,2000-06-30,,,,,,,,,,19.15,,,,,
182,2000-07-01,,,,,,,,,,19.55,,,,,
183,2000-07-02,,,,,,,,,,21.15,,,,,
184,2000-07-03,,,,,,,,,,23.35,,,,,
185,2000-07-04,,,,,,,,,,21.85,,,,,
186,2000-07-05,,,,,,,,,,20.35,,,,,
187,2000-07-06,,,,,,,,,,21.9,,,,,
188,2000-07-07,,,,,,,,,,23.45,,,,,
189,2000-07-08,,,,,,,,,,20.5,,,,,
190,2000-07-09,,,,,,,,,,19.2,,,,,
191,2000-07-10,,,,,,,,,,16.9,,,,,
192,2000-07-11,,,,,,,,,,15.55,,,,,
193,2000-07-12,,,,,,,,,,13.45,,,,,
194,2000-07-13,,,,,,,,,,15.45,,,,,
195,2000-07-14,,,,,,,,,,15.05,,,,,
196,2000-07-15,,,,,,,,,,16.5,,,,,
197,2000-07-16,,,,,,,,,,14.95,,,,,
198,2000-07-17,,,,,,,,,,16.0,,,,,
199,2000-07-18,,,,,,,,,,17.1,,,,,
200,2000-07-19,,,,,,,,,,18.9,,,,,
201,2000-07-20,,,,,,,,,,18.0,,,,,
202,2000-07-21,,,,,,,,,,19.45,,,,,
203,2000-07-22,,,,,,,,,,18.9,,,,,
204,2000-07-23,,,,,,,,,,20.45,,,,,
205,2000-07-24,,,,,,,,,,20.0,,,,,
206,2000-07-25,,,,,,,,,,20.8,,,,,
207,2000-07-26,,,,,,,,,,20.3,,,,,
208,2000-07-27,,,,,,,,,,21.6,,,,,
209,2000-07-28,,,,,,,,,,21.6,,,,,
210,2000-07-29,,,,,,,,,,21.25,,,,,
211,2000-07-30,,,,,,,,,,20.45,,,,,
212,2000-07-31,,,,,,,,,,20.25,,,,,
213,2000-08-01,,,,,,,,,,20.8,,,,,
214,2000-08-02,,,,,,,,,,21.4,,,,,
215,2000-08-03,,,,,,,,,,21.25,,,,,
216,2000-08-04,,,,,,,,,,20.65,,,,,
217,2000-08-05,,,,,,,,,,17.2,,,,,
218,2000-08-06,,,,,,,,,,10.1,,,,,
219,2000-08-07,,,,,,,,,,17.5,,,,,
220,2000-08-08,,,,,,,,,,19.9,,,,,
221,2000-08-09,,,,,,,,,,20.5,,,,,
222,2000-08-10,,,,,,,,,,20.75,,,,,
223,2000-08-11,,,,,,,,,,21.75,,,,,
224,2000-08-12,,,,,,,,,,21.95,,,,,
225,2000-08-13,,,,,,,,,,21.45,,,,,
226,2000-08-14,,,,,,,,,,21.55,,,,,
227,2000-08-15,,,,,,,,,,,,,,,
228,2000-08-16,,,,,,,,,,,,,,,
229,2000-08-17,,,,,,,,,,,,,,,
230,2000-08-18,,,,,,,,,,,,,,,
231,2000-08-19,,,,,,,,,,,,,,,
232,2000-08-20,,,,,,,,,,,,,,,
233,2000-08-21,,,,,,,,,,,,,,,
234,2000-08-22,,,,,,,,,,,,,,,
235,2000-08-23,,,,,,,,,,,,,,,
236,2000-08-24,,,,,,,,,,,,,,,
237,2000-08-25,,,,,,,,,,,,,,,
238,2000-08-26,,,,,,,,,,,,,,,
239,2000-08-27,,,,,,,,,,23.5,,,,,
240,2000-08-28,,,,,,,,,,20.9,,,,,
241,2000-08-29,,,,,,,,,,20.85,,,,,
242,2000-08-30,,,,,,,,,,20.55,,,,,
243,2000-08-31,,,,,,,,,,18.1,,,,,
244,2000-09-01,,,,,,,,,,17.6,,,,,
245,2000-09-02,,,,,,,,,,17.8,,,,,
246,2000-09-03,,,,,,,,,,16.65,,,,,
247,2000-09-04,,,,,,,,,,14.15,,,,,
248,2000-09-05,,,,,,,,,,14.1,,,,,
249,2000-09-06,,,,,,,,,,14.6,,,,,
250,2000-09-07,,,,,,,,,,15.0,,,,,
251,2000-09-08,,,,,,,,,,14.65,,,,,
252,2000-09-09,,,,,,,,,,16.25,,,,,
253,2000-09-10,,,,,,,,,,17.3,,,,,
254,2000-09-11,,,,,,,,,,16.6,,,,,
255,2000-09-12,,,,,,,,,,17.65,,,,,
256,2000-09-13,,,,,,,,,,17.9,,,,,
257,2000-09-14,,,,,,,,,,17.55,,,,,
258,2000-09-15,,,,,,,,,,17.4,,,,,
259,2000-09-16,,,,,,,,,,17.1,,,,,
260,2000-09-17,,,,,,,,,,19.15,,,,,
261,2000-09-18,,,,,,,,,,17.75,,,,,
262,2000-09-19,,,,,,,,,,17.25,,,,,
263,2000-09-20,,,,,,,,,,18.3,,,,,
264,2000-09-21,,,,,,,,,,14.65,,,,,
265,2000-09-22,,,,,,,,,,15.6,,,,,
266,2000-09-23,,,,,,,,,,16.05,,,,,
267,2000-09-24,,,,,,,,,,14.9,,,,,
268,2000-09-25,,,,,,,,,,15.8,,,,,
269,2000-09-26,,,,,,,,,,17.0,,,,,
270,2000-09-27,,,,,,,,,,17.9,,,,,
271,2000-09-28,,,,,,,,,,16.8,,,,,
272,2000-09-29,,,,,,,,,,15.2,,,,,
273,2000-09-30,,,,,,,,,,13.65,,,,,
274,2000-10-01,,,,,,,,,,13.45,,,,,
275,2000-10-02,,,,,,,,,,12.55,,,,,
276,2000-10-03,,,,,,,,,,13.15,,,,,
277,2000-10-04,,,,,,,,,,13.15,,,,,
278,2000-10-05,,,,,,,,,,14.15,,,,,
279,2000-10-06,,,,,,,,,,13.8,,,,,
280,2000-10-07,,,,,,,,,,11.45,,,,,
281,2000-10-08,,,,,,,,,,10.15,,,,,
282,2000-10-09,,,,,,,,,,11.25,,,,,
283,2000-10-10,,,,,,,,,,10.3,,,,,
284,2000-10-11,,,,,,,,,,10.65,,,,,
285,2000-10-12,,,,,,,,,,14.85,,,,,
286,2000-10-13,,,,,,,,,,18.5,,,,,
287,2000-10-14,,,,,,,,,,18.55,,,,,
288,2000-10-15,,,,,,,,,,13.1,,,,,
289,2000-10-16,,,,,,,,,,10.8,,,,,
290,2000-10-17,,,,,,,,,,10.15,,,,,
291,2000-10-18,,,,,,,,,,10.65,,,,,
292,2000-10-19,,,,,,,,,,11.35,,,,,
293,2000-10-20,,,,,,,,,,11.15,,,,,
294,2000-10-21,,,,,,,,,,13.25,,,,,
295,2000-10-22,,,,,,,,,,12.35,,,,,
296,2000-10-23,,,,,,,,,,12.05,,,,,
297,2000-10-24,,,,,,,,,,11.6,,,,,
298,2000-10-25,,,,,,,,,,10.2,,,,,
299,2000-10-26,,,,,,,,,,11.3,,,,,
300,2000-10-27,,,,,,,,,,11.85,,,,,
301,2000-10-28,,,,,,,,,,12.75,,,,,
302,2000-10-29,,,,,,,,,,12.6,,,,,
303,2000-10-30,,,,,,,,,,11.25,,,,,
304,2000-10-31,,,,,,,,,,12.4,,,,,
305,2000-11-01,,,,,,,,,,10.25,,,,,
306,2000-11-02,,,,,,,,,,9.25,,,,,
307,2000-11-03,,,,,,,,,,11.15,,,,,
308,2000-11-04,,,,,,,,,,7.9,,,,,
309,2000-11-05,,,,,,,,,,8.15,,,,,
310,2000-11-06,,,,,,,,,,9.35,,,,,
311,2000-11-07,,,,,,,,,,8.0,,,,,
312,2000-11-08,,,,,,,,,,6.0,,,,,
313,2000-11-09,,,,,,,,,,6.8,,,,,
314,2000-11-10,,,,,,,,,,6.5,,,,,
315,2000-11-11,,,,,,,,,,6.75,,,,,
316,2000-11-12,,,,,,,,,,8.2,,,,,
317,2000-11-13,,,,,,,,,,11.9,,,,,
318,2000-11-14,,,,,,,,,,11.75,,,,,
319,2000-11-15,,,,,,,,,,11.0,,,,,
320,2000-11-16,,,,,,,,,,11.9,,,,,
321,2000-11-17,,,,,,,,,,9.05,,,,,
322,2000-11-18,,,,,,,,,,5.45,,,,,
323,2000-11-19,,,,,,,,,,5.6,,,,,
324,2000-11-20,,,,,,,,,,7.2,,,,,
325,2000-11-21,,,,,,,,,,6.55,,,,,
326,2000-11-22,,,,,,,,,,6.35,,,,,
327,2000-11-23,,,,,,,,,,6.25,,,,,
328,2000-11-24,,,,,,,,,,7.3,,,,,
329,2000-11-25,,,,,,,,,,5.95,,,,,
330,2000-11-26,,,,,,,,,,7.0,,,,,
331,2000-11-27,,,,,,,,,,5.15,,,,,
332,2000-11-28,,,,,,,,,,5.75,,,,,
333,2000-11-29,,,,,,,,,,9.5,,,,,
334,2000-11-30,,,,,,,,,,9.35,,,,,
335,2000-12-01,,,,,,,,,,10.25,,,,,
336,2000-12-02,,,,,,,,,,8.7,,,,,
337,2000-12-03,,,,,,,,,,7.65,,,,,
338,2000-12-04,,,,,,,,,,8.15,,,,,
339,2000-12-05,,,,,,,,,,8.9,,,,,
340,2000-12-06,,,,,,,,,,8.25,,,,,
341,2000-12-07,,,,,,,,,,8.1,,,,,
342,2000-12-08,,,,,,,,,,8.6,,,,,
343,2000-12-09,,,,,,,,,,9.5,,,,,
344,2000-12-10,,,,,,,,,,7.65,,,,,
345,2000-12-11,,,,,,,,,,8.6,,,,,
346,2000-12-12,,,,,,,,,,10.1,,,,,
347,2000-12-13,,,,,,,,,,7.4,,,,,
348,2000-12-14,,,,,,,,,,7.95,,,,,
349,2000-12-15,,,,,,,,,,7.25,,,,,
350,2000-12-16,,,,,,,,,,4.35,,,,,
351,2000-12-17,,,,,,,,,,5.15,,,,,
352,2000-12-18,,,,,,,,,,3.6,,,,,
353,2000-12-19,,,,,,,,,,4.5,,,,,
354,2000-12-20,,,,,,,,,,6.8,,,,,
355,2000-12-21,,,,,,,,,,3.45,,,,,
356,2000-12-22,,,,,,,,,,1.6,,,,,
357,2000-12-23,,,,,,,,,,1.75,,,,,
358,2000-12-24,,,,,,,,,,3.5,,,,,
359,2000-12-25,,,,,,,,,,7.85,,,,,
360,2000-12-26,,,,,,,,,,7.05,,,,,
361,2000-12-27,,,,,,,,,,7.1,,,,,
362,2000-12-28,,,,,,,,,,0.5,,,,,
363,2000-12-29,,,,,,,,,,3.8,,,,,
364,2000-12-30,,,,,,,,,,1.9,,,,,
365,2000-12-31,,,,,,,,,,2.95,,,,,
366,2001-01-01,,,,,,,,,,0.0,,,,,
367,2001-01-02,,,,,,,,,,0.0,,,,,
368,2001-01-03,,,,,,,,,,0.0,,,,,
369,2001-01-04,,,,,,,,,,0.0,,,,,
370,2001-01-05,,,,,,,,,,0.0,,,,,
371,2001-01-06,,,,,,,,,,0.0,,,,,
372,2001-01-07,,,,,,,,,,0.0,,,,,
373,2001-01-08,,,,,,,,,,0.0,,,,,
374,2001-01-09,,,,,,,,,,0.0,,,,,
375,2001-01-10,,,,,,,,,,0.0,,,,,
376,2001-01-11,,,,,,,,,,0.0,,,,,
377,2001-01-12,,,,,,,,,,0.0,,,,,
378,2001-01-13,,,,,,,,,,0.0,,,,,
379,2001-01-14,,,,,,,,,,0.0,,,,,
380,2001-01-15,,,,,,,,,,0.0,,,,,
381,2001-01-16,,,,,,,,,,0.0,,,,,
382,2001-01-17,,,,,,,,,,0.0,,,,,
383,2001-01-18,,,,,,,,,,0.0,,,,,
384,2001-01-19,,,,,,,,,,0.0,,,,,
385,2001-01-20,,,,,,,,,,0.0,,,,,
386,2001-01-21,,,,,,,,,,0.0,,,,,
387,2001-01-22,,,,,,,,,,0.0,,,,,
388,2001-01-23,,,,,,,,,,0.0,,,,,
389,2001-01-24,,,,,,,,,,0.0,,,,,
390,2001-01-25,,,,,,,,,,0.0,,,,,
391,2001-01-26,,,,,,,,,,0.0,,,,,
392,2001-01-27,,,,,,,,,,0.0,,,,,
393,2001-01-28,,,,,,,,,,0.0,,,,,
394,2001-01-29,,,,,,,,,,0.0,,,,,
395,2001-01-30,,,,,,,,,,0.0,,,,,
396,2001-01-31,,,,,,,,,,0.0,,,,,
397,2001-02-01,,,,,,,,,,0.5,,,,,
398,2001-02-02,,,,,,,,,,0.25,,,,,
399,2001-02-03,,,,,,,,,,0.25,,,,,
400,2001-02-04,,,,,,,,,,6.3,,,,,
401,2001-02-05,,,,,,,,,,7.0,,,,,
402,2001-02-06,,,,,,,,,,6.85,,,,,
403,2001-02-07,,,,,,,,,,6.3,,,,,
404,2001-02-08,,,,,,,,,,6.45,,,,,
405,2001-02-09,,,,,,,,,,5.75,,,,,
406,2001-02-10,,,,,,,,,,5.9,,,,,
407,2001-02-11,,,,,,,,,,6.55,,,,,
408,2001-02-12,,,,,,,,,,7.9,,,,,
409,2001-02-13,,,,,,,,,,8.5,,,,,
410,2001-02-14,,,,,,,,,,6.3,,,,,
411,2001-02-15,,,,,,,,,,6.0,,,,,
412,2001-02-16,,,,,,,,,,5.6,,,,,
413,2001-02-17,,,,,,,,,,4.45,,,,,
414,2001-02-18,,,,,,,,,,5.8,,,,,
415,2001-02-19,,,,,,,,,,6.4,,,,,
416,2001-02-20,,,,,,,,,,5.5,,,,,
417,2001-02-21,,,,,,,,,,5.45,,,,,
418,2001-02-22,,,,,,,,,,7.85,,,,,
419,2001-02-23,,,,,,,,,,6.4,,,,,
420,2001-02-24,,,,,,,,,,5.7,,,,,
421,2001-02-25,,,,,,,,,,0.55,,,,,
422,2001-02-26,,,,,,,,,,,,,,,
423,2001-02-27,,,,,,,,,,,,,,,
424,2001-02-28,,,,,,,,,,1.75,,,,,
425,2001-03-01,,,,,,,,,,1.85,,,,,
426,2001-03-02,,,,,,,,,,5.45,,,,,
427,2001-03-03,,,,,,,,,,9.8,,,,,
428,2001-03-04,,,,,,,,,,9.2,,,,,
429,2001-03-05,,,,,,,,,,9.5,,,,,
430,2001-03-06,,,,,,,,,,8.8,,,,,
431,2001-03-07,,,,,,,,,,8.85,,,,,
432,2001-03-08,,,,,,,,,,8.3,,,,,
433,2001-03-09,,,,,,,,,,8.7,,,,,
434,2001-03-10,,,,,,,,,,7.15,,,,,
435,2001-03-11,,,,,,,,,,8.7,,,,,
436,2001-03-12,,,,,,,,,,7.85,,,,,
437,2001-03-13,,,,,,,,,,6.25,,,,,
438,2001-03-14,,,,,,,,,,6.65,,,,,
439,2001-03-15,,,,,,,,,,8.4,,,,,
440,2001-03-16,,,,,,,,,,9.2,,,,,
441,2001-03-17,,,,,,,,,,8.05,,,,,
442,2001-03-18,,,,,,,,,,8.65,,,,,
443,2001-03-19,,,,,,,,,,9.35,,,,,
444,2001-03-20,,,,,,,,,,8.4,,,,,
445,2001-03-21,,,,,,,,,,9.65,,,,,
446,2001-03-22,,,,,,,,,,12.55,,,,,
447,2001-03-23,,,,,,,,,,13.1,,,,,
448,2001-03-24,,,,,,,,,,14.4,,,,,
449,2001-03-25,,,,,,,,,,11.3,,,,,
450,2001-03-26,,,,,,,,,,9.35,,,,,
451,2001-03-27,,,,,,,,,,8.85,,,,,
452,2001-03-28,,,,,,,,,,8.35,,,,,
453,2001-03-29,,,,,,,,,,6.9,,,,,
454,2001-03-30,,,,,,,,,,4.1,,,,,
455,2001-03-31,,,,,,,,,,8.25,,,,,
456,2001-04-01,,,,,,,,,,8.25,,,,,
457,2001-04-02,,,,,,,,,,8.4,,,,,
458,2001-04-03,,,,,,,,,,9.25,,,,,
459,2001-04-04,,,,,,,,,,8.15,,,,,
460,2001-04-05,,,,,,,,,,6.7,,,,,
461,2001-04-06,,,,,,,,,,8.15,,,,,
462,2001-04-07,,,,,,,,,,7.55,,,,,
463,2001-04-08,,,,,,,,,,5.5,,,,,
464,2001-04-09,,,,,,,,,,8.05,,,,,
465,2001-04-10,,,,,,,,,,9.45,,,,,
466,2001-04-11,,,,,,,,,,5.3,,,,,
467,2001-04-12,,,,,,,,,,7.05,,,,,
468,2001-04-13,,,,,,,,,,8.55,,,,,
469,2001-04-14,,,,,,,,,,2.4,,,,,
470,2001-04-15,,,,,,,,,,2.8,,,,,
471,2001-04-16,,,,,,,,,,7.3,,,,,
472,2001-04-17,,,,,,,,,,5.9,,,,,
473,2001-04-18,,,,,,,,,,6.0,,,,,
474,2001-04-19,,,,,,,,,,8.9,,,,,
475,2001-04-20,,,,,,,,,,6.85,,,,,
476,2001-04-21,,,,,,,,,,4.0,,,,,
477,2001-04-22,,,,,,,,,,2.45,,,,,
478,2001-04-23,,,,,,,,,,5.6,,,,,
479,2001-04-24,,,,,,,,,,10.5,,,,,
480,2001-04-25,,,,,,,,,,12.45,,,,,
481,2001-04-26,,,,,,,,,,11.9,,,,,
482,2001-04-27,,,,,,,,,,11.15,,,,,
483,2001-04-28,,,,,,,,,,12.25,,,,,
484,2001-04-29,,,,,,,,,,13.65,,,,,
485,2001-04-30,,,,,,,,,,15.0,,,,,
486,2001-05-01,,,,,,,,,,15.45,,,,,
487,2001-05-02,,,,,,,,,,17.6,,,,,
488,2001-05-03,,,,,,,,,,16.8,,,,,
489,2001-05-04,,,,,,,,,,13.5,,,,,
490,2001-05-05,,,,,,,,,,10.55,,,,,
491,2001-05-06,,,,,,,,,,9.3,,,,,
492,2001-05-07,,,,,,,,,,9.05,,,,,
493,2001-05-08,,,,,,,,,,13.05,,,,,
494,2001-05-09,,,,,,,,,,13.75,,,,,
495,2001-05-10,,,,,,,,,,14.4,,,,,
496,2001-05-11,,,,,,,,,,14.5,,,,,
497,2001-05-12,,,,,,,,,,13.35,,,,,
498,2001-05-13,,,,,,,,,,13.95,,,,,
499,2001-05-14,,,,,,,,,,14.0,,,,,
500,2001-05-15,,,,,,,,,,11.9,,,,,
